Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;12.8 (16:00);4.9 (08:10);8.9;69 (23:10);43 (11:00);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;16.1 (15:20);7.3 (08:10);11.7;72 (18:50);53 (19:50);0.0;0.0;0.0;0.0
Valls;Tarragona;15.2 (16:10);6.3 (09:00);10.8;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;18.7 (14:10);6.7 (08:40);12.7;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;12.8 (16:10);3.7 (08:00);8.3;66 (14:40);38 (17:00);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;18.4 (16:20);0.1 (08:40);9.2;17 (16:40);9 (16:40);0.0;0.0;0.0;0.0
Sitges;Barcelona;15.4 (14:40);5.7 (00:20);10.5;24 (03:30);13 (03:30);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;15.6 (12:40);5.1 (08:10);10.4;28 (15:10);21 (15:10);0.0;0.0;0.0;0.0
Berga;Barcelona;12.9 (16:30);1.2 (08:20);7.0;21 (12:30);11 (02:20);0.0;0.0;0.0;0.0
Balsareny;Barcelona;14.9 (15:10);-3.6 (07:50);5.6;32 (14:50);16 (15:30);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;13.0 (16:00);-2.1 (08:00);5.5;32 (15:10);16 (15:10);0.0;0.0;0.0;0.0
Moià;Barcelona;12.3 (15:40);1.1 (06:00);6.7;29 (15:50);17 (15:50);0.0;0.0;0.0;0.0
Manresa;Barcelona;15.1 (17:10);-0.6 (07:40);7.3;40 (16:40);21 (15:00);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;11.4 (15:10);2.2 (08:20);6.8;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;13.8 (17:00);4.7 (07:10);9.3;39 (13:50);15 (13:40);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;10.3 (15:00);3.0 (09:20);6.7;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;14.3 (13:40);7.6 (07:50);11.0;28 (15:40);23 (15:40);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;17.0 (14:10);9.0 (06:30);13.0;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;16.3 (15:50);0.1 (08:30);8.2;42 (22:10);24 (22:10);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;15.2 (14:50);7.8 (00:20);11.5;19 (23:59);8 (22:30);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;14.8 (13:30);6.1 (08:00);10.5;17 (06:30);8 (01:40);0.0;0.0;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;13.3 (15:20);2.3 (07:20);7.8;;;0.0;0.0;0.0;0.0
Blanes;Girona;15.9 (14:20);6.3 (07:50);11.1;33 (05:30);24 (02:40);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;15.8 (13:10);4.4 (08:40);10.1;49 (04:50);19 (04:40);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;13.7 (23:40);-1.2 (05:50);6.2;36 (19:30);13 (07:00);0.0;0.0;0.0;0.0
Planoles;Girona;14.9 (15:30);-0.3 (08:30);7.3;80 (18:50);42 (19:40);0.0;0.0;0.0;0.0
Ripoll;Girona;13.8 (15:20);-1.9 (06:20);6.0;;;0.0;0.0;0.0;0.0
Tona;Barcelona;14.0 (14:20);-2.0 (07:50);6.0;26 (14:40);9 (14:30);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;12.9 (15:30);-2.6 (07:20);5.1;20 (14:40);9 (14:40);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;15.8 (15:20);-2.6 (08:20);6.6;15 (13:00);6 (14:10);0.0;0.0;0.0;0.0
Sant Hilari;Girona;12.7 (13:50);-1.6 (08:20);5.5;36 (22:10);23 (22:10);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;;;;24 (12:00);17 (14:20);0.0;0.0;0.0;0.0
Girona;Girona;17.4 (16:00);1.9 (07:30);9.6;18 (12:10);9 (14:20);0.0;0.0;0.0;0.0
Porqueres;Girona;15.8 (14:30);1.1 (06:50);8.5;32 (08:40);13 (15:20);0.0;0.0;0.0;0.0
L'Estartit;Girona;17.8 (21:00);9.8 (04:30);13.8;59 (11:00);24 (00:10);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;15.7 (15:00);-0.8 (08:00);7.4;25 (15:20);13 (13:30);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;17.5 (19:30);8.7 (23:40);13.1;124 (08:10);58 (12:30);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;18.9 (22:50);6.8 (04:10);12.8;97 (17:50);37 (07:40);0.0;0.0;0.0;0.0
Espolla;Girona;17.1 (23:30);8.3 (03:50);12.7;95 (08:30);50 (17:30);0.0;0.0;0.0;0.0
Figueres;Girona;16.9 (16:30);8.8 (04:20);12.8;84 (10:10);41 (09:50);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;;;;;;;0.0;0.0;
Baztan, Irurita;Navarra;9.8 (13:20);5.6 (07:20);7.7;30 (06:30);16 (06:30);3.0;2.4;0.0;0.0
Bera;Navarra;11.0 (15:10);5.5 (09:10);8.3;16 (03:50);6 (04:00);1.2;1.0;0.0;0.0
Irún;Gipuzkoa;10.4 (12:50);6.0 (09:30);8.2;30 (00:40);15 (01:20);0.0;0.0;0.0;0.0
San Sebastián Aeropuerto;Gipuzkoa;12.3 (14:40);7.6 (08:50);10.0;35 (00:20);23 (05:50);0.0;0.0;0.0;0.0
Renteria;Gipuzkoa;10.0 (15:00);5.9 (07:30);8.0;32 (01:40);14 (05:30);0.6;0.6;0.0;0.0
