Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;11.9 (23:10);7.7 (03:20);9.8;71 (23:10);59 (22:10);;;;
As Pontes;A Coruña;8.3 (23:10);1.2 (05:00);4.8;;;;;;
A Coruña;A Coruña;12.0 (23:50);7.2 (02:10);9.6;31 (14:50);18 (14:00);0.6;0.2;0.0;0.2
A Coruña Aeropuerto;A Coruña;11.8 (15:00);3.5 (03:50);7.7;33 (15:00);18 (14:40);1.0;0.0;0.5;0.2
Carballo, Depuradora;A Coruña;11.7 (14:50);4.7 (05:30);8.2;;;0.2;0.0;0.2;0.0
Cabo Vilan;A Coruña;;;;33 (19:40);25 (19:40);3.9;0.0;0.0;1.1
Vimianzo;A Coruña;10.8 (23:59);2.6 (01:10);6.7;;;;;;
Fisterra;A Coruña;11.6 (23:40);6.8 (00:00);9.2;39 (08:10);26 (01:20);3.6;0.0;0.0;0.6
Mazaricos;A Coruña;9.6 (23:50);3.5 (04:30);6.6;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;8.7 (14:50);2.0 (05:40);5.3;24 (18:30);14 (20:50);0.2;0.2;0.0;0.0
Noia;A Coruña;10.9 (12:20);4.2 (00:50);7.5;16 (23:20);9 (23:00);;;;
Boiro;A Coruña;11.3 (16:20);3.3 (01:50);7.3;;;1.6;0.0;0.0;0.0
Padrón;A Coruña;10.5 (16:30);2.7 (08:20);6.6;18 (05:10);15 (06:40);0.1;0.0;0.0;0.0
Santiago de Compostela;A Coruña;;;;;;;;;
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;5.7 (15:40);-2.2 (06:10);1.7;33 (15:10);19 (16:10);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;10.8 (16:20);0.1 (07:50);5.5;36 (14:10);21 (15:10);0.0;0.0;0.0;0.0
Munera;Albacete;5.3 (15:00);-2.2 (23:59);1.6;36 (14:50);18 (14:50);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;8.5 (13:40);1.9 (23:50);5.2;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;2.6 (14:50);-2.4 (23:10);0.1;;;0.0;0.0;0.0;0.0
Yeste;Albacete;7.0 (14:30);2.4 (08:50);4.7;;;0.0;0.0;0.0;0.0
Hellín;Albacete;8.6 (15:10);3.2 (01:20);5.9;51 (15:40);28 (15:40);0.0;0.0;0.0;0.0
Tobarra;Albacete;8.8 (16:10);3.8 (08:00);6.3;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;8.1 (15:50);0.2 (22:40);4.2;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;;;;;;;0.0;0.0;
Albacete;Albacete;8.2 (15:50);0.8 (05:50);4.5;39 (17:30);13 (15:30);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;7.4 (14:20);-0.1 (04:40);3.7;41 (14:20);23 (14:30);0.0;0.0;0.0;0.0
Almansa;Albacete;7.0 (12:30);0.9 (06:10);3.9;42 (12:10);15 (13:30);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;13.8 (15:30);8.9 (06:20);11.3;45 (07:00);24 (10:10);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;7.0 (14:20);0.4 (06:30);3.7;44 (14:30);19 (16:00);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;13.6 (15:10);6.1 (06:20);9.9;41 (12:20);25 (12:20);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;10.3 (13:30);2.3 (00:50);6.3;51 (12:50);33 (11:00);0.0;0.0;0.0;0.0
Novelda;Alacant/Alicante;12.5 (14:20);4.4 (05:40);8.5;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;15.7 (14:40);4.4 (23:59);10.0;;;0.0;0.0;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;13.8 (14:40);4.1 (23:50);9.0;46 (15:40);36 (04:00);0.0;0.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;12.9 (13:40);3.7 (23:59);8.3;40 (02:30);18 (15:40);0.0;0.0;0.0;0.0
Benidorm;Alacant/Alicante;14.1 (13:20);4.3 (23:59);9.2;38 (06:50);22 (09:50);0.0;0.0;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;14.1 (12:40);2.2 (22:40);8.2;42 (10:50);24 (11:20);0.0;0.0;0.0;0.0
Pego;Alacant/Alicante;12.6 (12:30);6.3 (19:50);9.5;33 (01:10);18 (00:50);0.0;0.0;0.0;0.0
Alcoy/Alcoi;Alacant/Alicante;9.2 (13:40);3.3 (23:59);6.2;39 (10:50);17 (10:40);0.4;0.0;0.0;0.4
Vélez Blanco - Topares;Almería;5.1 (14:00);-0.8 (06:40);2.1;;;0.0;0.0;0.0;0.0
