Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;11.7 (14:00);5.6 (07:20);8.6;78 (02:40);41 (07:10);2.0;0.4;1.6;0.0
As Pontes;A Coruña;8.7 (15:10);0.5 (22:20);4.6;;;;;;
A Coruña;A Coruña;10.3 (15:00);6.0 (06:40);8.2;53 (15:10);31 (16:10);4.8;1.8;2.2;0.8
A Coruña Aeropuerto;A Coruña;10.0 (16:20);2.9 (08:50);6.5;45 (13:30);25 (16:30);4.4;1.4;1.9;0.5
Carballo, Depuradora;A Coruña;10.3 (16:50);3.4 (08:50);6.9;;;5.4;3.0;2.2;0.2
Cabo Vilan;A Coruña;;;;77 (05:10);57 (05:10);1.2;0.1;0.8;0.3
Vimianzo;A Coruña;8.0 (15:50);2.1 (23:30);5.0;;;;;;
Fisterra;A Coruña;9.2 (16:50);5.4 (08:30);7.3;72 (03:20);42 (02:40);0.6;0.4;0.2;0.0
Mazaricos;A Coruña;7.7 (16:10);2.5 (09:00);5.1;;;;;;
Sobrado;A Coruña;;;;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;;;;;;;0.4;0.3;0.3
Noia;A Coruña;9.2 (14:10);2.6 (09:10);5.9;22 (16:00);5 (16:00);3.0;1.6;1.4;0.0
Monte Iroite;A Coruña;;;;;;;;;
Boiro;A Coruña;10.8 (15:40);2.7 (08:40);6.8;;;2.2;2.0;0.2;0.0
Padrón;A Coruña;10.3 (14:50);1.3 (09:20);5.8;31 (15:10);15 (15:10);3.3;1.0;0.9;1.4
Santiago de Compostela;A Coruña;9.7 (14:20);2.5 (09:20);6.1;36 (12:40);12 (12:50);3.5;3.0;0.2;0.3
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;5.2 (16:30);-2.8 (08:50);1.2;38 (12:10);20 (13:10);3.8;1.2;2.2;0.4
Villarrobledo;Albacete;9.4 (15:00);-1.1 (08:50);4.1;46 (12:20);26 (13:10);0.0;0.0;0.0;0.0
Munera;Albacete;4.6 (15:30);-2.5 (07:50);1.0;37 (13:30);19 (13:50);0.8;0.6;0.0;0.2
Yeste, Embalse Fuensanta;Albacete;7.9 (16:40);2.0 (08:20);5.0;;;0.8;0.8;0.0;0.0
Nerpio;Albacete;0.1 (00:00);-5.1 (23:10);-2.5;;;2.2;0.0;0.2;2.0
Yeste;Albacete;4.9 (15:50);-0.5 (08:40);2.2;;;5.4;1.8;2.6;1.0
Hellín;Albacete;7.8 (16:30);1.4 (08:50);4.6;61 (23:40);35 (23:50);3.2;3.2;0.0;0.0
Tobarra;Albacete;7.9 (16:20);1.9 (07:30);4.9;;;2.0;2.0;0.0;0.0
Albacete Base Aérea;Albacete;8.0 (15:40);-0.4 (08:50);3.8;;;0.2;0.2;0.0;0.0
Chinchilla;Albacete;5.1 (17:20);-2.7 (10:20);1.2;49 (17:30);26 (18:20);1.1;1.1;0.0;0.0
Albacete;Albacete;8.7 (15:40);0.0 (08:30);4.3;39 (13:50);13 (10:10);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;10.4 (16:20);0.4 (09:20);5.4;30 (16:50);16 (17:10);0.0;0.0;0.0;0.0
Almansa;Albacete;6.5 (16:50);-0.8 (21:50);2.8;30 (23:59);12 (14:00);3.2;3.2;0.0;0.0
Orihuela;Alacant/Alicante;11.6 (17:40);5.4 (12:00);8.5;36 (19:40);18 (23:40);13.6;6.4;4.8;2.4
Pinoso;Alacant/Alicante;6.0 (18:00);-0.2 (12:10);2.9;30 (10:40);17 (01:30);7.6;7.0;0.6;0.0
Rojales;Alacant/Alicante;10.8 (00:00);4.8 (13:20);7.8;38 (11:00);24 (11:00);31.4;14.2;8.4;8.8
Villena;Alacant/Alicante;7.3 (16:50);0.6 (21:40);4.0;32 (15:10);21 (01:40);5.2;4.8;0.2;0.2
Novelda;Alacant/Alicante;8.4 (17:40);2.8 (23:59);5.6;;;16.2;13.4;2.2;0.6
Elche/Elx;Alacant/Alicante;9.2 (00:00);1.4 (23:30);5.3;;;17.4;10.4;5.8;0.8
Alicante-Elche Aeropuerto;Alacant/Alicante;10.3 (00:00);3.4 (23:10);6.9;42 (12:10);32 (12:10);28.4;21.6;6.2;0.6
Alicante/Alacant;Alacant/Alicante;9.9 (00:00);5.4 (23:59);7.6;31 (22:00);15 (22:00);16.6;16.4;0.2;0.0
Benidorm;Alacant/Alicante;10.0 (16:50);4.0 (23:50);7.0;49 (07:30);26 (07:00);6.2;5.6;0.6;0.0
Jávea/ Xàbia;Alacant/Alicante;9.5 (21:00);4.9 (19:50);7.2;62 (09:50);34 (07:50);38.8;16.6;18.2;4.0
Pego;Alacant/Alicante;9.4 (16:50);4.5 (10:10);6.9;37 (12:50);21 (12:50);29.8;11.4;17.8;0.6
Alcoy/Alcoi;Alacant/Alicante;6.1 (17:00);0.2 (10:40);3.1;36 (20:30);13 (20:30);15.4;11.2;3.0;1.2
Vélez Blanco - Topares;Almería;2.5 (00:00);-1.6 (23:59);0.4;;;0.8;0.8;0.0;0.0
El Ejido;Almería;16.6 (15:50);9.5 (08:20);13.1;;;0.4;0.0;0.0;0.4
Roquetas de Mar;Almería;15.6 (16:50);6.6 (23:50);11.1;;;0.4;0.0;0.4;0.0
Abla;Almería;5.7 (01:30);1.6 (07:40);3.6;39 (11:10);19 (09:50);;;0.0;0.0
Almería Aeropuerto;Almería;14.8 (00:00);8.1 (07:10);11.5;72 (12:40);50 (12:40);1.8;0.2;1.6;0.0
Cabo de Gata;Almería;14.4 (00:00);9.1 (08:20);11.8;75 (12:40);40 (12:20);0.8;0.0;0.8;0.0
Garrucha, Puerto;Almería;13.4 (00:00);8.5 (08:30);10.9;58 (16:00);37 (16:00);4.0;3.6;0.4;0.0
Albox;Almería;9.8 (16:10);4.0 (08:10);6.9;63 (12:00);44 (14:40);0.2;0.0;0.2;0.0
Huercal Overa;Almería;11.4 (00:00);5.3 (08:40);8.3;55 (14:50);31 (14:50);1.0;1.0;0.0;0.0
Alborán;Almería;;;;;;;;;
Aramaio;Araba/Álava;3.4 (12:40);-0.3 (01:30);1.6;;;21.6;10.0;0.2;2.4
Amurrio;Araba/Álava;5.1 (14:40);0.3 (06:40);2.7;28 (16:00);13 (16:00);24.6;10.0;5.6;2.4
Lalastra;Araba/Álava;1.7 (15:10);-2.1 (09:00);-0.2;33 (06:20);17 (04:50);21.0;8.0;8.0;2.4
Agurain/Salvatierra;Araba/Álava;1.5 (14:00);-1.6 (09:20);-0.1;28 (14:00);19 (14:00);8.2;0.0;0.4;7.2
Vitoria Gasteiz Aeropuerto;Araba/Álava;4.1 (16:00);-0.1 (07:50);2.0;41 (16:30);28 (19:00);12.2;6.8;0.2;0.8
Labastida;Araba/Álava;3.9 (14:20);-0.1 (07:50);1.9;50 (17:30);23 (17:30);6.6;5.4;0.4;0.2
Leza;Araba/Álava;4.6 (14:40);0.4 (03:30);2.5;;;4.4;0.8;1.4;0.2
Campezo/Kanpezu;Araba/Álava;3.3 (14:20);-0.6 (08:00);1.3;;;5.4;0.4;0.8;3.0
Cabrales;Asturias;3.1 (02:20);0.8 (08:40);1.9;47 (00:50);31 (00:40);16.4;6.0;3.8;5.2
Llanes;Asturias;;;;62 (04:10);28 (04:10);19.4;1.2;6.6;10.0
Amieva, Panizales;Asturias;4.7 (16:40);1.7 (01:00);3.2;20 (00:10);11 (00:20);20.8;8.2;2.8;4.4
Piloña;Asturias;5.5 (13:40);0.9 (09:00);3.2;21 (14:40);11 (14:40);13.6;6.4;3.8;1.8
Colunga;Asturias;9.4 (14:50);4.1 (07:20);6.7;44 (00:50);18 (01:30);8.6;3.0;1.0;0.2
Gijón, Campus;Asturias;9.6 (14:50);3.2 (08:30);6.4;46 (02:50);25 (03:00);13.4;4.8;4.6;2.4
Cabo Peñas;Asturias;9.3 (16:40);5.2 (04:10);7.3;53 (07:10);28 (19:00);4.2;1.3;1.8;0.2
Asturias Aeropuerto;Asturias;9.7 (12:10);3.7 (06:40);6.7;42 (03:40);18 (18:20);6.0;1.9;1.2;2.3
Puerto de Pajares;Asturias;-3.2 (00:20);-4.4 (08:20);-3.8;22 (00:10);10 (00:10);19.1;3.5;8.3;5.9
Pola de Lena;Asturias;3.4 (12:10);0.7 (08:30);2.1;28 (07:40);12 (03:50);12.6;4.8;2.8;3.6
Aller;Asturias;1.3 (14:40);-0.4 (08:10);0.4;19 (03:50);10 (01:40);37.8;11.4;9.2;10.0
Mieres;Asturias;6.3 (11:50);2.6 (08:20);4.5;23 (11:10);10 (04:40);11.8;3.6;2.0;5.4
Oviedo;Asturias;5.2 (15:30);1.6 (06:50);3.4;49 (04:20);24 (04:20);11.4;3.4;1.0;5.6
Tineo, Soto de la Barca;Asturias;5.8 (16:10);1.4 (03:10);3.6;30 (13:40);13 (13:40);8.2;1.0;2.6;2.2
Pola de Somiedo;Asturias;2.3 (13:00);0.3 (07:20);1.3;23 (02:50);9 (05:00);15.8;4.0;6.8;3.2
Salas;Asturias;8.2 (14:50);1.8 (07:50);5.0;26 (15:00);11 (23:10);13.0;3.0;5.4;2.4
Cabo Busto;Asturias;10.0 (15:50);5.0 (09:30);7.5;80 (11:20);46 (18:10);5.4;0.6;1.8;1.0
Ibias, San Antolin;Asturias;2.8 (15:40);-0.5 (04:30);1.1;27 (02:10);13 (02:10);10.2;5.0;2.6;2.4
Villayón, Oneta;Asturias;6.5 (15:00);1.2 (03:40);3.9;67 (18:20);32 (18:20);;;;
Castropol;Asturias;9.7 (14:30);3.8 (22:40);6.7;49 (09:50);18 (09:50);9.1;0.0;3.7;4.1
Taramundi, Ouria;Asturias;5.4 (14:40);1.5 (02:50);3.5;49 (15:10);23 (10:10);15.6;4.2;7.4;3.4
Puerto de Leitariegos;Asturias;-3.5 (14:30);-5.2 (01:00);-4.3;;40 (22:20);;;;
Muñotello;Ávila;0.8 (17:10);-3.0 (08:50);-1.1;32 (17:10);19 (14:00);0.2;0.0;0.0;0.2
Ávila;Ávila;2.0 (17:30);-2.9 (08:30);-0.5;44 (01:50);27 (03:50);0.2;0.0;0.2;0.0
Gotarrendura;Ávila;3.5 (17:00);-2.8 (08:40);0.4;28 (15:10);20 (14:50);0.0;0.0;0.0;0.0
Arevalo;Ávila;4.7 (17:00);-2.6 (04:30);1.0;28 (21:50);16 (21:30);0.0;0.0;0.0;0.0
Rivilla de Barajas;Ávila;3.4 (18:00);-2.8 (07:50);0.3;29 (15:10);18 (15:10);0.0;0.0;0.0;0.0
Navarredonda de Gredos;Ávila;;;;37 (04:00);12 (00:20);;;;
Barco de Avila;Ávila;2.4 (18:00);-3.3 (23:59);-0.4;28 (06:20);15 (08:10);1.0;0.0;0.0;1.0
Puerto El Pico;Ávila;;;;;;0.0;0.0;0.0;0.0
Cebreros;Ávila;4.8 (14:40);-0.5 (06:10);2.2;58 (09:30);26 (14:20);0.0;0.0;0.0;0.0
Candeleda;Ávila;10.4 (13:00);2.8 (06:40);6.6;55 (18:20);31 (16:30);0.0;0.0;0.0;0.0
Herrera del Duque;Badajoz;11.5 (16:00);-0.1 (09:00);5.7;38 (16:30);23 (16:30);0.0;0.0;0.0;0.0
Peraleda del Zaucejo;Badajoz;9.4 (15:40);0.7 (08:30);5.0;28 (16:00);19 (07:10);0.0;0.0;0.0;0.0
Castuera;Badajoz;10.3 (16:00);0.8 (08:40);5.6;37 (14:40);21 (15:00);0.0;0.0;0.0;0.0
Navalvillar de Pela;Badajoz;11.9 (16:00);0.1 (08:40);6.0;33 (16:20);19 (17:00);0.0;0.0;0.0;0.0
Don Benito;Badajoz;12.1 (16:00);0.3 (08:40);6.2;36 (14:00);15 (16:30);0.0;0.0;0.0;0.0
Llerena;Badajoz;8.2 (15:50);-0.2 (08:20);4.0;38 (16:20);24 (07:10);0.0;0.0;0.0;0.0
Villafranca de los Barros;Badajoz;10.4 (16:00);0.2 (22:50);5.3;36 (17:20);25 (16:50);0.0;0.0;0.0;0.0
Mérida;Badajoz;12.8 (15:50);0.5 (23:30);6.7;39 (13:00);19 (12:40);0.0;0.0;0.0;0.0
Zafra;Badajoz;10.4 (16:10);-0.6 (23:50);4.9;44 (10:20);27 (10:50);0.0;0.0;0.0;0.0
Almendralejo;Badajoz;10.8 (15:30);0.2 (08:20);5.5;44 (16:40);31 (16:30);0.0;0.0;0.0;0.0
Badajoz Aeropuerto;Badajoz;12.6 (15:50);3.0 (08:10);7.8;39 (17:20);28 (17:30);0.0;0.0;0.0;0.0
Alburquerque;Badajoz;11.8 (16:20);1.9 (22:30);6.9;47 (04:20);25 (01:00);0.0;0.0;0.0;0.0
Puebla de Obando;Badajoz;10.3 (16:30);2.8 (08:20);6.6;48 (12:50);28 (09:30);0.0;0.0;0.0;0.0
Badajoz;Badajoz;13.3 (14:30);1.2 (23:50);7.3;43 (12:30);31 (15:50);0.0;0.0;0.0;0.0
Olivenza;Badajoz;11.2 (16:50);1.5 (09:10);6.3;45 (13:40);30 (13:40);0.0;0.0;0.0;0.0
Alconchel;Badajoz;12.0 (17:00);3.0 (08:20);7.5;44 (13:50);25 (13:30);0.0;0.0;0.0;0.0
Barcarrota;Badajoz;;;;;;;0.0;;
Villanueva del Fresno;Badajoz;11.5 (16:20);1.7 (08:40);6.6;44 (14:20);27 (14:20);0.0;0.0;0.0;0.0
Monesterio;Badajoz;6.8 (16:20);-0.4 (07:20);3.2;38 (15:20);18 (14:50);0.0;0.0;0.0;0.0
Fuente de Cantos;Badajoz;8.4 (16:50);-0.2 (08:00);4.1;44 (00:20);35 (00:20);0.0;0.0;0.0;0.0
Jerez de los Caballeros;Badajoz;10.4 (15:40);2.6 (08:20);6.5;43 (15:00);31 (15:00);0.0;0.0;0.0;0.0
Fregenal de la Sierra;Badajoz;8.6 (16:50);0.4 (08:40);4.5;36 (16:20);19 (00:50);0.0;0.0;0.0;0.0
Azuaga;Badajoz;8.9 (16:10);-1.4 (08:30);3.7;35 (15:10);24 (05:50);0.0;0.0;0.0;0.0
Pontons;Barcelona;7.6 (16:30);0.7 (02:40);4.1;46 (22:30);26 (22:30);1.8;1.8;0.0;0.0
Vilafranca del Penedès;Barcelona;11.3 (16:10);3.4 (08:10);7.4;26 (15:10);11 (11:30);0.0;0.0;0.0;0.0
