Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;11.1 (14:40);8.1 (07:40);9.6;70 (00:30);53 (00:30);;;;
As Pontes;A Coruña;12.5 (14:20);0.4 (08:50);6.5;;;;;;
A Coruña;A Coruña;13.3 (15:40);5.3 (08:30);9.3;41 (02:00);24 (17:10);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;13.2 (16:10);0.6 (07:10);6.9;32 (01:00);16 (16:30);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;13.3 (16:40);-1.4 (08:30);6.0;;;;;;
Cabo Vilan;A Coruña;;;;62 (00:20);42 (02:10);0.0;0.0;0.0;0.0
Vimianzo;A Coruña;12.9 (15:00);1.5 (07:40);7.2;;;;;;
Fisterra;A Coruña;11.0 (12:30);5.3 (05:10);8.2;63 (03:20);40 (03:20);0.0;0.0;0.0;0.0
Mazaricos;A Coruña;11.6 (17:10);0.8 (08:30);6.2;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;12.8 (15:50);0.7 (08:30);6.8;18 (00:20);10 (16:10);0.0;0.0;0.0;0.0
Noia;A Coruña;13.6 (16:20);3.2 (08:40);8.4;30 (00:40);12 (00:40);;;;
Boiro;A Coruña;14.9 (16:50);1.7 (08:30);8.3;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;16.0 (15:50);1.0 (08:40);8.5;43 (00:30);35 (00:40);0.0;0.0;0.0;0.0
Santiago de Compostela;A Coruña;14.6 (15:30);2.2 (08:10);8.4;23 (05:30);9 (04:40);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;13.9 (17:00);2.5 (08:30);8.2;;;;;;
Ossa de Montiel;Albacete;8.6 (15:40);-5.1 (08:30);1.8;33 (16:10);16 (13:20);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;12.4 (16:40);-4.7 (07:50);3.8;42 (16:30);24 (13:50);0.0;0.0;0.0;0.0
Munera;Albacete;8.2 (17:00);-8.2 (07:50);0.0;40 (15:00);19 (15:00);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;12.6 (16:20);1.1 (07:10);6.9;;;0.2;0.2;0.0;0.0
Nerpio;Albacete;5.4 (15:40);-5.8 (06:00);-0.2;;;0.2;0.0;0.2;0.0
Yeste;Albacete;10.0 (15:20);-0.1 (07:20);4.9;;;1.2;1.2;0.0;0.0
