Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;12.4 (14:30);6.2 (00:00);9.3;119 (05:10);91 (05:00);;;;
As Pontes;A Coruña;9.4 (23:20);2.3 (00:00);5.8;;;;;;
A Coruña;A Coruña;12.4 (23:00);6.0 (00:20);9.2;58 (07:10);31 (06:20);13.8;1.4;6.8;4.8
A Coruña Aeropuerto;A Coruña;12.1 (21:20);4.7 (00:40);8.4;50 (02:10);31 (02:10);17.3;2.9;8.6;5.1
Carballo, Depuradora;A Coruña;11.6 (22:50);5.0 (00:00);8.3;;;0.0;0.0;0.0;0.0
Cabo Vilan;A Coruña;;;;85 (06:40);66 (03:50);34.6;4.3;26.2;4.0
Vimianzo;A Coruña;10.9 (23:59);6.1 (00:00);8.5;;;;;;
Fisterra;A Coruña;11.0 (19:20);7.3 (00:00);9.2;94 (07:10);75 (08:40);7.8;1.8;3.4;2.4
Mazaricos;A Coruña;10.2 (22:10);4.8 (00:00);7.5;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;9.9 (23:20);1.4 (00:10);5.6;50 (08:00);32 (08:10);29.9;4.5;18.8;4.6
Noia;A Coruña;12.1 (23:40);4.5 (00:00);8.3;58 (05:40);17 (06:20);;;;
Boiro;A Coruña;12.9 (19:50);2.9 (00:00);7.9;;;20.8;1.4;17.0;2.2
Padrón;A Coruña;11.5 (23:30);3.7 (00:00);7.6;69 (07:10);33 (07:10);39.9;7.7;27.5;4.4
Santiago de Compostela;A Coruña;;;;;;;;;
Rois, Casas do Porto;A Coruña;11.2 (22:50);5.1 (00:00);8.1;;;;;;
Ossa de Montiel;Albacete;8.9 (14:30);-3.7 (06:50);2.6;40 (15:40);22 (12:20);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;8.9 (16:00);-2.4 (06:10);3.2;52 (16:30);34 (12:50);0.0;0.0;0.0;0.0
Munera;Albacete;8.6 (15:40);-4.5 (04:50);2.1;38 (13:10);19 (13:10);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;12.3 (16:10);-2.2 (08:30);5.1;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;4.4 (16:50);-6.5 (04:30);-1.0;;;2.6;0.0;0.8;1.8
Yeste;Albacete;10.3 (15:40);-1.3 (07:30);4.5;;;0.0;0.0;0.0;0.0
Hellín;Albacete;13.5 (16:00);-1.0 (08:20);6.3;35 (13:50);20 (14:00);0.0;0.0;0.0;0.0
Tobarra;Albacete;13.9 (15:00);-1.6 (07:40);6.1;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;10.4 (15:10);-3.3 (07:30);3.5;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;;;;;;;;;
Albacete;Albacete;11.2 (16:00);-0.4 (07:20);5.4;41 (13:30);18 (13:10);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;10.9 (16:30);-2.3 (08:00);4.3;45 (14:50);26 (14:50);0.0;0.0;0.0;0.0
Almansa;Albacete;10.6 (16:20);-4.0 (07:00);3.3;49 (16:40);25 (15:30);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;17.6 (16:30);3.2 (07:30);10.4;26 (00:20);15 (00:10);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;12.1 (16:30);-5.1 (07:40);3.5;36 (15:20);17 (15:10);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;17.4 (16:50);5.0 (08:30);11.2;30 (19:00);17 (14:40);0.0;0.0;0.0;0.0
