Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;5.5 (20:40);2.2 (07:20);3.9;83 (08:20);60 (03:50);;;;
As Pontes;A Coruña;4.2 (23:59);-0.4 (06:30);1.9;;;;;;
A Coruña;A Coruña;6.9 (21:10);1.9 (08:40);4.4;47 (02:50);30 (02:50);3.6;0.0;1.8;0.6
A Coruña Aeropuerto;A Coruña;6.2 (18:10);1.0 (08:50);3.6;39 (03:30);21 (03:30);7.4;0.0;2.3;4.0
Carballo, Depuradora;A Coruña;5.8 (18:40);0.9 (05:00);3.4;;;;;;
Cabo Vilan;A Coruña;;;;72 (03:50);48 (03:40);1.1;0.0;1.1;0.0
Vimianzo;A Coruña;6.7 (23:40);0.0 (05:40);3.3;;;;;;
Fisterra;A Coruña;10.4 (17:00);1.1 (02:30);5.7;64 (05:30);41 (05:50);1.0;1.0;0.0;0.0
Mazaricos;A Coruña;7.4 (18:00);-0.3 (02:30);3.6;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;7.0 (23:50);-1.2 (01:40);2.9;32 (04:00);12 (00:50);10.9;0.0;3.4;6.2
Noia;A Coruña;9.2 (18:10);1.6 (02:20);5.4;31 (05:10);12 (05:10);;;;
Boiro;A Coruña;9.0 (17:20);3.3 (01:50);6.1;;;3.0;1.8;0.2;0.2
Padrón;A Coruña;7.0 (23:59);0.7 (01:30);3.8;52 (04:40);36 (04:40);11.4;2.9;1.7;4.8
Santiago de Compostela;A Coruña;7.1 (19:10);0.6 (05:00);3.8;27 (10:30);10 (10:00);4.4;0.7;1.6;1.1
Rois, Casas do Porto;A Coruña;6.7 (23:30);0.2 (01:20);3.4;;;;;;
Ossa de Montiel;Albacete;11.5 (12:30);6.7 (00:00);9.1;59 (11:30);31 (14:00);7.0;2.8;0.0;0.0
Villarrobledo;Albacete;14.0 (13:30);3.6 (00:10);8.8;59 (15:30);39 (11:50);18.0;4.6;0.0;0.0
Munera;Albacete;13.2 (13:30);6.5 (00:00);9.8;62 (16:10);26 (13:30);5.8;2.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;16.5 (15:20);6.3 (04:30);11.4;;;0.2;0.2;0.0;0.0
Nerpio;Albacete;10.8 (14:20);4.7 (06:30);7.8;;;0.6;0.0;0.0;0.0
Yeste;Albacete;17.0 (14:10);3.9 (08:00);10.5;;;0.0;0.0;0.0;0.0
Hellín;Albacete;15.4 (14:50);5.1 (00:20);10.2;26 (19:00);16 (19:00);0.2;0.1;0.0;0.1
Tobarra;Albacete;16.3 (15:30);5.7 (00:20);11.0;;;0.2;0.2;0.0;0.0
Albacete Base Aérea;Albacete;13.9 (15:50);5.5 (00:00);9.7;;;1.8;1.8;0.0;0.0
