Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Fuerteventura Aeropuerto;Las Palmas;18.9 (14:00);10.7 (22:30);14.8;74 (14:30);44 (15:10);2.3;0.0;0.0;1.1
La Oliva;Las Palmas;15.6 (11:10);9.7 (06:50);12.7;67 (14:10);36 (14:10);5.0;0.2;1.8;2.8
La Oliva, Puerto de Corralejo;Las Palmas;17.2 (13:10);12.8 (23:50);15.0;80 (18:30);54 (15:10);1.0;0.0;0.2;0.0
Vega de San Mateo;Las Palmas;3.0 (11:50);-0.6 (23:59);1.2;64 (23:50);31 (14:20);30.4;6.2;3.0;9.2
Tejeda, Cruz de Tejeda;Las Palmas;4.2 (11:20);0.8 (23:59);2.5;42 (23:20);16 (14:00);48.0;9.6;5.2;14.4
Tejeda;Las Palmas;8.4 (15:40);5.2 (23:59);6.8;72 (22:30);32 (14:50);25.4;4.8;4.4;7.0
Agaete;Las Palmas;17.8 (15:20);13.9 (19:10);15.8;60 (19:50);40 (17:00);3.4;0.0;0.8;0.4
La Aldea de San Nicolás;Las Palmas;19.0 (12:10);12.6 (19:20);15.8;63 (17:30);32 (19:10);4.0;0.0;0.0;0.4
San Bartolome Tirajana, Cuevas del Pinar;Las Palmas;7.7 (12:20);4.2 (23:10);5.9;61 (22:40);28 (17:50);9.6;1.6;1.2;3.2
San Bartolome Tirajana, Lomo Pedro Alfonso;Las Palmas;14.0 (12:10);7.6 (23:00);10.8;72 (23:00);31 (23:50);1.2;0.0;0.2;0.0
La Aldea de San Nicolás, Tasarte;Las Palmas;15.6 (12:20);10.7 (19:30);13.2;74 (19:20);38 (21:30);9.8;0.2;0.6;0.8
Mogán, Puerto Rico;Las Palmas;19.5 (15:50);14.9 (06:20);17.2;58 (23:40);33 (15:00);0.0;0.0;0.0;0.0
Mogán, Puerto;Las Palmas;21.5 (13:00);13.2 (19:40);17.3;51 (20:40);33 (16:20);1.1;0.0;0.0;0.0
San Bartolome Tirajana, Las Tirajanas;Las Palmas;11.7 (12:30);6.2 (04:40);8.9;94 (23:50);41 (18:00);6.0;0.6;0.4;1.4
Maspalomas, C. Insular Turismo;Las Palmas;20.2 (14:10);13.9 (08:00);17.1;44 (14:40);25 (14:40);0.0;0.0;0.0;0.0
San Bartolome Tirajana, El Matorral;Las Palmas;19.8 (12:50);12.2 (07:50);16.0;50 (20:00);33 (20:30);0.0;0.0;0.0;0.0
Agüimes;Las Palmas;17.1 (12:30);10.0 (23:59);13.6;66 (22:30);39 (23:59);5.8;0.4;1.0;0.4
Telde, Centro Forestal Doramas;Las Palmas;15.5 (12:30);10.1 (23:59);12.8;57 (17:20);30 (22:20);14.4;0.4;1.6;3.6
Gran Canaria Aeropuerto;Las Palmas;18.9 (12:50);12.2 (23:59);15.5;58 (22:30);31 (21:10);4.9;0.4;1.6;1.0
Telde, Melenara;Las Palmas;18.6 (12:30);13.1 (18:40);15.9;64 (22:20);35 (22:20);4.8;0.4;0.4;0.8
