Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;10.6 (14:50);6.2 (08:20);8.4;82 (02:10);52 (21:00);6.2;1.6;1.4;1.2
As Pontes;A Coruña;6.7 (16:00);0.6 (08:30);3.6;;;;;;
A Coruña;A Coruña;9.5 (16:40);5.3 (04:40);7.4;61 (10:30);39 (03:20);15.2;3.4;2.6;6.4
A Coruña Aeropuerto;A Coruña;9.3 (16:20);2.3 (05:50);5.8;68 (04:30);31 (04:30);13.0;3.8;4.4;4.4
Carballo, Depuradora;A Coruña;9.1 (16:20);3.1 (10:10);6.1;;;19.2;6.6;6.6;2.0
Cabo Vilan;A Coruña;;;;80 (23:30);60 (05:20);9.9;1.2;2.0;4.2
Vimianzo;A Coruña;7.4 (14:30);2.7 (07:30);5.1;;;;;;
Fisterra;A Coruña;8.6 (15:00);3.9 (06:50);6.3;93 (03:30);54 (03:20);4.4;0.8;1.4;2.2
Mazaricos;A Coruña;6.6 (17:00);2.4 (10:40);4.5;;;;;;
Sobrado;A Coruña;;;;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;6.8 (16:30);0.7 (08:30);3.8;41 (04:10);24 (04:10);4.0;1.8;1.6;0.0
Noia;A Coruña;8.0 (15:50);2.5 (08:30);5.3;26 (16:20);8 (16:20);1.6;0.4;1.2;0.0
Monte Iroite;A Coruña;;;;;;;;;
Boiro;A Coruña;10.5 (16:10);2.6 (09:00);6.5;;;2.0;1.4;0.6;0.0
Padrón;A Coruña;10.6 (15:00);2.3 (08:20);6.5;41 (19:30);18 (15:10);5.7;3.8;1.5;0.3
Santiago de Compostela;A Coruña;8.9 (16:30);2.5 (08:10);5.7;44 (19:10);13 (14:40);4.3;1.8;1.9;0.5
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;2.2 (16:00);-0.3 (04:40);1.0;25 (08:30);13 (01:00);12.8;0.0;0.0;12.6
Villarrobledo;Albacete;4.0 (15:20);0.1 (03:10);2.1;38 (02:30);23 (02:20);11.0;3.0;7.4;0.6
Munera;Albacete;2.9 (14:40);-1.0 (21:20);1.0;32 (02:00);15 (01:20);10.2;0.0;0.6;9.6
Yeste, Embalse Fuensanta;Albacete;7.6 (14:30);0.8 (23:59);4.2;;;2.4;0.0;0.0;0.0
Nerpio;Albacete;1.1 (17:00);-3.0 (19:10);-0.9;;;0.2;0.0;0.2;0.0
Yeste;Albacete;5.2 (17:10);0.0 (23:59);2.6;;;0.2;0.0;0.0;0.0
Hellín;Albacete;8.6 (16:00);2.6 (09:20);5.6;18 (21:50);10 (22:00);4.2;0.0;1.5;0.0
Tobarra;Albacete;8.0 (16:20);2.4 (09:30);5.2;;;3.2;0.0;1.0;0.0
Albacete Base Aérea;Albacete;6.2 (15:10);0.3 (08:10);3.2;;;6.8;2.6;4.0;0.0
Chinchilla;Albacete;3.4 (03:10);-0.4 (07:00);1.5;31 (05:20);18 (03:40);8.1;0.0;0.9;7.2
Albacete;Albacete;6.3 (16:40);1.0 (07:50);3.7;27 (04:20);12 (00:10);7.8;1.7;6.0;0.0
Alcalá del Júcar;Albacete;3.8 (17:20);0.2 (08:30);2.0;23 (05:00);12 (05:00);7.4;0.0;3.0;4.4
Almansa;Albacete;5.4 (15:30);1.5 (09:10);3.5;27 (00:20);10 (00:10);5.2;0.0;4.8;0.4
Orihuela;Alacant/Alicante;13.0 (16:50);3.2 (05:10);8.1;14 (11:00);8 (10:50);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;7.5 (16:40);-0.5 (06:40);3.5;32 (17:20);10 (00:30);0.2;0.0;0.0;0.2
Rojales;Alacant/Alicante;12.5 (17:10);3.6 (07:10);8.0;23 (22:00);12 (22:00);0.2;0.0;0.0;0.0
Villena;Alacant/Alicante;8.4 (17:30);-0.1 (06:00);4.1;17 (12:10);11 (12:10);1.4;0.0;0.0;0.4
Novelda;Alacant/Alicante;11.5 (16:50);5.6 (03:20);8.5;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;13.0 (17:10);5.2 (01:20);9.1;;;0.0;0.0;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;12.9 (17:20);4.1 (01:40);8.5;30 (21:40);19 (04:50);0.8;0.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;12.7 (12:50);6.4 (07:50);9.5;27 (22:30);12 (22:30);2.6;0.0;0.0;0.0
Benidorm;Alacant/Alicante;14.3 (12:30);5.0 (02:50);9.7;22 (20:30);13 (20:20);1.8;0.0;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;14.2 (12:50);4.8 (05:00);9.5;28 (13:40);17 (17:30);1.4;0.0;0.0;0.0
Pego;Alacant/Alicante;11.6 (00:00);8.4 (22:50);10.0;33 (02:40);20 (02:10);1.0;0.0;0.0;0.0
Alcoy/Alcoi;Alacant/Alicante;8.6 (15:30);4.3 (23:59);6.5;18 (02:00);9 (02:10);4.6;0.0;0.0;0.0
Vélez Blanco - Topares;Almería;3.7 (16:50);-1.9 (09:20);0.9;;;0.4;0.0;0.4;0.0
El Ejido;Almería;13.9 (14:50);7.4 (04:50);10.6;;;6.0;0.0;0.0;0.0
Roquetas de Mar;Almería;13.6 (10:50);4.1 (05:30);8.9;;;4.6;0.0;0.0;0.0
Abla;Almería;8.6 (16:20);1.9 (20:00);5.3;23 (02:40);12 (02:40);3.6;0.0;0.0;0.6
Almería Aeropuerto;Almería;14.6 (12:10);5.9 (05:30);10.3;55 (11:50);40 (12:00);2.8;0.0;0.0;0.0
Cabo de Gata;Almería;13.9 (11:00);10.5 (21:00);12.2;60 (10:50);42 (10:50);4.2;0.0;0.0;0.0
Garrucha, Puerto;Almería;13.8 (15:50);6.6 (08:00);10.2;44 (19:50);35 (20:00);1.0;0.0;0.0;0.0
Albox;Almería;12.0 (15:20);4.3 (23:00);8.2;51 (03:50);38 (04:00);2.2;0.0;0.0;0.0
Huercal Overa;Almería;12.6 (15:30);3.8 (08:20);8.2;21 (13:10);12 (13:10);2.0;0.0;0.0;0.0
Alborán;Almería;;;;;;;;;
Aramaio;Araba/Álava;4.1 (16:20);0.4 (00:30);2.2;;;6.4;4.4;0.2;1.4
Amurrio;Araba/Álava;7.4 (14:10);2.5 (08:40);5.0;22 (14:20);10 (18:00);4.0;2.6;0.6;0.2
Lalastra;Araba/Álava;2.9 (15:40);-1.1 (07:50);0.9;37 (14:40);18 (18:30);0.4;0.0;0.0;0.0
Agurain/Salvatierra;Araba/Álava;3.3 (14:10);0.3 (02:20);1.8;16 (15:20);13 (15:20);7.6;1.4;2.4;3.4
