Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;11.2 (16:10);5.6 (07:10);8.4;57 (23:59);45 (22:30);;;;
As Pontes;A Coruña;17.9 (15:20);-1.6 (08:20);8.1;;;;;;
A Coruña;A Coruña;16.4 (13:20);4.6 (08:40);10.5;23 (17:50);17 (07:40);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;17.7 (14:40);-0.5 (06:40);8.6;26 (17:00);16 (17:00);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;18.0 (14:50);-2.3 (08:20);7.9;;;;;;
Cabo Vilan;A Coruña;;;;30 (09:40);22 (06:50);0.0;0.0;0.0;0.0
Vimianzo;A Coruña;15.9 (16:30);1.1 (08:40);8.5;;;;;;
Fisterra;A Coruña;15.4 (16:10);8.3 (03:50);11.8;31 (09:50);23 (09:20);0.0;0.0;0.0;0.0
Mazaricos;A Coruña;14.6 (16:20);-1.2 (08:50);6.7;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;16.9 (17:10);1.5 (07:00);9.2;22 (12:50);13 (14:20);0.0;0.0;0.0;0.0
Noia;A Coruña;17.1 (15:30);2.5 (09:00);9.8;16 (14:00);9 (13:50);;;;
Boiro;A Coruña;17.1 (16:30);0.5 (08:20);8.8;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;18.7 (16:10);-1.7 (08:40);8.5;29 (06:00);22 (08:20);0.0;0.0;0.0;0.0
Santiago de Compostela;A Coruña;18.4 (16:10);1.0 (08:40);9.7;16 (13:10);6 (13:20);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;17.9 (17:20);2.1 (08:00);10.0;;;;;;
Ossa de Montiel;Albacete;13.1 (15:20);-3.8 (07:50);4.7;23 (12:30);8 (12:30);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;14.6 (15:10);-4.4 (08:20);5.1;32 (16:20);14 (16:20);0.0;0.0;0.0;0.0
Munera;Albacete;11.8 (16:20);-5.9 (08:10);3.0;23 (14:50);11 (15:10);0.0;0.0;0.0;0.0
