Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;10.0 (14:30);5.6 (06:00);7.8;48 (19:50);37 (19:10);;;;
As Pontes;A Coruña;14.8 (15:30);-3.0 (08:10);5.9;;;;;;
A Coruña;A Coruña;13.6 (14:00);3.8 (06:50);8.7;23 (20:20);16 (18:10);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;14.1 (14:00);-0.9 (08:00);6.6;28 (07:20);13 (16:50);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;15.5 (14:20);-2.6 (08:20);6.5;;;;;;
Cabo Vilan;A Coruña;;;;24 (06:10);19 (06:10);0.0;0.0;0.0;0.0
Vimianzo;A Coruña;14.1 (14:40);1.1 (08:30);7.6;;;;;;
Fisterra;A Coruña;12.3 (15:00);7.8 (07:50);10.1;23 (17:30);18 (20:40);0.0;0.0;0.0;0.0
Mazaricos;A Coruña;12.3 (15:40);-1.4 (06:30);5.5;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;13.7 (16:50);0.2 (08:10);6.9;17 (14:50);11 (19:30);0.0;0.0;0.0;0.0
Noia;A Coruña;14.0 (14:20);2.7 (09:00);8.4;16 (15:20);6 (06:10);;;;
Boiro;A Coruña;14.8 (16:50);-0.2 (08:00);7.3;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;16.5 (15:50);-1.9 (08:50);7.3;26 (10:40);20 (09:10);0.0;0.0;0.0;0.0
Santiago de Compostela;A Coruña;15.5 (14:50);0.6 (08:30);8.1;17 (15:40);8 (05:40);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;15.2 (17:30);1.2 (08:40);8.2;;;;;;
Ossa de Montiel;Albacete;11.8 (14:50);-6.0 (07:40);2.9;24 (12:20);10 (16:30);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;13.5 (14:30);-5.1 (03:30);4.2;26 (15:20);17 (17:30);0.0;0.0;0.0;0.0
Munera;Albacete;11.3 (16:40);-9.2 (07:00);1.1;19 (14:00);9 (15:30);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;17.3 (16:30);-5.1 (08:00);6.1;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;8.2 (15:30);-8.9 (07:40);-0.3;;;0.0;0.0;0.0;0.0
Yeste;Albacete;12.0 (16:40);-3.6 (08:00);4.2;;;0.0;0.0;0.0;0.0
Hellín;Albacete;12.7 (17:00);-1.6 (08:20);5.5;23 (16:30);10 (12:50);0.0;0.0;0.0;0.0
Tobarra;Albacete;13.4 (16:10);-3.2 (06:50);5.1;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;12.3 (15:40);-4.6 (08:00);3.9;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;11.5 (16:20);-2.7 (07:20);4.4;27 (14:40);17 (12:20);0.0;0.0;0.0;0.0
Albacete;Albacete;13.2 (16:40);-4.1 (08:00);4.5;18 (13:00);7 (12:10);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;14.5 (16:50);-4.5 (08:10);5.0;22 (15:40);10 (14:30);0.0;0.0;0.0;0.0
Almansa;Albacete;11.5 (15:10);-6.6 (08:00);2.5;18 (12:30);8 (13:20);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;15.6 (17:00);0.4 (07:40);8.0;22 (17:50);11 (17:30);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;12.1 (15:20);-5.5 (07:30);3.3;24 (17:10);13 (19:30);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;14.1 (14:40);2.3 (07:50);8.2;23 (13:50);12 (11:20);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;13.0 (15:20);-5.9 (06:50);3.5;25 (17:20);17 (17:40);0.0;0.0;0.0;0.0
Novelda;Alacant/Alicante;15.4 (14:20);1.5 (07:50);8.4;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;16.0 (14:30);2.2 (01:20);9.1;;;0.0;0.0;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;14.8 (13:10);2.8 (07:40);8.8;28 (16:30);18 (04:40);0.0;0.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;15.0 (13:20);2.2 (07:20);8.6;21 (13:20);12 (13:30);0.0;0.0;0.0;0.0
Benidorm;Alacant/Alicante;14.8 (13:40);1.9 (07:00);8.4;23 (14:10);12 (13:30);0.0;0.0;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;14.4 (12:30);0.2 (07:20);7.3;21 (12:40);11 (12:00);0.0;0.0;0.0;0.0
Pego;Alacant/Alicante;13.6 (14:30);3.9 (06:00);8.8;22 (13:40);10 (06:50);0.0;0.0;0.0;0.0
Alcoy/Alcoi;Alacant/Alicante;13.0 (15:30);-0.5 (07:10);6.3;25 (19:10);10 (19:10);0.0;0.0;0.0;0.0
Vélez Blanco - Topares;Almería;9.8 (16:40);-4.6 (06:50);2.6;;;0.0;0.0;0.0;0.0
Adra;Almería;16.1 (14:50);8.9 (07:50);12.5;15 (12:00);9 (11:40);0.0;0.0;0.0;0.0
El Ejido;Almería;16.2 (14:00);6.3 (07:10);11.3;;;0.0;0.0;0.0;0.0
Roquetas de Mar;Almería;15.1 (15:50);5.8 (07:00);10.5;;;0.0;0.0;0.0;0.0
Abla;Almería;13.7 (15:30);0.0 (07:10);6.8;33 (18:10);17 (17:40);0.0;0.0;0.0;0.0
