Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;10.3 (15:40);5.9 (08:00);8.1;68 (02:10);51 (02:50);;;;
As Pontes;A Coruña;14.6 (15:20);-2.0 (08:00);6.3;;;;;;
A Coruña;A Coruña;13.7 (13:50);4.4 (07:30);9.0;26 (08:00);17 (08:30);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;14.2 (14:10);-0.8 (08:40);6.7;26 (11:20);15 (08:20);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;15.1 (14:40);-2.5 (08:00);6.3;;;;;;
Cabo Vilan;A Coruña;;;;43 (10:10);23 (15:10);0.0;0.0;0.0;0.0
Vimianzo;A Coruña;13.0 (15:00);1.3 (07:40);7.1;;;;;;
Fisterra;A Coruña;13.6 (16:00);6.3 (04:50);10.0;37 (09:40);26 (09:10);0.0;0.0;0.0;0.0
Mazaricos;A Coruña;11.5 (14:50);-0.3 (08:20);5.6;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;;;;;;;;;0.0
Noia;A Coruña;13.8 (14:10);2.7 (07:00);8.3;17 (16:30);5 (16:10);;;;
Boiro;A Coruña;15.2 (16:50);0.7 (07:30);7.9;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;16.4 (15:50);-0.9 (08:10);7.7;23 (08:00);19 (08:00);0.0;0.0;0.0;0.0
Santiago de Compostela;A Coruña;15.5 (16:30);1.1 (08:10);8.3;14 (03:20);6 (02:10);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;15.0 (15:50);2.1 (06:00);8.5;;;;;;
Ossa de Montiel;Albacete;8.2 (15:20);-6.7 (08:00);0.8;17 (12:20);8 (17:50);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;11.3 (15:40);-6.1 (07:50);2.6;14 (11:50);8 (22:00);0.0;0.0;0.0;0.0
Munera;Albacete;7.1 (16:40);-11.0 (07:40);-2.0;15 (17:20);7 (15:40);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;14.7 (16:40);-4.0 (08:20);5.3;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;7.4 (16:20);-7.4 (04:20);0.0;;;0.0;0.0;0.0;0.0
Yeste;Albacete;9.8 (15:30);-4.0 (07:10);2.9;;;0.0;0.0;0.0;0.0
Hellín;Albacete;10.6 (16:30);-1.3 (07:10);4.7;29 (04:40);16 (04:30);0.0;0.0;0.0;0.0
Tobarra;Albacete;11.8 (16:00);-1.3 (08:00);5.3;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;9.5 (17:20);-7.7 (07:50);0.9;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;9.4 (17:20);-5.6 (06:40);1.9;24 (07:40);18 (06:00);0.0;0.0;0.0;0.0
Albacete;Albacete;;;;;;;0.0;0.0;0.0
Alcalá del Júcar;Albacete;12.0 (16:40);-5.0 (08:10);3.5;15 (15:10);8 (15:10);0.0;0.0;0.0;0.0
Almansa;Albacete;9.6 (15:30);-6.3 (07:50);1.7;19 (14:50);7 (13:10);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;13.4 (15:00);4.0 (06:50);8.7;26 (16:30);17 (09:10);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;9.8 (15:50);-5.3 (07:50);2.3;28 (14:40);12 (18:20);0.0;0.0;0.0;0.0
