Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;11.0 (12:20);4.7 (09:10);7.8;58 (22:20);45 (22:20);;;;
As Pontes;A Coruña;8.0 (15:40);-1.5 (07:30);3.3;;;;;;
A Coruña;A Coruña;10.0 (16:00);5.5 (10:50);7.8;32 (21:40);20 (21:40);0.6;0.0;0.6;0.0
A Coruña Aeropuerto;A Coruña;9.8 (15:00);1.6 (04:50);5.7;42 (23:59);30 (23:59);2.1;0.0;1.9;0.2
Carballo, Depuradora;A Coruña;10.1 (17:00);0.9 (04:00);5.5;;;1.6;0.0;1.6;0.0
Cabo Vilan;A Coruña;;;;56 (23:40);45 (23:59);6.3;0.0;6.3;0.0
Vimianzo;A Coruña;8.7 (15:10);0.8 (03:50);4.7;;;;;;
Fisterra;A Coruña;9.6 (16:30);3.5 (12:20);6.6;54 (23:59);41 (23:59);6.2;0.0;4.2;2.0
Mazaricos;A Coruña;7.1 (15:40);0.7 (04:20);3.9;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;6.6 (16:00);-0.5 (07:00);3.0;28 (07:30);14 (20:20);1.1;0.0;1.1;0.0
Noia;A Coruña;8.4 (15:40);2.3 (04:50);5.3;16 (15:40);7 (23:20);;;;
Boiro;A Coruña;9.5 (17:10);1.6 (05:10);5.6;;;0.4;0.0;0.4;0.0
Padrón;A Coruña;10.7 (16:20);0.0 (06:50);5.3;26 (08:10);18 (07:50);1.7;0.0;1.6;0.0
Santiago de Compostela;A Coruña;;;;;;;;;
Rois, Casas do Porto;A Coruña;9.3 (15:30);1.3 (08:20);5.3;;;;;;
Ossa de Montiel;Albacete;6.7 (05:40);-0.6 (23:59);3.0;34 (11:20);17 (06:10);8.4;0.0;6.4;2.0
Villarrobledo;Albacete;9.0 (16:00);0.6 (23:50);4.8;35 (00:40);21 (01:30);11.6;2.2;9.2;0.2
Munera;Albacete;6.5 (10:00);-2.1 (23:50);2.2;28 (13:50);13 (13:50);10.6;0.0;6.8;3.8
Yeste, Embalse Fuensanta;Albacete;11.2 (10:40);2.0 (23:50);6.6;;;1.0;0.0;0.4;0.6
Nerpio;Albacete;4.8 (10:50);-1.8 (22:40);1.5;;;4.2;0.0;1.0;2.6
Yeste;Albacete;9.6 (14:10);2.6 (21:00);6.1;;;5.0;0.0;1.6;3.4
Hellín;Albacete;12.2 (10:30);4.4 (23:40);8.3;48 (22:50);27 (14:50);0.4;0.0;0.0;0.4
Tobarra;Albacete;11.9 (10:30);5.3 (23:59);8.6;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;8.2 (00:20);0.1 (23:20);4.1;;;11.4;0.0;6.6;4.8
Chinchilla;Albacete;;;;;;;;;
Albacete;Albacete;8.3 (02:10);1.5 (23:50);4.9;30 (04:00);16 (02:10);10.5;0.0;6.7;3.8
Alcalá del Júcar;Albacete;8.5 (16:40);1.3 (23:00);4.9;32 (15:10);18 (16:50);4.8;1.0;1.4;2.4
Almansa;Albacete;9.5 (16:00);0.7 (23:59);5.1;38 (00:20);22 (00:10);2.6;0.0;0.8;1.8
Orihuela;Alacant/Alicante;16.1 (16:00);7.6 (06:20);11.9;40 (16:50);23 (16:30);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;11.7 (13:50);2.6 (20:30);7.1;35 (15:10);16 (14:50);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;15.6 (14:20);7.5 (23:20);11.6;35 (16:00);21 (16:00);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;11.1 (13:10);2.2 (23:30);6.7;38 (01:40);21 (01:40);0.4;0.0;0.0;0.4
Novelda;Alacant/Alicante;15.3 (14:10);7.2 (23:59);11.3;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;16.6 (14:10);5.1 (21:50);10.9;;;1.0;0.0;0.0;1.0
Alicante-Elche Aeropuerto;Alacant/Alicante;16.2 (14:10);7.4 (21:50);11.8;32 (10:30);23 (14:40);2.9;0.0;0.0;2.9
Alicante/Alacant;Alacant/Alicante;15.8 (11:20);6.5 (23:59);11.2;27 (14:20);15 (15:10);1.2;0.0;0.0;1.2
Benidorm;Alacant/Alicante;15.4 (05:40);5.8 (23:30);10.6;27 (04:30);15 (06:20);2.2;0.0;0.0;2.2
Jávea/ Xàbia;Alacant/Alicante;15.3 (07:10);4.0 (22:40);9.7;35 (07:00);18 (15:40);5.2;0.0;0.0;5.2
