Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;13.0 (15:10);5.7 (04:00);9.3;41 (00:40);30 (21:40);;;;
As Pontes;A Coruña;9.2 (15:40);-1.3 (04:40);3.9;;;;;;
A Coruña;A Coruña;10.6 (16:00);3.6 (03:50);7.1;30 (21:00);18 (23:00);1.4;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;10.9 (15:00);-0.8 (03:50);5.0;33 (19:30);25 (19:40);1.4;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;10.7 (14:30);-0.1 (07:20);5.3;;;1.2;0.2;0.0;0.0
Cabo Vilan;A Coruña;;;;49 (22:30);;2.5;0.0;0.1;1.3
Vimianzo;A Coruña;8.8 (14:00);-0.1 (00:30);4.4;;;;;;
Fisterra;A Coruña;10.3 (14:50);4.0 (02:20);7.2;58 (23:20);36 (22:50);5.0;0.0;0.0;0.4
Mazaricos;A Coruña;8.0 (15:00);-0.2 (02:00);3.9;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;8.0 (16:10);-2.1 (05:50);3.0;30 (21:20);19 (21:20);0.9;0.0;0.0;0.0
Noia;A Coruña;9.5 (13:50);1.0 (05:10);5.3;18 (22:50);10 (22:50);;;;
Boiro;A Coruña;9.4 (17:00);-0.2 (05:00);4.6;;;1.0;0.0;0.0;0.0
Padrón;A Coruña;11.9 (15:40);-1.9 (06:50);5.0;23 (07:50);17 (07:20);0.4;0.0;0.0;0.0
Santiago de Compostela;A Coruña;;;;;;;;;
Rois, Casas do Porto;A Coruña;9.7 (15:10);0.1 (05:40);4.9;;;;;;
Ossa de Montiel;Albacete;3.7 (13:20);-7.5 (08:20);-1.9;24 (17:00);13 (17:10);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;7.2 (16:00);-7.2 (08:00);0.0;26 (16:10);15 (15:20);0.0;0.0;0.0;0.0
Munera;Albacete;1.9 (16:00);-11.1 (08:20);-4.6;19 (17:00);10 (15:20);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;12.0 (15:10);-1.6 (02:40);5.2;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;3.2 (13:10);-11.8 (23:10);-4.3;;;0.0;0.0;0.0;0.0
Yeste;Albacete;7.3 (15:10);-2.6 (08:30);2.4;;;0.0;0.0;0.0;0.0
