Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;15.4 (11:20);11.1 (21:40);13.3;77 (02:00);62 (02:00);;;;
As Pontes;A Coruña;13.4 (14:40);11.6 (23:50);12.5;;;;;;
A Coruña;A Coruña;16.8 (13:10);11.6 (23:59);14.2;41 (02:30);25 (02:50);3.6;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;16.2 (14:50);11.3 (23:40);13.8;33 (05:50);20 (13:10);2.6;0.0;0.0;0.6
Carballo, Depuradora;A Coruña;16.2 (15:00);11.8 (23:50);14.0;;;;;;
Cabo Vilan;A Coruña;;;;61 (01:10);47 (01:10);8.1;0.0;1.7;0.5
Vimianzo;A Coruña;13.2 (14:50);10.8 (23:30);12.0;;;;;;
Fisterra;A Coruña;;;;;;;;;
Mazaricos;A Coruña;13.2 (16:00);11.6 (02:40);12.4;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;12.8 (13:10);11.6 (00:00);12.2;50 (14:00);25 (05:40);16.4;1.7;3.4;5.7
Noia;A Coruña;13.9 (18:30);12.3 (23:59);13.1;38 (05:10);11 (00:50);;;;
Boiro;A Coruña;13.1 (17:20);12.3 (07:20);12.7;;;18.4;3.4;5.6;5.6
Padrón;A Coruña;14.0 (14:40);12.6 (04:30);13.3;40 (05:00);19 (04:30);19.0;1.5;3.4;8.5
Santiago de Compostela;A Coruña;13.5 (13:40);12.1 (04:40);12.8;37 (12:40);12 (11:10);11.7;1.7;2.0;5.5
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;14.5 (15:50);5.5 (03:00);10.0;21 (13:50);8 (18:10);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;15.8 (16:50);4.4 (08:10);10.1;25 (00:50);15 (13:30);0.0;0.0;0.0;0.0
Munera;Albacete;12.3 (16:30);2.0 (23:59);7.2;21 (14:10);10 (13:40);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;22.4 (17:00);3.4 (08:30);12.9;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;14.0 (16:20);-1.2 (07:20);6.4;;;0.0;0.0;0.0;0.0
Yeste;Albacete;18.5 (16:10);3.8 (07:10);11.1;;;0.0;0.0;0.0;0.0
Hellín;Albacete;17.7 (16:20);7.7 (04:20);12.7;32 (01:50);19 (01:50);0.0;0.0;0.0;0.0
Tobarra;Albacete;18.9 (15:10);9.0 (00:40);13.9;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;15.5 (15:40);5.9 (23:59);10.7;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;12.5 (14:40);4.6 (08:40);8.5;42 (05:00);26 (05:10);0.0;0.0;0.0;0.0
Albacete;Albacete;15.9 (15:50);7.4 (02:30);11.6;27 (03:10);13 (03:10);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;18.2 (16:40);5.7 (08:20);12.0;31 (14:40);16 (14:40);0.0;0.0;0.0;0.0
Almansa;Albacete;18.3 (15:40);5.5 (03:10);11.9;25 (01:40);13 (00:40);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;23.1 (16:50);10.4 (23:59);16.8;40 (00:30);22 (00:30);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;18.0 (15:40);5.3 (22:30);11.7;34 (02:30);14 (02:30);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;22.1 (15:10);11.7 (23:10);16.9;37 (02:20);24 (00:20);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;20.5 (16:30);5.0 (08:00);12.8;32 (02:00);23 (02:00);0.0;0.0;0.0;0.0
Novelda;Alacant/Alicante;23.4 (15:00);11.1 (07:50);17.3;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;22.8 (14:20);9.6 (23:10);16.2;;;0.0;0.0;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;21.0 (13:20);11.1 (22:00);16.1;52 (05:30);38 (01:20);0.0;0.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;21.3 (14:00);9.5 (08:30);15.4;21 (04:00);11 (12:50);0.0;0.0;0.0;0.0
Benidorm;Alacant/Alicante;20.5 (12:50);9.2 (06:30);14.8;17 (13:30);10 (13:10);0.0;0.0;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;21.8 (15:10);7.2 (08:00);14.5;30 (15:20);17 (01:20);0.0;0.0;0.0;0.0
Pego;Alacant/Alicante;22.9 (17:20);13.7 (08:10);18.3;35 (03:20);22 (03:20);0.0;0.0;0.0;0.0
Alcoy/Alcoi;Alacant/Alicante;20.4 (14:40);8.9 (08:20);14.6;24 (07:20);16 (06:40);0.0;0.0;0.0;0.0
Vélez Blanco - Topares;Almería;17.0 (16:50);1.2 (06:40);9.1;;;0.0;0.0;0.0;0.0
Adra;Almería;17.1 (16:30);11.7 (08:30);14.4;22 (02:50);10 (03:20);0.0;0.0;0.0;0.0
El Ejido;Almería;19.2 (15:20);9.0 (05:50);14.1;;;0.0;0.0;0.0;0.0
