Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;8.9 (16:10);5.2 (08:10);7.0;75 (22:30);42 (23:50);;;;
As Pontes;A Coruña;6.3 (16:20);-0.8 (06:40);2.8;;;;;;
A Coruña;A Coruña;9.4 (15:40);4.7 (06:00);7.0;61 (22:20);36 (22:20);4.2;0.2;0.8;0.4
A Coruña Aeropuerto;A Coruña;9.6 (16:20);1.8 (09:30);5.7;39 (19:10);22 (19:10);3.7;0.0;0.8;0.0
Carballo, Depuradora;A Coruña;9.4 (14:10);2.2 (08:10);5.8;;;6.0;0.2;1.4;0.0
Cabo Vilan;A Coruña;;;;99 (21:30);74 (23:59);6.4;0.2;0.1;0.2
Vimianzo;A Coruña;7.7 (15:10);1.3 (06:00);4.5;;;;;;
Fisterra;A Coruña;8.5 (14:50);3.8 (07:20);6.1;73 (22:20);45 (22:00);3.4;0.0;0.0;0.0
Mazaricos;A Coruña;6.9 (14:20);1.7 (06:10);4.3;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;7.5 (16:40);-0.9 (06:40);3.3;33 (16:40);22 (16:40);0.5;0.0;0.0;0.0
Noia;A Coruña;9.5 (15:50);2.0 (06:50);5.8;19 (15:00);6 (15:00);0.0;0.0;0.0;0.0
Boiro;A Coruña;10.8 (16:20);3.7 (07:10);7.3;;;0.6;0.0;0.0;0.0
Padrón;A Coruña;10.3 (15:40);0.7 (07:40);5.5;31 (15:40);20 (13:10);0.1;0.0;0.0;0.0
Santiago de Compostela;A Coruña;9.4 (16:30);1.8 (07:20);5.6;31 (16:00);10 (15:10);0.6;0.0;0.0;0.1
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;0.8 (12:10);-3.7 (07:30);-1.5;33 (15:50);18 (18:20);0.8;0.0;0.4;0.4
Villarrobledo;Albacete;6.3 (12:00);-4.3 (05:50);1.0;32 (17:30);21 (14:50);0.6;0.0;0.6;0.0
Munera;Albacete;1.0 (12:20);-7.2 (05:50);-3.1;29 (21:00);15 (21:00);0.6;0.0;0.6;0.0
Yeste, Embalse Fuensanta;Albacete;5.7 (14:40);-2.3 (08:30);1.7;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;-1.0 (12:50);-14.8 (03:40);-7.9;;;1.0;0.0;0.4;0.6
Yeste;Albacete;3.3 (11:40);-3.4 (06:30);-0.1;;;0.0;0.0;0.0;0.0
Hellín;Albacete;5.7 (13:40);0.9 (04:40);3.3;44 (21:10);27 (18:50);0.0;0.0;0.0;0.0
Tobarra;Albacete;6.7 (13:30);0.8 (05:40);3.7;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;2.2 (13:10);-2.3 (05:50);0.0;;;0.4;0.0;0.0;0.4
Chinchilla;Albacete;-0.3 (00:10);-3.2 (08:40);-1.8;34 (20:30);19 (14:20);0.4;0.0;0.0;0.4
Albacete;Albacete;2.6 (13:10);-1.5 (05:30);0.5;23 (11:50);10 (11:50);0.5;0.0;0.0;0.5
Alcalá del Júcar;Albacete;3.5 (16:40);-0.2 (04:10);1.6;31 (18:20);17 (18:20);1.2;0.0;0.2;1.0
Almansa;Albacete;4.9 (16:40);-0.2 (03:50);2.4;23 (09:20);8 (12:50);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;11.8 (15:20);4.3 (08:10);8.1;48 (20:50);27 (20:10);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;5.0 (14:20);-0.1 (08:50);2.4;30 (16:10);15 (15:00);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;12.4 (14:10);5.1 (08:10);8.7;37 (18:20);24 (18:20);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;8.1 (14:20);1.3 (08:00);4.7;32 (20:20);21 (20:10);0.0;0.0;0.0;0.0
Novelda;Alacant/Alicante;11.0 (12:40);4.9 (08:10);8.0;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;13.6 (13:30);5.7 (08:50);9.7;;;0.0;0.0;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;12.5 (14:10);6.7 (09:10);9.6;41 (16:10);28 (19:40);0.0;0.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;13.0 (13:50);6.1 (09:10);9.5;27 (21:10);14 (18:50);0.0;0.0;0.0;0.0
Benidorm;Alacant/Alicante;12.3 (14:40);6.2 (05:40);9.3;23 (18:10);13 (12:30);1.6;0.8;0.4;0.0
Jávea/ Xàbia;Alacant/Alicante;8.9 (10:50);5.0 (23:50);6.9;39 (21:30);21 (21:30);23.0;0.0;0.2;1.0
Pego;Alacant/Alicante;8.1 (11:30);5.1 (23:10);6.6;26 (15:10);15 (06:40);7.2;1.8;0.0;0.2
Alcoy/Alcoi;Alacant/Alicante;5.7 (15:20);2.0 (23:59);3.8;18 (15:10);9 (11:20);1.6;1.2;0.0;0.2
Vélez Blanco - Topares;Almería;2.1 (16:30);-7.5 (04:10);-2.7;;;0.2;0.0;0.2;0.0
Adra;Almería;15.6 (14:20);7.2 (05:20);11.4;28 (22:20);14 (16:30);0.0;0.0;0.0;0.0
El Ejido;Almería;15.3 (14:20);5.6 (03:00);10.5;;;0.0;0.0;0.0;0.0
Roquetas de Mar;Almería;;;;;;;0.0;;
Abla;Almería;8.7 (13:20);-0.3 (08:00);4.2;37 (20:30);14 (19:50);0.0;0.0;0.0;0.0
Almería Aeropuerto;Almería;14.4 (13:30);5.4 (05:00);9.9;58 (20:50);35 (21:00);0.0;0.0;0.0;0.0
Cabo de Gata;Almería;15.4 (12:00);8.0 (03:30);11.7;77 (23:59);39 (23:59);0.0;0.0;0.0;0.0
Garrucha, Puerto;Almería;13.8 (13:50);6.3 (04:00);10.1;42 (18:50);27 (15:40);0.0;0.0;0.0;0.0
Albox;Almería;11.2 (15:30);1.9 (08:00);6.5;51 (18:50);37 (16:50);0.0;0.0;0.0;0.0
Huercal Overa;Almería;12.3 (14:00);2.5 (08:30);7.4;51 (15:00);27 (17:30);0.0;0.0;0.0;0.0
Alborán;Almería;;;;;;;;;
Aramaio;Araba/Álava;2.1 (13:20);-0.6 (08:10);0.7;;;9.4;3.4;0.4;2.0
Amurrio;Araba/Álava;6.3 (15:00);1.2 (23:30);3.8;29 (14:40);15 (14:40);6.6;1.2;0.6;1.0
Lalastra;Araba/Álava;1.1 (15:50);-2.8 (07:10);-0.8;50 (02:20);24 (00:20);1.4;0.8;0.6;0.0
Agurain/Salvatierra;Araba/Álava;1.5 (11:20);-0.5 (06:50);0.5;33 (08:10);18 (13:30);0.4;0.0;0.0;0.2
Vitoria Gasteiz Aeropuerto;Araba/Álava;5.1 (15:50);-0.4 (21:30);2.3;54 (01:30);39 (02:10);1.2;0.0;0.0;0.0
Labastida;Araba/Álava;2.8 (14:20);-0.2 (23:59);1.3;67 (03:50);45 (03:20);0.4;0.2;0.0;0.0
Leza;Araba/Álava;2.8 (16:30);0.3 (23:59);1.5;;;0.2;0.0;0.0;0.2
Campezo/Kanpezu;Araba/Álava;3.5 (11:20);0.2 (07:00);1.9;;;0.0;0.0;0.0;0.0
Cabrales;Asturias;2.1 (13:50);-0.5 (08:30);0.8;24 (00:20);15 (06:10);12.8;2.4;1.8;8.4
Llanes;Asturias;9.1 (13:50);3.8 (08:00);6.5;41 (17:40);21 (23:40);10.6;0.0;2.0;3.2
Amieva, Panizales;Asturias;3.4 (14:30);-0.1 (22:40);1.7;;;20.6;2.8;3.8;11.0
Piloña;Asturias;4.2 (14:20);-0.1 (09:00);2.0;17 (14:40);9 (14:40);12.2;0.0;2.6;4.4
Colunga;Asturias;6.9 (00:10);2.2 (07:30);4.6;28 (01:30);14 (09:40);18.0;1.8;3.6;5.4
Gijón, Campus;Asturias;7.3 (14:10);2.5 (08:20);4.9;28 (22:30);10 (13:50);8.2;0.0;0.4;1.8
Cabo Peñas;Asturias;7.5 (23:59);3.3 (09:30);5.4;48 (22:20);17 (09:30);9.3;0.2;3.2;3.0
Asturias Aeropuerto;Asturias;8.1 (14:30);2.1 (06:30);5.1;42 (23:10);15 (08:10);7.3;0.2;2.1;2.0
Puerto de Pajares;Asturias;;;;;;;;;
Pola de Lena;Asturias;3.4 (15:20);0.0 (08:40);1.7;19 (16:20);8 (16:20);12.6;0.6;1.6;8.2
Aller;Asturias;;;;;;;;;
Mieres;Asturias;6.8 (15:00);1.1 (07:20);4.0;31 (15:50);10 (15:50);11.6;0.8;0.4;1.4
Oviedo;Asturias;5.0 (14:50);0.0 (07:50);2.5;30 (15:30);16 (15:30);10.0;0.0;1.0;2.8
Tineo, Soto de la Barca;Asturias;3.1 (16:00);0.1 (05:30);1.6;10 (01:20);4 (01:20);11.2;0.2;1.6;5.2
Pola de Somiedo;Asturias;1.3 (16:10);-1.9 (07:50);-0.3;24 (23:59);8 (22:40);4.0;0.0;0.0;0.4
Salas;Asturias;5.0 (14:40);0.0 (06:50);2.5;27 (21:40);13 (02:10);11.2;0.2;5.2;2.8
Cabo Busto;Asturias;;;;;;;;;4.2
Degaña;Asturias;-2.5 (14:20);-5.3 (01:10);-3.9;39 (05:10);17 (02:40);;;;
Ibias, San Antolin;Asturias;1.7 (13:50);-1.9 (05:10);-0.1;41 (00:20);29 (03:10);2.8;0.0;0.6;0.4
Villayón, Oneta;Asturias;3.9 (13:00);0.9 (09:40);2.4;47 (22:40);23 (22:40);;;;
Castropol;Asturias;9.3 (17:20);1.3 (06:40);5.3;49 (00:40);24 (01:40);4.6;0.7;1.9;0.3
Taramundi, Ouria;Asturias;4.9 (16:30);0.1 (04:10);2.5;34 (21:50);22 (21:50);7.6;1.2;2.4;0.2
Puerto de Leitariegos;Asturias;;;;;;;;;
Muñotello;Ávila;0.3 (13:50);-4.3 (09:30);-2.0;36 (01:00);23 (01:30);4.6;0.0;0.0;4.6
Ávila;Ávila;-0.7 (15:30);-4.5 (09:30);-2.6;37 (01:50);23 (01:40);1.2;0.2;1.0;0.0
Gotarrendura;Ávila;0.3 (15:20);-5.0 (09:00);-2.3;30 (15:40);19 (07:40);0.2;0.0;0.2;0.0
Arevalo;Ávila;2.3 (16:30);-3.3 (08:40);-0.5;36 (03:00);18 (03:40);0.0;0.0;0.0;0.0
Rivilla de Barajas;Ávila;0.4 (17:30);-4.9 (08:40);-2.3;34 (04:30);27 (04:50);0.0;0.0;0.0;0.0
Navarredonda de Gredos;Ávila;;;;49 (06:20);19 (00:50);;;;
Barco de Avila;Ávila;1.0 (13:20);-4.4 (23:10);-1.7;33 (02:10);17 (13:00);7.4;0.0;3.2;4.2
Puerto El Pico;Ávila;;;;;;;0.0;;
Cebreros;Ávila;3.7 (14:00);-1.0 (08:50);1.4;72 (07:20);25 (06:00);0.0;0.0;0.0;0.0
Candeleda;Ávila;10.5 (14:40);1.2 (23:50);5.9;30 (00:40);16 (12:10);0.0;0.0;0.0;0.0
Herrera del Duque;Badajoz;11.0 (15:50);1.9 (06:00);6.4;40 (23:00);26 (23:00);0.2;0.2;0.0;0.0
Peraleda del Zaucejo;Badajoz;9.0 (16:30);-4.7 (23:59);2.2;33 (18:50);22 (18:50);0.0;0.0;0.0;0.0
Castuera;Badajoz;9.1 (16:10);1.2 (08:50);5.2;36 (18:20);22 (18:20);0.2;0.0;0.0;0.2
Navalvillar de Pela;Badajoz;11.0 (15:50);3.5 (05:40);7.3;27 (17:10);19 (17:30);0.0;0.0;0.0;0.0
Don Benito;Badajoz;12.4 (15:20);1.7 (09:30);7.0;40 (17:30);22 (17:50);0.0;0.0;0.0;0.0
Llerena;Badajoz;8.4 (16:10);-0.4 (23:59);4.0;40 (18:20);25 (17:00);0.0;0.0;0.0;0.0
Villafranca de los Barros;Badajoz;10.0 (16:00);-0.6 (08:40);4.7;34 (16:40);23 (16:50);0.0;0.0;0.0;0.0
Mérida;Badajoz;13.0 (14:40);1.0 (07:50);7.0;36 (18:40);18 (18:50);0.0;0.0;0.0;0.0
Zafra;Badajoz;9.6 (16:00);-1.4 (08:40);4.1;40 (17:20);24 (17:20);0.0;0.0;0.0;0.0
Almendralejo;Badajoz;10.3 (15:40);1.0 (08:30);5.7;41 (17:10);28 (16:40);0.0;0.0;0.0;0.0
Badajoz Aeropuerto;Badajoz;12.0 (15:50);2.7 (08:30);7.4;41 (15:00);30 (15:10);0.0;0.0;0.0;0.0
Alburquerque;Badajoz;10.5 (16:00);1.9 (23:20);6.2;49 (10:50);27 (10:30);0.0;0.0;0.0;0.0
Puebla de Obando;Badajoz;9.2 (15:40);1.8 (07:30);5.5;41 (15:00);27 (11:50);0.0;0.0;0.0;0.0
Badajoz;Badajoz;13.4 (16:10);-0.6 (23:40);6.4;46 (10:10);34 (06:50);0.0;0.0;0.0;0.0
Olivenza;Badajoz;10.7 (16:10);1.9 (23:50);6.3;44 (00:20);35 (00:20);0.0;0.0;0.0;0.0
Alconchel;Badajoz;11.5 (16:30);2.6 (07:00);7.0;41 (11:10);27 (11:20);0.0;0.0;0.0;0.0
Barcarrota;Badajoz;;;;;;;;;
Villanueva del Fresno;Badajoz;11.3 (17:10);0.8 (07:20);6.1;47 (10:30);30 (10:50);0.0;0.0;0.0;0.0
Monesterio;Badajoz;6.8 (16:00);-2.1 (06:10);2.4;32 (11:30);16 (12:10);0.0;0.0;0.0;0.0
Fuente de Cantos;Badajoz;8.2 (16:00);-1.6 (08:50);3.3;38 (17:00);27 (17:20);0.0;0.0;0.0;0.0
Jerez de los Caballeros;Badajoz;10.1 (15:50);1.9 (08:50);6.0;51 (02:20);35 (00:20);0.0;0.0;0.0;0.0
Fregenal de la Sierra;Badajoz;8.6 (15:20);-1.0 (08:40);3.8;31 (16:40);16 (17:00);0.0;0.0;0.0;0.0
Azuaga;Badajoz;8.6 (16:00);-0.1 (09:00);4.3;39 (18:40);27 (18:40);0.0;0.0;0.0;0.0
Pontons;Barcelona;6.7 (15:50);1.3 (23:40);4.0;30 (21:10);19 (23:10);6.6;5.2;1.4;0.0
Vilafranca del Penedès;Barcelona;9.6 (15:40);5.3 (23:59);7.5;24 (04:00);14 (04:20);5.2;3.8;1.4;0.0
Sitges;Barcelona;11.2 (12:20);6.0 (23:40);8.6;32 (10:00);12 (09:30);;;;
Barcelona Aeropuerto;Barcelona;11.2 (14:40);7.4 (06:20);9.3;30 (12:40);24 (12:40);5.9;1.1;4.8;0.0
Berga;Barcelona;7.8 (14:00);1.7 (23:20);4.8;23 (01:30);12 (10:00);4.6;4.0;0.4;0.2
Balsareny;Barcelona;10.9 (13:00);3.2 (23:50);7.0;24 (16:40);13 (16:40);4.6;4.6;0.0;0.0
Prats de Lluçanès;Barcelona;7.9 (13:30);1.9 (23:59);4.9;17 (09:30);12 (17:40);2.2;2.0;0.2;0.0
Moià;Barcelona;9.0 (12:50);0.5 (23:20);4.8;29 (11:20);11 (17:50);1.8;1.4;0.0;0.0
Manresa;Barcelona;10.3 (15:50);4.2 (23:50);7.3;30 (18:30);15 (19:10);2.6;2.6;0.0;0.0
Monistrol de Montserrat;Barcelona;6.3 (12:30);1.7 (22:50);4.0;;;3.2;2.6;0.0;0.2
Igualada;Barcelona;10.3 (12:40);3.8 (23:59);7.1;27 (17:30);9 (15:50);3.9;3.4;0.1;0.4
Corbera, Pic d'Agulles;Barcelona;6.9 (15:30);0.6 (23:40);3.8;;;5.0;2.8;2.0;0.0
Barcelona;Barcelona;11.4 (16:00);7.5 (23:00);9.4;32 (08:00);27 (02:50);2.1;1.5;0.6;0.0
Barcelona, Museo Marítimo;Barcelona;11.1 (14:20);7.9 (05:40);9.5;19 (03:10);10 (19:50);2.0;0.8;1.2;0.0
Caldes de Montbui;Barcelona;13.2 (13:10);4.9 (23:20);9.0;24 (04:50);15 (05:00);14.6;6.6;0.0;0.0
Vilassar de Dalt;Barcelona;11.9 (11:20);7.2 (23:59);9.5;29 (14:20);18 (14:20);5.4;5.4;0.0;0.0
Arenys de Mar;Barcelona;13.5 (11:30);6.0 (23:30);9.8;29 (08:50);15 (05:00);7.4;7.4;0.0;0.0
Santa Susanna;Barcelona;12.1 (14:50);4.5 (23:00);8.3;33 (18:20);19 (18:20);;;;
Fogars de Montclús;Barcelona;5.5 (11:50);1.0 (04:20);3.3;;;5.0;4.4;0.2;0.0
Tona;Barcelona;8.9 (15:00);2.9 (06:10);5.9;18 (20:00);10 (19:50);;;;
Sant Julià  de Vilatorta;Barcelona;9.9 (13:40);2.7 (06:00);6.3;16 (13:40);8 (11:00);0.5;0.3;0.2;0.0
Lekeitio;Bizkaia;7.1 (00:20);3.6 (22:40);5.3;72 (07:20);49 (13:20);0.9;0.0;0.0;0.1
Forua;Bizkaia;7.8 (14:40);2.4 (07:30);5.1;35 (00:20);18 (00:20);3.8;0.4;0.0;0.2
Machichaco;Bizkaia;7.0 (12:20);3.3 (22:20);5.1;41 (04:20);29 (12:40);1.2;0.0;0.0;0.0
Punta Galea;Bizkaia;7.2 (12:20);2.9 (22:50);5.0;66 (22:30);28 (01:10);10.0;0.0;0.0;0.4
Orozko;Bizkaia;5.7 (15:30);0.1 (20:30);2.9;30 (16:50);10 (16:50);3.4;0.8;0.0;2.2
Abadiño;Bizkaia;0.7 (14:00);-2.2 (06:10);-0.8;;;12.6;2.8;1.2;2.6
Amorebieta--Etxano;Bizkaia;6.6 (15:40);1.1 (08:40);3.8;48 (11:40);23 (17:00);8.8;1.2;1.0;1.6
Balmaseda;Bizkaia;7.6 (14:40);1.1 (06:50);4.3;;;6.0;2.2;0.6;0.4
