Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;12.0 (05:00);8.4 (23:10);10.2;69 (09:40);49 (09:00);;;;
As Pontes;A Coruña;10.4 (11:10);0.3 (23:59);5.3;;;;;;
A Coruña;A Coruña;12.7 (08:40);9.2 (23:59);10.9;44 (17:20);24 (17:30);10.0;2.0;6.4;1.6
A Coruña Aeropuerto;A Coruña;12.5 (09:00);4.8 (23:59);8.7;41 (11:40);24 (15:20);8.6;1.1;5.9;1.6
Carballo, Depuradora;A Coruña;12.2 (10:50);4.1 (23:59);8.1;;;0.2;0.0;0.0;0.0
Cabo Vilan;A Coruña;;;;51 (17:20);41 (19:20);8.2;0.7;6.6;0.9
Vimianzo;A Coruña;11.5 (10:50);3.6 (23:59);7.5;;;;;;
Fisterra;A Coruña;11.6 (00:00);6.6 (22:10);9.1;63 (15:40);48 (11:10);3.4;0.6;2.6;0.2
Mazaricos;A Coruña;11.2 (11:10);3.4 (23:59);7.3;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;11.0 (11:50);3.2 (22:40);7.1;54 (15:30);26 (15:50);6.2;0.0;1.3;4.9
Noia;A Coruña;12.2 (11:00);3.8 (23:59);8.0;28 (11:00);8 (00:40);;;;
Boiro;A Coruña;13.3 (13:20);4.3 (23:59);8.8;;;9.2;1.8;5.2;2.2
Padrón;A Coruña;12.2 (11:00);3.7 (23:59);7.9;35 (09:20);16 (11:50);6.3;0.4;2.0;3.9
Santiago de Compostela;A Coruña;;;;;;;;;
Rois, Casas do Porto;A Coruña;12.1 (12:40);4.9 (23:59);8.5;;;;;;
Ossa de Montiel;Albacete;13.0 (15:40);-2.9 (04:10);5.0;35 (17:10);15 (17:10);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;14.5 (16:40);-0.3 (02:00);7.1;40 (15:40);28 (16:00);0.0;0.0;0.0;0.0
Munera;Albacete;12.6 (16:40);-3.7 (03:00);4.5;26 (16:00);12 (17:00);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;16.8 (14:20);-1.4 (05:20);7.7;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;10.1 (16:10);-2.9 (02:00);3.6;;;0.0;0.0;0.0;0.0
Yeste;Albacete;15.4 (15:40);1.4 (02:10);8.4;;;0.0;0.0;0.0;0.0
Hellín;Albacete;15.2 (17:10);2.7 (03:20);8.9;42 (17:10);24 (16:10);0.0;0.0;0.0;0.0
Tobarra;Albacete;16.2 (15:30);4.0 (02:30);10.1;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;14.4 (17:00);0.1 (01:10);7.2;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;;;;;;;;;
Albacete;Albacete;15.1 (16:00);0.5 (01:10);7.8;35 (13:10);14 (11:30);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;14.4 (16:30);-0.9 (04:00);6.7;39 (14:30);22 (13:10);0.0;0.0;0.0;0.0
Almansa;Albacete;14.6 (15:50);-0.9 (04:20);6.9;45 (23:30);23 (23:40);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;21.0 (17:00);4.6 (06:00);12.8;31 (14:20);18 (11:50);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;14.4 (15:50);-1.3 (06:00);6.5;36 (11:40);19 (11:20);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;20.5 (16:30);2.9 (07:10);11.7;27 (17:50);17 (17:50);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;16.9 (16:00);-4.4 (06:20);6.2;44 (16:30);27 (16:30);0.0;0.0;0.0;0.0
Novelda;Alacant/Alicante;19.7 (15:30);3.5 (04:30);11.6;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;21.7 (15:40);4.4 (00:00);13.1;;;0.0;0.0;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;20.1 (16:20);4.3 (00:10);12.2;42 (10:30);30 (14:10);0.0;0.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;21.4 (15:30);3.0 (06:20);12.2;28 (16:00);14 (16:20);0.0;0.0;0.0;0.0
Benidorm;Alacant/Alicante;16.8 (16:00);2.8 (02:50);9.8;23 (16:10);13 (14:50);0.0;0.0;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;18.3 (14:20);1.6 (01:00);9.9;32 (22:10);16 (21:50);0.0;0.0;0.0;0.0
Pego;Alacant/Alicante;20.6 (16:40);5.8 (02:10);13.2;33 (10:40);21 (20:30);0.0;0.0;0.0;0.0
Alcoy/Alcoi;Alacant/Alicante;18.0 (15:20);1.1 (04:20);9.6;42 (19:50);20 (19:00);0.0;0.0;0.0;0.0
Vélez Blanco - Topares;Almería;13.0 (16:40);-2.7 (08:00);5.1;;;0.0;0.0;0.0;0.0
Adra;Almería;16.5 (11:50);9.4 (08:10);12.9;36 (17:10);22 (16:40);0.0;0.0;0.0;0.0
