Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;12.8 (13:30);8.8 (22:30);10.8;55 (20:00);42 (20:00);;;;
As Pontes;A Coruña;12.1 (14:10);7.0 (23:59);9.6;;;;;;
A Coruña;A Coruña;13.4 (13:10);9.7 (23:50);11.5;30 (18:50);19 (18:50);45.2;8.2;11.6;13.2
A Coruña Aeropuerto;A Coruña;13.6 (14:30);8.4 (23:59);11.0;41 (19:00);24 (19:00);38.8;5.5;8.2;16.7
Carballo, Depuradora;A Coruña;13.1 (13:20);8.2 (23:40);10.7;;;;;;
Cabo Vilan;A Coruña;;;;31 (21:30);25 (21:50);33.1;6.7;5.5;14.7
Vimianzo;A Coruña;12.3 (13:20);7.4 (23:50);9.9;;;;;;
Fisterra;A Coruña;;;;;;;;;
Mazaricos;A Coruña;12.1 (00:00);7.1 (23:59);9.6;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;11.6 (00:00);6.7 (23:59);9.2;46 (15:10);24 (15:10);31.6;0.8;9.1;12.3
Noia;A Coruña;12.5 (01:10);8.8 (23:40);10.7;39 (15:10);11 (02:40);;;;
Boiro;A Coruña;12.8 (15:00);9.9 (23:59);11.3;;;25.2;3.2;11.8;6.4
Padrón;A Coruña;12.7 (00:10);9.1 (23:40);10.9;43 (14:50);18 (14:50);47.2;3.1;24.7;13.5
Santiago de Compostela;A Coruña;12.6 (02:20);8.0 (23:50);10.3;33 (15:10);10 (14:50);55.1;3.3;18.8;11.8
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;13.8 (16:00);3.0 (04:40);8.4;17 (12:50);8 (13:00);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;10.9 (17:50);3.1 (23:59);7.0;17 (13:00);10 (13:30);0.0;0.0;0.0;0.0
Munera;Albacete;10.6 (17:10);1.7 (23:20);6.2;;;;0.0;;0.0
Yeste, Embalse Fuensanta;Albacete;20.7 (17:00);4.8 (06:20);12.8;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;14.2 (14:10);0.9 (03:10);7.5;;;0.0;0.0;0.0;0.0
Yeste;Albacete;17.7 (16:40);5.4 (03:50);11.6;;;0.0;0.0;0.0;0.0
