Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;6.9 (00:00);4.2 (21:30);5.5;99 (09:20);75 (19:50);;;;
As Pontes;A Coruña;7.6 (15:20);0.9 (23:30);4.2;;;;;;
A Coruña;A Coruña;8.9 (14:20);4.3 (23:40);6.6;54 (11:30);32 (11:50);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;9.4 (15:00);2.6 (08:20);6.0;45 (16:00);30 (14:10);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;10.4 (14:00);-3.1 (08:30);3.6;;;;;;
Cabo Vilan;A Coruña;;;;79 (18:20);50 (19:00);0.4;0.0;0.4;0.0
Vimianzo;A Coruña;8.6 (15:30);1.8 (08:30);5.2;;;;;;
Fisterra;A Coruña;9.6 (15:40);3.0 (08:20);6.3;80 (05:20);53 (06:40);0.0;0.0;0.0;0.0
Mazaricos;A Coruña;8.3 (14:40);1.0 (08:20);4.7;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;9.7 (15:20);-0.8 (08:30);4.4;30 (11:30);13 (12:30);0.0;0.0;0.0;0.0
Noia;A Coruña;10.6 (16:10);3.3 (08:40);7.0;33 (06:10);12 (04:10);;;;
Boiro;A Coruña;11.5 (16:00);4.3 (08:00);7.9;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;10.3 (15:50);2.3 (08:00);6.3;60 (09:50);45 (09:50);0.0;0.0;0.0;0.0
Santiago de Compostela;A Coruña;10.8 (15:10);2.0 (07:50);6.4;30 (18:40);11 (18:30);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;9.2 (16:00);1.4 (08:20);5.3;;;;;;
Ossa de Montiel;Albacete;8.3 (16:40);2.5 (00:30);5.4;53 (13:40);28 (13:40);6.0;0.0;0.4;2.8
Villarrobledo;Albacete;6.2 (00:40);3.1 (08:10);4.6;28 (00:50);19 (01:10);21.2;0.0;8.8;8.6
