Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;14.1 (14:30);8.5 (01:30);11.3;29 (03:20);25 (04:20);;;;
As Pontes;A Coruña;12.0 (13:40);1.1 (23:59);6.6;;;;;;
A Coruña;A Coruña;13.2 (13:30);7.5 (08:40);10.3;28 (17:30);19 (17:30);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;12.4 (15:10);4.3 (09:00);8.3;32 (17:30);20 (17:30);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;12.9 (15:50);3.6 (23:59);8.2;;;;;;
Cabo Vilan;A Coruña;;;;35 (09:10);29 (09:10);0.0;0.0;0.0;0.0
Vimianzo;A Coruña;11.6 (14:30);3.2 (04:20);7.4;;;;;;
Fisterra;A Coruña;;;;;;;;;
Mazaricos;A Coruña;10.8 (15:00);4.3 (05:40);7.6;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;11.9 (15:10);2.9 (07:50);7.4;32 (16:30);15 (18:00);0.0;0.0;0.0;0.0
Noia;A Coruña;13.5 (14:20);4.9 (08:30);9.2;23 (15:10);6 (13:30);;;;
Boiro;A Coruña;14.5 (16:40);4.2 (09:00);9.3;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;14.5 (15:40);4.4 (08:00);9.5;37 (14:20);25 (14:10);0.0;0.0;0.0;0.0
Santiago de Compostela;A Coruña;13.4 (15:10);3.5 (08:50);8.4;30 (13:40);10 (14:10);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;14.3 (13:20);2.1 (08:30);8.2;23 (13:50);10 (14:20);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;14.7 (17:20);1.9 (01:40);8.3;28 (17:20);19 (16:30);0.0;0.0;0.0;0.0
Munera;Albacete;12.5 (14:50);1.8 (00:00);7.1;30 (14:20);12 (13:50);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;19.8 (14:00);2.6 (08:50);11.2;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;12.3 (15:40);0.7 (22:20);6.5;;;0.0;0.0;0.0;0.0
Yeste;Albacete;16.0 (15:30);5.9 (23:00);11.0;;;0.0;0.0;0.0;0.0
Hellín;Albacete;17.3 (15:50);6.9 (06:20);12.1;46 (07:50);22 (12:20);0.0;0.0;0.0;0.0
Tobarra;Albacete;18.2 (15:30);7.1 (07:20);12.7;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;15.3 (16:00);3.8 (00:50);9.6;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;12.1 (16:50);3.6 (03:40);7.9;39 (15:00);24 (15:10);0.0;0.0;0.0;0.0
Albacete;Albacete;15.7 (16:00);5.2 (01:40);10.4;28 (15:10);12 (19:30);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;17.3 (16:40);5.5 (02:20);11.4;30 (14:20);14 (14:40);0.0;0.0;0.0;0.0
Almansa;Albacete;17.8 (15:10);6.0 (04:30);11.9;28 (06:50);13 (06:50);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;22.7 (16:10);7.4 (08:10);15.1;39 (11:10);19 (09:50);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;17.2 (16:00);3.0 (01:30);10.1;29 (11:20);12 (12:20);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;21.4 (14:10);7.8 (07:20);14.6;41 (11:20);26 (11:20);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;20.9 (16:40);2.8 (04:30);11.8;40 (11:00);30 (11:40);0.0;0.0;0.0;0.0
Novelda;Alacant/Alicante;23.3 (15:20);10.4 (00:30);16.8;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;22.9 (14:00);8.0 (01:30);15.4;;;0.0;0.0;0.0;0.0
