Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;11.2 (09:40);8.0 (00:10);9.6;59 (03:10);49 (03:00);;;;
As Pontes;A Coruña;8.9 (15:20);2.3 (23:59);5.6;;;;;;
A Coruña;A Coruña;11.5 (10:20);6.9 (02:20);9.2;50 (12:30);36 (12:40);3.8;2.6;1.2;0.0
A Coruña Aeropuerto;A Coruña;10.4 (10:40);5.4 (23:59);7.9;45 (10:50);25 (11:00);3.2;1.9;1.3;0.0
Carballo, Depuradora;A Coruña;10.2 (10:30);5.6 (23:50);7.9;;;5.2;2.8;0.6;1.2
Cabo Vilan;A Coruña;;;;59 (11:50);49 (11:50);1.3;1.0;0.3;0.0
Vimianzo;A Coruña;8.9 (16:30);3.7 (22:30);6.3;;;;;;
Fisterra;A Coruña;9.6 (10:30);6.8 (23:59);8.2;73 (13:00);45 (12:10);7.6;7.0;0.6;0.0
Mazaricos;A Coruña;8.2 (12:20);3.9 (23:40);6.0;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;9.4 (11:40);1.3 (23:20);5.3;46 (13:40);30 (13:40);4.9;2.5;0.9;1.5
Noia;A Coruña;10.6 (15:30);4.5 (23:59);7.6;29 (16:30);8 (00:20);;;;
Boiro;A Coruña;12.1 (16:10);4.6 (23:59);8.4;;;3.0;2.8;0.2;0.0
Padrón;A Coruña;11.4 (13:00);4.7 (22:10);8.0;38 (16:20);22 (16:50);5.1;4.3;0.7;0.1
Santiago de Compostela;A Coruña;;;;;;;;;
Rois, Casas do Porto;A Coruña;9.4 (14:10);5.1 (00:00);7.2;;;;;;
Ossa de Montiel;Albacete;6.8 (15:00);-10.5 (07:40);-1.8;18 (12:40);9 (15:50);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;7.0 (15:20);-4.9 (08:00);1.0;28 (17:30);19 (17:00);0.0;0.0;0.0;0.0
Munera;Albacete;4.9 (12:10);-10.1 (07:20);-2.6;21 (17:10);9 (14:10);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;10.9 (16:40);-3.9 (08:30);3.5;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;2.8 (16:00);-11.5 (07:10);-4.4;;;0.0;0.0;0.0;0.0
Yeste;Albacete;8.3 (16:00);-2.2 (08:00);3.1;;;0.0;0.0;0.0;0.0
Hellín;Albacete;8.3 (15:50);-0.7 (08:00);3.8;48 (22:10);29 (22:20);0.0;0.0;0.0;0.0
Tobarra;Albacete;9.0 (15:30);-0.8 (05:00);4.1;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;7.2 (16:10);-4.7 (05:20);1.3;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;3.9 (17:20);-5.1 (09:10);-0.6;47 (14:20);29 (14:40);0.0;0.0;0.0;0.0
Albacete;Albacete;7.7 (16:10);-2.9 (05:10);2.4;37 (14:30);13 (13:40);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;8.3 (16:30);-3.9 (07:50);2.2;36 (13:20);21 (13:20);0.0;0.0;0.0;0.0
Almansa;Albacete;8.1 (15:40);-3.8 (08:30);2.2;36 (21:50);14 (17:40);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;13.6 (16:50);1.2 (07:20);7.4;43 (14:50);19 (14:50);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;7.5 (16:20);-3.3 (04:00);2.1;37 (20:30);18 (20:30);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;13.8 (15:40);3.5 (08:00);8.7;27 (16:30);17 (10:20);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;9.8 (14:40);-1.5 (07:50);4.2;35 (14:50);23 (17:50);0.0;0.0;0.0;0.0
Novelda;Alacant/Alicante;13.2 (14:30);1.2 (08:10);7.2;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;15.0 (15:30);2.3 (08:00);8.6;;;0.0;0.0;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;13.7 (16:00);3.6 (08:00);8.6;42 (23:10);31 (23:10);0.0;0.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;13.8 (15:10);3.5 (06:40);8.7;26 (16:00);14 (15:50);0.0;0.0;0.0;0.0
Benidorm;Alacant/Alicante;11.9 (14:00);3.3 (07:10);7.6;31 (05:20);18 (05:30);0.0;0.0;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;13.1 (17:20);3.7 (00:00);8.4;34 (03:10);19 (13:40);17.0;17.0;0.0;0.0
Pego;Alacant/Alicante;13.0 (15:30);3.6 (08:00);8.3;31 (23:30);17 (22:00);0.0;0.0;0.0;0.0
Alcoy/Alcoi;Alacant/Alicante;10.8 (17:30);1.3 (07:50);6.1;33 (21:10);14 (19:50);0.0;0.0;0.0;0.0
Vélez Blanco - Topares;Almería;6.0 (16:50);-4.3 (07:00);0.8;;;0.0;0.0;0.0;0.0
Adra;Almería;15.9 (15:10);8.2 (08:10);12.0;27 (08:10);12 (12:20);0.0;0.0;0.0;0.0
El Ejido;Almería;15.1 (14:20);6.1 (07:40);10.6;;;0.0;0.0;0.0;0.0
Roquetas de Mar;Almería;14.9 (15:20);4.6 (07:50);9.7;;;0.0;0.0;0.0;0.0
Abla;Almería;10.5 (15:50);-0.4 (05:30);5.0;29 (14:40);14 (18:30);0.0;0.0;0.0;0.0
Almería Aeropuerto;Almería;14.7 (14:10);6.2 (08:40);10.4;33 (09:00);22 (05:30);0.0;0.0;0.0;0.0
Cabo de Gata;Almería;14.3 (11:30);9.0 (07:20);11.7;27 (12:40);21 (12:40);0.0;0.0;0.0;0.0
Garrucha, Puerto;Almería;13.0 (14:30);5.2 (06:10);9.1;45 (17:20);39 (17:20);0.0;0.0;0.0;0.0
Albox;Almería;13.9 (16:30);0.3 (05:30);7.1;46 (14:50);29 (19:40);0.0;0.0;0.0;0.0
Huercal Overa;Almería;15.1 (17:00);-0.5 (08:30);7.3;36 (16:00);20 (15:50);0.0;0.0;0.0;0.0
Alborán;Almería;;;;;;;;;
Aramaio;Araba/Álava;4.0 (16:20);-2.5 (04:10);0.8;;;17.6;0.0;0.0;13.6
Amurrio;Araba/Álava;6.5 (16:40);-1.7 (04:00);2.4;32 (16:40);18 (16:40);10.2;0.0;0.2;8.0
Lalastra;Araba/Álava;4.0 (14:40);-7.2 (02:20);-1.6;36 (20:40);15 (16:40);3.8;0.0;0.2;2.4
Agurain/Salvatierra;Araba/Álava;2.2 (18:30);-4.6 (03:40);-1.2;38 (22:00);22 (21:00);5.0;0.0;0.0;4.2
Vitoria Gasteiz Aeropuerto;Araba/Álava;5.4 (16:30);-3.0 (03:20);1.2;32 (16:10);22 (18:40);5.1;0.0;0.0;4.0
Labastida;Araba/Álava;4.6 (15:10);-1.6 (04:40);1.5;40 (20:20);23 (20:20);5.7;0.0;0.2;4.1
Leza;Araba/Álava;5.0 (16:20);-2.1 (02:00);1.5;;;6.0;0.0;0.0;2.8
Campezo/Kanpezu;Araba/Álava;3.8 (16:00);-3.8 (01:50);0.0;;;3.0;0.0;0.0;2.0
Cabrales;Asturias;6.2 (12:50);0.2 (00:50);3.2;51 (15:00);32 (15:20);;;11.2;8.0
Llanes;Asturias;11.1 (13:00);3.4 (01:00);7.3;65 (15:20);36 (14:30);5.6;0.0;2.8;0.4
Amieva, Panizales;Asturias;6.2 (14:50);1.0 (00:00);3.6;42 (05:10);23 (05:10);24.0;0.0;5.8;15.2
Piloña;Asturias;8.0 (12:50);0.2 (00:00);4.1;24 (13:40);10 (13:40);14.0;0.0;3.8;7.0
Colunga;Asturias;11.7 (12:40);3.1 (00:00);7.4;29 (09:30);16 (10:10);4.4;0.0;1.8;1.4
Gijón, Campus;Asturias;12.0 (12:10);1.5 (00:00);6.8;46 (13:40);25 (14:20);5.8;0.2;1.6;1.6
Cabo Peñas;Asturias;11.0 (11:30);4.4 (05:20);7.7;61 (08:20);35 (08:30);0.7;0.5;0.2;0.0
Asturias Aeropuerto;Asturias;10.7 (09:50);3.9 (04:30);7.3;42 (08:00);27 (08:50);2.7;0.6;0.8;1.3
Puerto de Pajares;Asturias;-1.5 (19:40);-3.5 (00:10);-2.5;;;;;;0.1
Pola de Lena;Asturias;7.2 (14:00);0.2 (00:00);3.7;32 (15:30);16 (15:30);9.6;0.2;2.2;5.6
Aller;Asturias;3.4 (14:30);-3.0 (00:00);0.2;23 (14:10);13 (16:30);20.0;2.8;8.6;6.8
Mieres;Asturias;8.8 (14:10);2.8 (01:30);5.8;25 (14:50);7 (13:40);10.6;0.8;4.4;3.8
Oviedo;Asturias;7.6 (12:50);2.2 (03:50);4.9;50 (14:30);26 (14:30);11.4;1.0;5.4;4.6
Tineo, Soto de la Barca;Asturias;7.2 (14:20);1.7 (00:00);4.4;26 (15:00);10 (15:20);13.2;2.2;6.8;3.6
Pola de Somiedo;Asturias;4.7 (14:10);-0.1 (00:00);2.3;30 (15:20);13 (15:20);10.0;2.6;2.4;4.6
Salas;Asturias;9.3 (12:50);3.0 (00:00);6.2;19 (13:00);8 (13:40);15.6;1.6;6.4;6.8
Cabo Busto;Asturias;11.4 (09:40);5.8 (02:40);8.6;;;3.2;1.4;1.8;0.0
Degaña;Asturias;1.3 (11:20);-2.3 (00:00);-0.5;45 (16:10);14 (08:40);;;;
Ibias, San Antolin;Asturias;3.6 (13:50);0.4 (23:59);2.0;30 (14:40);12 (14:30);5.8;2.4;2.2;1.2
Villayón, Oneta;Asturias;7.1 (12:30);3.4 (02:40);5.3;57 (13:10);36 (13:10);;;;
Castropol;Asturias;10.4 (11:00);5.1 (22:30);7.7;42 (11:50);18 (02:30);6.0;1.1;4.0;0.7
Taramundi, Ouria;Asturias;7.5 (12:10);3.4 (23:50);5.5;45 (13:00);30 (13:10);21.2;1.6;12.0;6.0
Puerto de Leitariegos;Asturias;;;;;;;;;
Muñotello;Ávila;5.3 (14:20);-6.0 (00:20);-0.3;36 (11:00);25 (11:00);0.0;0.0;0.0;0.0
Ávila;Ávila;3.5 (15:20);-9.1 (05:10);-2.8;25 (21:50);14 (15:40);0.0;0.0;0.0;0.0
Gotarrendura;Ávila;3.9 (17:30);-5.1 (00:20);-0.6;21 (15:40);15 (15:40);0.0;0.0;0.0;0.0
Arevalo;Ávila;5.1 (17:10);-4.7 (05:30);0.2;32 (21:10);11 (04:00);0.0;0.0;0.0;0.0
Rivilla de Barajas;Ávila;4.1 (16:10);-2.1 (03:10);1.0;28 (13:10);19 (19:10);0.0;0.0;0.0;0.0
Navarredonda de Gredos;Ávila;;;;;10 (22:10);;;;
Barco de Avila;Ávila;5.0 (14:50);-8.2 (03:50);-1.6;21 (05:30);14 (04:10);0.4;0.0;0.4;0.0
Puerto El Pico;Ávila;;;;;;;;;
Cebreros;Ávila;8.4 (15:10);-3.0 (07:10);2.7;45 (16:40);24 (16:40);0.0;0.0;0.0;0.0
Candeleda;Ávila;9.9 (15:40);-3.3 (05:10);3.3;14 (14:40);8 (14:30);0.0;0.0;0.0;0.0
Herrera del Duque;Badajoz;10.5 (16:20);-3.5 (07:10);3.5;;;0.0;0.0;0.0;0.0
Peraleda del Zaucejo;Badajoz;10.0 (16:30);-5.9 (06:50);2.0;21 (16:30);14 (17:50);0.0;0.0;0.0;0.0
Castuera;Badajoz;8.5 (15:30);0.4 (08:20);4.5;17 (17:50);9 (17:50);0.0;0.0;0.0;0.0
Navalvillar de Pela;Badajoz;9.0 (16:40);-2.9 (07:20);3.0;21 (15:10);13 (15:20);0.0;0.0;0.0;0.0
Don Benito;Badajoz;11.2 (16:00);-1.4 (07:00);4.9;19 (15:50);9 (11:00);0.0;0.0;0.0;0.0
Llerena;Badajoz;10.3 (15:00);-0.1 (02:50);5.1;62 (11:40);18 (18:00);0.0;0.0;0.0;0.0
Villafranca de los Barros;Badajoz;8.7 (16:20);-4.0 (01:50);2.3;22 (17:20);15 (17:20);0.0;0.0;0.0;0.0
Mérida;Badajoz;11.2 (15:30);-2.8 (03:20);4.2;21 (16:30);12 (16:50);0.1;0.0;0.1;0.0
Zafra;Badajoz;10.0 (14:50);-3.2 (04:10);3.4;24 (17:30);17 (17:30);0.0;0.0;0.0;0.0
Almendralejo;Badajoz;9.3 (15:50);-0.7 (06:50);4.3;24 (17:10);15 (17:10);0.0;0.0;0.0;0.0
Badajoz Aeropuerto;Badajoz;11.1 (17:30);0.3 (06:50);5.7;19 (15:50);14 (16:00);1.4;0.0;1.4;0.0
Alburquerque;Badajoz;11.3 (16:50);-1.3 (00:30);5.0;14 (17:00);8 (17:20);1.2;0.0;1.2;0.0
Puebla de Obando;Badajoz;10.0 (17:40);-0.6 (01:20);4.7;17 (14:10);12 (16:10);0.4;0.0;0.2;0.2
Badajoz;Badajoz;11.8 (17:00);-1.9 (01:30);5.0;18 (16:00);11 (19:10);0.4;0.0;0.4;0.0
Olivenza;Badajoz;9.4 (15:20);1.3 (05:10);5.3;22 (15:20);12 (16:10);0.0;0.0;0.0;0.0
Alconchel;Badajoz;9.3 (18:20);0.1 (03:20);4.7;13 (20:00);9 (18:30);0.4;0.0;0.4;0.0
Barcarrota;Badajoz;;;;;;;;;
