Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;11.2 (14:20);6.7 (23:59);8.9;76 (21:20);59 (08:30);3.0;0.0;0.8;1.2
As Pontes;A Coruña;7.7 (15:00);1.1 (00:00);4.4;;;;;;
A Coruña;A Coruña;11.3 (14:20);7.7 (03:20);9.5;61 (23:20);34 (23:20);4.8;0.4;2.0;1.4
A Coruña Aeropuerto;A Coruña;10.9 (14:30);4.3 (00:00);7.6;63 (19:00);35 (19:10);3.8;0.2;1.8;1.3
Carballo, Depuradora;A Coruña;11.2 (15:10);3.9 (00:40);7.5;;;11.2;0.6;3.2;3.0
Cabo Vilan;A Coruña;;;;64 (18:00);46 (22:20);14.2;0.4;11.9;1.3
Vimianzo;A Coruña;8.8 (13:50);2.3 (00:00);5.6;;;;;;
Fisterra;A Coruña;9.9 (10:20);5.9 (23:20);7.9;92 (23:10);52 (22:00);11.6;0.6;8.6;0.4
Mazaricos;A Coruña;8.4 (14:10);3.8 (00:00);6.1;;;;;;
Sobrado;A Coruña;;;;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;8.5 (15:50);1.4 (01:50);4.9;46 (23:20);31 (23:20);4.0;0.0;0.4;0.2
Noia;A Coruña;9.6 (15:40);3.4 (00:40);6.5;26 (22:30);8 (10:10);1.6;0.0;1.6;0.0
Monte Iroite;A Coruña;;;;;;;;;
Boiro;A Coruña;11.8 (16:20);2.6 (00:50);7.2;;;5.2;0.0;3.8;1.0
Padrón;A Coruña;11.6 (16:20);2.1 (00:30);6.9;23 (23:40);12 (23:40);4.7;0.0;0.4;1.7
Santiago de Compostela;A Coruña;10.0 (15:50);3.2 (00:00);6.6;39 (23:10);13 (23:20);5.8;0.0;1.9;0.6
Rois, Casas do Porto;A Coruña;9.6 (16:00);3.5 (01:20);6.6;;;;;;
Ossa de Montiel;Albacete;7.3 (15:30);-4.4 (08:40);1.5;30 (16:30);14 (17:30);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;9.3 (16:10);-2.6 (08:30);3.4;42 (15:00);30 (15:00);0.0;0.0;0.0;0.0
Munera;Albacete;6.3 (15:20);-3.5 (07:40);1.4;32 (15:10);14 (13:30);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;10.7 (16:30);1.7 (08:40);6.2;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;1.6 (16:00);-9.7 (08:00);-4.0;;;4.6;0.0;0.2;4.4
Yeste;Albacete;7.5 (14:40);-0.4 (07:10);3.5;;;0.0;0.0;0.0;0.0
Hellín;Albacete;9.9 (15:50);1.4 (07:30);5.6;62 (02:30);35 (02:30);0.0;0.0;0.0;0.0
Tobarra;Albacete;10.3 (15:50);2.4 (07:20);6.4;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;8.7 (16:10);-1.0 (07:50);3.8;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;6.1 (18:10);-3.1 (06:10);1.5;53 (16:20);31 (16:20);0.0;0.0;0.0;0.0
Albacete;Albacete;9.4 (16:10);-0.6 (07:50);4.4;41 (15:00);17 (15:10);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;10.2 (16:20);-1.3 (07:40);4.4;42 (16:30);26 (16:20);0.0;0.0;0.0;0.0
Almansa;Albacete;8.7 (16:10);-0.6 (08:40);4.0;45 (12:30);22 (08:00);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;14.3 (16:30);6.2 (23:50);10.3;53 (06:00);32 (06:00);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;8.6 (16:40);-0.6 (07:10);4.0;44 (11:50);24 (11:50);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;14.3 (16:20);6.1 (04:10);10.2;44 (16:00);30 (14:10);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;10.1 (15:40);-0.3 (08:20);4.9;47 (14:20);33 (14:20);0.0;0.0;0.0;0.0
Novelda;Alacant/Alicante;12.9 (15:30);2.7 (00:10);7.8;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;14.9 (16:10);2.7 (00:00);8.8;;;0.0;0.0;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;14.0 (16:30);3.2 (00:50);8.6;55 (11:30);38 (10:30);0.0;0.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;14.7 (15:30);4.6 (05:50);9.6;48 (07:30);19 (07:40);0.0;0.0;0.0;0.0
Benidorm;Alacant/Alicante;15.7 (14:40);2.1 (03:50);8.9;26 (14:20);13 (14:20);0.0;0.0;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;16.8 (16:10);5.9 (21:20);11.3;42 (07:20);22 (07:00);0.0;0.0;0.0;0.0
Pego;Alacant/Alicante;14.8 (15:00);4.7 (03:00);9.8;42 (10:40);24 (11:00);0.0;0.0;0.0;0.0
Alcoy/Alcoi;Alacant/Alicante;11.4 (15:00);1.3 (06:10);6.3;43 (20:30);18 (11:10);0.0;0.0;0.0;0.0
Vélez Blanco - Topares;Almería;5.1 (14:50);-2.5 (08:40);1.3;;;0.0;0.0;0.0;0.0
El Ejido;Almería;17.2 (14:20);6.9 (08:30);12.1;;;0.0;0.0;0.0;0.0
Roquetas de Mar;Almería;16.1 (14:40);1.9 (08:20);9.0;;;0.0;0.0;0.0;0.0
Abla;Almería;10.3 (14:30);0.0 (07:30);5.2;28 (13:50);13 (10:10);0.0;0.0;0.0;0.0
Almería Aeropuerto;Almería;15.8 (13:50);7.2 (22:40);11.5;67 (03:00);41 (03:00);0.0;0.0;0.0;0.0
Cabo de Gata;Almería;17.8 (13:50);9.7 (03:40);13.7;84 (05:40);38 (05:40);0.0;0.0;0.0;0.0
