Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;8.6 (01:20);5.5 (14:40);7.1;90 (06:10);65 (09:20);4.0;1.6;1.2;0.8
As Pontes;A Coruña;6.4 (13:50);1.7 (22:40);4.1;;;;;;
A Coruña;A Coruña;9.2 (14:20);5.6 (04:50);7.4;71 (12:40);40 (12:40);0.8;0.6;0.2;0.0
A Coruña Aeropuerto;A Coruña;8.9 (14:20);4.3 (23:50);6.6;61 (11:30);33 (15:10);1.3;1.3;0.0;0.0
Carballo, Depuradora;A Coruña;8.9 (14:30);4.3 (00:20);6.6;;;4.6;2.4;2.2;0.0
Cabo Vilan;A Coruña;;;;94 (05:20);76 (08:30);5.3;2.2;3.1;0.0
Vimianzo;A Coruña;7.1 (13:50);3.2 (03:20);5.1;;;;;;
Fisterra;A Coruña;7.5 (12:50);4.1 (03:30);5.8;82 (13:00);52 (08:00);0.2;0.0;0.2;0.0
Mazaricos;A Coruña;6.4 (13:10);2.8 (03:50);4.6;;;;;;
Sobrado;A Coruña;;;;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;6.7 (14:50);1.8 (23:59);4.2;59 (15:00);22 (12:10);0.0;0.0;0.0;0.0
Noia;A Coruña;8.9 (13:40);3.6 (03:10);6.2;40 (11:40);13 (11:50);0.0;0.0;0.0;0.0
Monte Iroite;A Coruña;;;;;;;;;
Boiro;A Coruña;10.1 (13:50);5.1 (23:40);7.6;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;10.1 (15:10);2.4 (03:40);6.3;69 (14:40);39 (14:50);0.1;0.0;0.0;0.1
Santiago de Compostela;A Coruña;7.8 (14:20);3.4 (23:50);5.6;54 (13:50);19 (17:00);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;4.7 (13:40);-2.6 (22:50);1.0;18 (13:50);10 (12:20);16.4;0.0;2.2;14.2
Villarrobledo;Albacete;8.5 (14:20);-1.4 (23:40);3.6;22 (11:40);14 (11:40);18.0;0.6;1.8;15.6
Munera;Albacete;4.4 (14:50);-3.8 (22:30);0.3;19 (15:20);9 (15:20);11.6;0.0;3.8;7.6
Yeste, Embalse Fuensanta;Albacete;6.7 (14:10);-0.3 (09:10);3.2;;;8.2;0.8;1.6;5.8
Nerpio;Albacete;0.3 (14:10);-13.6 (23:50);-6.7;;;6.4;0.0;0.6;5.8
Yeste;Albacete;5.5 (14:20);-1.9 (06:40);1.8;;;11.4;0.2;1.8;9.4
Hellín;Albacete;7.6 (15:50);0.5 (08:30);4.0;21 (22:50);13 (22:30);2.5;2.5;0.0;0.0
Tobarra;Albacete;7.6 (15:30);0.9 (09:30);4.2;;;3.4;3.4;0.0;0.0
Albacete Base Aérea;Albacete;5.2 (13:50);-0.4 (23:10);2.4;;;9.0;9.0;0.0;0.0
Chinchilla;Albacete;2.4 (17:10);-1.0 (08:50);0.7;18 (14:10);6 (14:10);5.2;1.9;2.1;1.2
Albacete;Albacete;6.2 (13:50);0.2 (03:40);3.2;18 (13:10);8 (11:40);8.5;8.4;0.0;0.1
Alcalá del Júcar;Albacete;5.5 (17:40);0.6 (09:00);3.1;23 (04:10);11 (08:00);2.6;2.4;0.2;0.0
Almansa;Albacete;6.5 (16:20);1.7 (22:30);4.1;28 (01:40);9 (01:40);2.0;1.8;0.2;0.0
Orihuela;Alacant/Alicante;12.4 (15:20);5.8 (09:00);9.1;21 (11:20);13 (13:30);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;7.0 (15:10);0.6 (07:40);3.8;23 (02:00);12 (00:20);0.2;0.2;0.0;0.0
Rojales;Alacant/Alicante;12.7 (13:50);6.6 (09:00);9.6;18 (11:50);10 (11:50);2.2;2.2;0.0;0.0
Villena;Alacant/Alicante;9.2 (15:20);3.7 (08:40);6.4;21 (12:20);14 (12:30);0.2;0.2;0.0;0.0
Novelda;Alacant/Alicante;12.6 (13:20);5.8 (08:50);9.2;;;2.4;2.2;0.2;0.0
Elche/Elx;Alacant/Alicante;14.6 (13:20);6.1 (08:20);10.4;;;3.0;2.4;0.6;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;13.4 (13:10);7.3 (08:20);10.3;21 (13:10);14 (11:00);3.0;3.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;13.7 (14:00);7.0 (08:10);10.3;21 (15:20);13 (15:20);2.8;2.6;0.2;0.0
Benidorm;Alacant/Alicante;13.3 (14:10);6.7 (08:00);10.0;19 (14:30);9 (16:20);4.6;3.8;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;13.4 (15:20);6.6 (07:20);10.0;20 (13:30);13 (13:30);3.6;3.4;0.0;0.0
Pego;Alacant/Alicante;11.0 (15:30);6.9 (23:50);9.0;26 (18:30);15 (18:30);6.4;2.8;0.0;2.6
Alcoy/Alcoi;Alacant/Alicante;9.0 (14:10);3.5 (23:10);6.3;22 (16:50);11 (16:50);13.8;3.8;0.0;8.0
Vélez Blanco - Topares;Almería;2.6 (15:30);-3.8 (23:00);-0.6;;;9.4;0.0;0.0;9.4
El Ejido;Almería;14.9 (14:20);6.4 (23:40);10.6;;;0.0;0.0;0.0;0.0
Roquetas de Mar;Almería;13.6 (17:20);4.7 (07:30);9.2;;;;0.2;;0.0
Abla;Almería;8.1 (13:50);0.2 (09:20);4.2;21 (15:20);10 (18:10);0.8;0.0;0.0;0.0
Almería Aeropuerto;Almería;14.0 (14:10);5.8 (05:50);9.9;41 (19:20);24 (19:20);0.5;0.5;0.0;0.0
Cabo de Gata;Almería;13.7 (13:20);8.9 (23:59);11.3;53 (00:10);31 (00:10);0.8;0.8;0.0;0.0
Garrucha, Puerto;Almería;12.7 (14:00);5.5 (07:50);9.1;25 (17:00);21 (17:20);0.0;0.0;0.0;0.0
Albox;Almería;10.8 (15:00);1.0 (06:10);5.9;28 (13:30);19 (08:50);0.0;0.0;0.0;0.0
Huercal Overa;Almería;12.0 (15:30);2.1 (05:50);7.0;26 (13:20);12 (13:40);0.1;0.0;0.1;0.0
Alborán;Almería;;;;;;;;;
Aramaio;Araba/Álava;2.3 (01:10);0.3 (19:10);1.3;;;22.0;1.0;2.6;7.0
Amurrio;Araba/Álava;5.7 (13:30);2.1 (00:20);3.9;28 (23:40);15 (13:10);7.2;0.2;1.8;1.0
Lalastra;Araba/Álava;0.2 (00:00);-1.2 (23:50);-0.5;49 (16:30);26 (23:00);4.2;0.0;0.8;1.8
Agurain/Salvatierra;Araba/Álava;2.0 (13:00);0.4 (02:30);1.2;24 (10:30);13 (22:50);5.6;1.2;2.2;1.8
Vitoria Gasteiz Aeropuerto;Araba/Álava;;;;;;;0.3;;
