Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;15.2 (13:10);8.3 (04:40);11.8;27 (14:10);24 (14:10);;;;
As Pontes;A Coruña;13.6 (15:10);-0.3 (03:10);6.7;;;;;;
A Coruña;A Coruña;13.9 (14:00);5.7 (07:50);9.8;18 (15:10);12 (02:50);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;13.6 (14:20);2.0 (08:20);7.8;24 (15:30);12 (15:50);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;13.9 (14:30);0.1 (08:40);7.0;;;;;;
Cabo Vilan;A Coruña;;;;28 (19:30);22 (19:10);0.0;0.0;0.0;0.0
Vimianzo;A Coruña;13.0 (14:50);4.3 (04:40);8.7;;;;;;
Fisterra;A Coruña;;;;;;;;;
Mazaricos;A Coruña;12.2 (15:20);3.8 (07:30);8.0;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;13.2 (15:30);1.0 (08:10);7.1;30 (16:30);18 (16:50);0.0;0.0;0.0;0.0
Noia;A Coruña;15.3 (15:00);5.0 (08:50);10.2;19 (16:20);6 (11:20);;;;
Boiro;A Coruña;16.3 (15:50);3.7 (07:30);10.0;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;16.2 (15:30);1.9 (08:20);9.1;31 (17:20);15 (19:00);0.0;0.0;0.0;0.0
Santiago de Compostela;A Coruña;14.3 (15:50);3.9 (08:30);9.1;31 (16:40);11 (17:00);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;11.8 (14:30);0.7 (23:59);6.3;22 (15:20);11 (07:50);0.0;0.0;0.0;0.0
Villarrobledo;Albacete;16.2 (15:40);2.8 (23:00);9.5;22 (15:20);14 (07:40);0.0;0.0;0.0;0.0
Munera;Albacete;10.6 (15:50);-1.2 (23:00);4.7;19 (11:00);9 (15:30);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;14.6 (14:20);2.8 (07:00);8.7;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;7.2 (12:20);1.6 (08:40);4.4;;;0.0;0.0;0.0;0.0
Yeste;Albacete;11.8 (16:00);2.8 (06:50);7.3;;;0.0;0.0;0.0;0.0
Hellín;Albacete;13.5 (14:30);6.6 (07:50);10.0;19 (03:00);10 (03:00);0.0;0.0;0.0;0.0
Tobarra;Albacete;13.6 (15:00);6.8 (08:10);10.2;;;0.0;0.0;0.0;0.0
