Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;17.0 (14:50);5.4 (04:00);11.2;38 (14:30);21 (15:20);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;18.0 (16:10);4.3 (04:40);11.2;21 (15:00);17 (15:20);0.0;0.0;0.0;0.0
Valls;Tarragona;15.9 (15:10);3.0 (06:00);9.4;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;16.8 (15:30);7.2 (04:20);12.0;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;15.5 (15:10);2.4 (07:50);9.0;37 (15:50);23 (11:50);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;16.0 (15:50);2.7 (07:50);9.4;17 (15:20);10 (13:30);0.0;0.0;0.0;0.0
Sitges;Barcelona;15.0 (11:10);7.4 (07:50);11.2;14 (14:40);6 (13:50);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;15.3 (13:50);7.3 (07:50);11.3;26 (01:50);19 (07:40);0.0;0.0;0.0;0.0
Berga;Barcelona;12.1 (15:20);4.4 (05:40);8.3;15 (01:10);10 (01:40);0.0;0.0;0.0;0.0
Balsareny;Barcelona;15.5 (16:30);-1.0 (07:20);7.3;15 (17:40);8 (17:50);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;12.5 (15:20);1.0 (03:30);6.8;11 (13:20);6 (06:30);0.0;0.0;0.0;0.0
Moià;Barcelona;13.2 (13:10);6.0 (07:00);9.6;18 (12:20);11 (13:20);0.0;0.0;0.0;0.0
Manresa;Barcelona;15.8 (16:40);0.8 (08:10);8.3;20 (17:50);9 (17:50);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;12.3 (13:30);8.0 (21:30);10.2;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;16.3 (14:00);2.0 (08:40);9.1;22 (15:30);9 (15:00);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;13.8 (16:00);7.0 (03:50);10.4;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;13.3 (12:30);8.3 (07:30);10.8;26 (14:50);21 (14:50);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;14.8 (13:00);9.5 (07:50);12.2;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;15.8 (15:00);2.5 (07:40);9.2;23 (15:10);15 (15:30);0.0;0.0;0.0;0.0
