Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;21.6 (16:00);7.3 (23:59);14.5;39 (00:20);21 (00:20);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;18.5 (15:40);2.2 (07:00);10.4;17 (02:40);14 (04:00);0.0;0.0;0.0;0.0
Valls;Tarragona;20.6 (14:40);2.2 (06:30);11.4;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;16.8 (16:10);7.1 (05:40);11.9;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;21.1 (15:10);4.5 (04:30);12.8;36 (14:00);24 (14:00);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;19.1 (14:00);0.8 (04:50);10.0;23 (14:40);14 (14:30);0.0;0.0;0.0;0.0
Sitges;Barcelona;16.2 (13:40);5.6 (07:40);10.9;21 (15:20);10 (15:10);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;16.3 (12:20);6.0 (07:40);11.1;39 (16:10);32 (16:50);0.0;0.0;0.0;0.0
Berga;Barcelona;18.2 (15:40);3.8 (06:40);11.0;18 (02:50);12 (03:00);0.0;0.0;0.0;0.0
Balsareny;Barcelona;19.6 (15:10);-4.0 (07:40);7.8;24 (17:30);14 (17:30);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;19.3 (14:20);-1.3 (07:50);9.0;26 (14:30);14 (14:30);0.0;0.0;0.0;0.0
Moià;Barcelona;19.7 (12:40);7.3 (06:40);13.5;24 (13:40);15 (13:40);0.0;0.0;0.0;0.0
Manresa;Barcelona;20.4 (16:10);-1.9 (08:10);9.2;19 (16:40);9 (16:40);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;18.2 (13:30);10.3 (22:40);14.3;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;20.4 (14:10);0.4 (07:20);10.4;23 (15:50);8 (15:00);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;18.6 (15:40);8.4 (21:50);13.5;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;16.4 (16:00);6.5 (07:30);11.4;30 (16:50);18 (14:20);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;17.0 (16:00);7.6 (07:30);12.3;;;0.0;0.0;0.0;0.0
