Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;18.4 (16:20);5.5 (07:40);11.9;60 (06:50);37 (06:50);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;21.6 (15:30);3.6 (07:50);12.6;46 (05:00);34 (05:00);0.0;0.0;0.0;0.0
Valls;Tarragona;19.5 (13:50);5.1 (23:59);12.3;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;21.0 (14:40);6.4 (07:30);13.7;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;17.4 (16:40);3.4 (23:59);10.4;35 (12:50);23 (15:30);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;20.4 (16:20);2.3 (06:30);11.3;26 (16:40);15 (16:40);0.0;0.0;0.0;0.0
Sitges;Barcelona;16.5 (11:30);6.9 (07:40);11.7;24 (08:50);12 (08:30);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;17.5 (12:40);8.4 (08:00);12.9;33 (08:00);26 (10:00);0.0;0.0;0.0;0.0
Berga;Barcelona;16.3 (15:40);0.4 (08:30);8.3;19 (17:00);14 (17:00);0.0;0.0;0.0;0.0
Balsareny;Barcelona;18.1 (16:00);-2.2 (07:40);8.0;24 (14:20);13 (13:50);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;16.5 (16:20);-1.8 (07:30);7.4;22 (14:40);10 (14:30);0.0;0.0;0.0;0.0
Moià;Barcelona;15.2 (16:20);1.1 (07:50);8.1;25 (13:50);14 (13:50);0.0;0.0;0.0;0.0
Manresa;Barcelona;17.6 (17:00);1.6 (08:10);9.6;30 (14:50);19 (15:00);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;13.0 (15:10);1.6 (07:40);7.3;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;16.9 (17:00);3.1 (04:40);10.0;26 (12:20);10 (11:10);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;13.9 (15:10);3.5 (07:20);8.7;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;16.3 (14:00);9.8 (07:20);13.0;42 (10:30);17 (17:20);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;16.6 (12:50);9.6 (06:40);13.1;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;;;;41 (06:20);24 (06:20);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;16.1 (15:30);8.8 (06:20);12.5;28 (07:30);16 (04:50);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;17.2 (12:10);6.5 (07:50);11.9;22 (05:10);9 (18:00);0.0;0.0;0.0;0.0
Fogars de Montclús;Barcelona;16.4 (13:00);3.9 (05:10);10.1;;;0.0;0.0;0.0;0.0
Blanes;Girona;16.4 (12:20);8.4 (07:40);12.4;26 (01:20);18 (01:30);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;16.8 (12:30);3.1 (05:40);9.9;22 (14:50);13 (14:00);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;15.5 (13:00);-0.5 (04:30);7.5;20 (09:50);10 (13:10);0.0;0.0;0.0;0.0
Planoles;Girona;15.7 (16:10);1.1 (07:40);8.4;58 (00:50);27 (13:30);0.0;0.0;0.0;0.0
Ripoll;Girona;17.0 (15:50);0.0 (08:00);8.5;;;0.0;0.0;0.0;0.0
Tona;Barcelona;16.3 (14:50);0.2 (07:30);8.2;22 (16:50);13 (16:50);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;16.6 (16:50);-0.7 (07:50);8.0;19 (17:20);11 (17:40);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;18.0 (16:10);-1.7 (06:40);8.1;12 (14:20);5 (12:10);0.0;0.0;0.0;0.0
Sant Hilari;Girona;16.3 (13:10);-0.4 (02:30);7.9;28 (08:20);15 (06:50);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;18.4 (13:40);0.2 (07:20);9.3;26 (15:00);20 (15:00);0.0;0.0;0.0;0.0
Girona;Girona;18.5 (15:10);2.9 (07:00);10.7;20 (16:20);9 (16:20);0.0;0.0;0.0;0.0
Porqueres;Girona;19.4 (17:00);1.3 (06:50);10.3;22 (13:00);10 (13:30);0.0;0.0;0.0;0.0
L'Estartit;Girona;18.8 (14:40);6.0 (07:40);12.4;41 (00:40);19 (00:40);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;18.1 (13:20);-0.3 (07:30);8.9;19 (09:30);10 (13:40);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;20.9 (16:00);6.0 (06:40);13.4;60 (04:30);31 (14:10);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;19.6 (13:50);3.0 (07:40);11.3;65 (01:10);27 (01:10);0.0;0.0;0.0;0.0
Espolla;Girona;19.8 (15:20);6.7 (07:10);13.2;76 (00:50);34 (23:59);0.0;0.0;0.0;0.0
Figueres;Girona;20.9 (14:30);7.2 (04:30);14.0;68 (00:40);31 (00:40);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;15.6 (16:20);11.4 (08:10);13.5;;93 (00:40);0.0;0.0;0.0;0.0
