Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;14.2 (15:20);5.7 (06:10);9.9;49 (00:40);27 (05:30);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;17.1 (14:40);7.3 (06:10);12.2;76 (01:20);51 (01:20);0.0;0.0;0.0;0.0
Valls;Tarragona;15.7 (14:50);6.9 (06:20);11.3;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;19.1 (15:00);8.5 (07:00);13.8;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;11.8 (15:20);2.6 (05:30);7.2;48 (15:30);33 (12:20);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;17.2 (15:30);5.7 (05:20);11.5;34 (14:40);15 (17:10);0.0;0.0;0.0;0.0
Sitges;Barcelona;17.7 (16:10);6.7 (05:00);12.2;35 (09:10);18 (07:20);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;18.5 (16:20);7.6 (07:10);13.0;30 (10:30);21 (10:20);0.0;0.0;0.0;0.0
Berga;Barcelona;12.0 (15:50);-0.8 (08:20);5.6;30 (15:50);18 (15:50);0.0;0.0;0.0;0.0
Balsareny;Barcelona;14.5 (15:40);-2.3 (08:10);6.1;30 (13:00);14 (15:30);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;12.1 (15:50);-2.3 (06:40);4.9;30 (14:30);19 (14:50);0.0;0.0;0.0;0.0
Moià;Barcelona;11.6 (16:00);0.0 (07:40);5.8;30 (14:40);17 (13:00);0.0;0.0;0.0;0.0
Manresa;Barcelona;15.4 (16:20);-0.1 (09:10);7.6;36 (16:40);18 (16:40);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;10.4 (14:40);0.2 (07:20);5.3;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;13.9 (15:50);4.5 (06:20);9.2;30 (12:50);13 (13:30);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;11.2 (15:40);2.2 (07:10);6.7;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;17.2 (15:20);7.9 (06:30);12.6;39 (14:40);24 (20:30);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;18.5 (15:20);8.4 (06:20);13.4;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;16.7 (15:00);1.9 (07:40);9.3;35 (14:10);19 (16:30);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;18.3 (15:40);7.4 (07:40);12.8;32 (09:00);15 (17:40);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;15.6 (12:00);5.9 (07:00);10.8;17 (04:00);9 (04:50);0.0;0.0;0.0;0.0
Fogars de Montclús;Barcelona;;;;;;;0.0;;0.0
Blanes;Girona;16.6 (13:20);5.9 (06:30);11.3;31 (05:30);20 (06:20);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;15.0 (13:20);2.5 (06:00);8.8;26 (14:30);14 (14:30);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;10.5 (13:50);-0.9 (08:30);4.8;20 (16:10);8 (16:10);0.0;0.0;0.0;0.0
Planoles;Girona;9.1 (14:40);-2.2 (04:00);3.5;51 (09:40);26 (16:00);0.0;0.0;0.0;0.0
Ripoll;Girona;11.7 (16:00);0.3 (08:40);6.0;;;0.0;0.0;0.0;0.0
Tona;Barcelona;12.8 (16:10);-1.7 (08:10);5.6;29 (16:40);14 (16:10);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;;;;;;;0.1;;0.0
Les Planes d'Hostoles;Girona;15.4 (14:50);-2.6 (07:50);6.4;31 (13:30);16 (13:30);0.0;0.0;0.0;0.0
Sant Hilari;Girona;10.9 (15:10);-0.3 (02:00);5.3;28 (15:20);16 (14:50);0.2;0.0;0.2;0.0
Girona Aeropuerto;Girona;16.6 (15:00);-0.6 (07:40);8.0;26 (15:10);17 (15:40);0.0;0.0;0.0;0.0
Girona;Girona;17.5 (16:00);2.1 (07:50);9.8;22 (16:50);11 (16:10);0.0;0.0;0.0;0.0
Porqueres;Girona;16.0 (15:50);1.2 (07:20);8.6;30 (16:20);15 (16:30);0.1;0.0;0.1;0.0
L'Estartit;Girona;16.5 (14:30);4.7 (06:50);10.6;32 (12:10);17 (11:10);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;15.2 (15:10);-0.3 (07:40);7.4;19 (13:50);10 (17:30);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;17.2 (14:30);1.2 (05:30);9.2;48 (11:00);26 (12:00);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;14.9 (13:50);1.7 (06:30);8.3;38 (09:10);17 (08:40);0.0;0.0;0.0;0.0
Espolla;Girona;15.5 (16:10);2.6 (04:50);9.0;66 (08:00);35 (08:00);0.0;0.0;0.0;0.0
Figueres;Girona;17.3 (15:10);4.0 (05:20);10.6;40 (11:30);19 (10:10);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;13.6 (14:20);10.2 (08:10);11.9;;69 (10:20);0.0;0.0;0.0;0.0
