Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;12.9 (13:00);4.9 (05:40);8.9;23 (15:00);12 (14:30);0.2;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;16.3 (14:40);6.0 (01:10);11.1;26 (13:30);19 (14:10);0.0;0.0;0.0;0.0
Valls;Tarragona;14.5 (11:40);4.4 (01:00);9.5;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;15.8 (14:40);8.1 (01:50);12.0;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;9.5 (11:30);4.3 (00:50);6.9;30 (11:50);20 (10:10);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;13.2 (11:50);3.6 (05:00);8.4;19 (12:30);10 (13:40);0.0;0.0;0.0;0.0
Sitges;Barcelona;13.4 (11:20);7.6 (04:30);10.5;13 (12:40);6 (11:40);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;13.4 (10:50);8.9 (06:10);11.1;28 (12:00);18 (12:40);4.3;0.0;0.0;4.3
Berga;Barcelona;11.8 (14:40);2.1 (07:30);7.0;28 (15:30);21 (15:40);1.0;0.0;0.0;0.0
Balsareny;Barcelona;13.6 (13:20);4.7 (09:00);9.2;29 (13:50);20 (13:50);8.4;0.0;0.0;8.4
Prats de Lluçanès;Barcelona;12.0 (13:40);1.2 (06:10);6.6;26 (15:10);12 (12:50);0.0;0.0;0.0;0.0
Moià;Barcelona;8.7 (12:10);5.6 (19:40);7.1;20 (14:30);11 (13:00);4.8;0.0;0.0;4.8
Manresa;Barcelona;13.1 (12:50);5.2 (05:00);9.2;31 (15:00);15 (15:00);0.2;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;8.8 (10:20);5.5 (15:20);7.2;;;2.8;0.0;0.0;1.6
Igualada;Barcelona;13.0 (13:50);4.4 (08:00);8.7;20 (14:10);10 (13:50);1.9;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;9.2 (11:40);6.2 (18:40);7.7;;;0.6;0.0;0.0;0.6
Barcelona;Barcelona;12.7 (01:50);10.8 (23:10);11.8;28 (11:10);24 (11:10);0.2;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;13.0 (02:00);11.0 (07:10);12.0;;;0.2;0.0;0.0;0.2
Caldes de Montbui;Barcelona;11.1 (14:50);5.9 (07:20);8.5;14 (00:40);9 (00:50);0.6;0.0;0.0;0.4
Vilassar de Dalt;Barcelona;12.9 (16:00);9.2 (02:20);11.0;14 (09:40);8 (09:40);0.8;0.0;0.0;0.0
Arenys de Mar;Barcelona;12.4 (14:30);9.4 (19:00);10.9;12 (11:30);4 (02:20);0.2;0.0;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;7.0 (00:00);4.6 (12:50);5.8;;;5.8;0.0;0.0;2.4
Blanes;Girona;14.4 (15:00);10.1 (19:50);12.3;23 (05:10);12 (05:00);0.4;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;12.6 (15:50);7.7 (05:20);10.2;17 (00:50);7 (16:50);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;6.6 (15:50);-0.2 (06:20);3.2;18 (23:59);8 (13:10);2.8;0.0;0.0;0.2
Planoles;Girona;8.7 (12:40);-1.4 (07:30);3.6;31 (13:00);19 (13:00);0.0;0.0;0.0;0.0
Ripoll;Girona;11.0 (16:00);0.7 (05:40);5.8;;;0.0;0.0;0.0;0.0
Tona;Barcelona;9.3 (12:00);5.2 (01:30);7.3;29 (12:40);14 (14:20);3.8;0.0;0.0;3.6
Sant Julià  de Vilatorta;Barcelona;11.1 (14:00);4.6 (06:40);7.9;28 (13:00);14 (15:30);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;10.4 (15:20);3.0 (04:00);6.7;11 (14:40);5 (15:10);0.0;0.0;0.0;0.0
Sant Hilari;Girona;8.8 (14:00);3.2 (01:50);6.0;16 (22:10);9 (12:20);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;13.1 (15:20);7.8 (07:30);10.5;24 (17:10);19 (17:20);0.0;0.0;0.0;0.0
Girona;Girona;13.5 (15:40);8.9 (04:00);11.2;18 (15:30);8 (17:30);0.0;0.0;0.0;0.0
Porqueres;Girona;12.5 (15:50);7.1 (03:20);9.8;16 (15:00);9 (16:10);0.0;0.0;0.0;0.0
L'Estartit;Girona;12.0 (15:20);9.6 (02:00);10.8;27 (04:40);11 (04:40);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;9.9 (15:30);1.8 (05:50);5.8;15 (12:00);9 (15:50);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;13.9 (15:30);5.8 (02:30);9.8;12 (14:40);7 (00:40);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;10.9 (15:50);6.6 (08:00);8.7;12 (14:40);6 (14:50);0.0;0.0;0.0;0.0
Espolla;Girona;12.3 (14:30);5.7 (04:20);9.0;26 (06:50);16 (06:50);0.0;0.0;0.0;0.0
Figueres;Girona;13.5 (15:50);9.0 (08:40);11.3;19 (00:50);8 (00:20);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;12.2 (00:00);9.3 (07:50);10.8;;35 (00:10);0.0;0.0;0.0;0.0
