Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;13.0 (16:10);6.5 (23:50);9.8;46 (04:40);25 (03:50);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;15.2 (16:10);5.0 (23:59);10.1;37 (06:50);26 (06:50);0.0;0.0;0.0;0.0
Valls;Tarragona;13.9 (14:20);5.6 (22:20);9.7;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;16.5 (14:00);7.1 (23:50);11.8;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;10.2 (16:40);4.2 (21:20);7.2;26 (08:10);16 (08:10);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;14.7 (15:10);4.5 (23:50);9.6;15 (13:00);9 (13:00);0.0;0.0;0.0;0.0
Sitges;Barcelona;14.6 (14:50);8.4 (20:40);11.5;18 (08:50);10 (08:50);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;16.3 (15:00);9.5 (08:00);12.9;24 (10:00);17 (10:00);0.0;0.0;0.0;0.0
Berga;Barcelona;11.3 (15:30);4.3 (23:40);7.8;19 (13:20);11 (14:10);0.0;0.0;0.0;0.0
Balsareny;Barcelona;14.4 (16:30);2.3 (23:59);8.3;13 (14:40);8 (14:40);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;10.9 (14:30);0.5 (23:59);5.7;12 (16:50);8 (17:00);0.0;0.0;0.0;0.0
Moià;Barcelona;10.1 (15:50);4.2 (23:50);7.2;11 (14:20);6 (17:20);0.0;0.0;0.0;0.0
Manresa;Barcelona;14.6 (16:30);4.4 (08:00);9.5;11 (21:30);7 (21:30);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;8.4 (14:40);6.0 (09:10);7.2;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;14.0 (16:30);5.9 (09:00);10.0;11 (18:30);4 (18:30);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;10.8 (14:40);6.3 (08:10);8.6;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;15.2 (14:50);9.9 (08:10);12.5;16 (12:10);13 (15:10);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;15.1 (15:40);10.5 (08:20);12.8;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;14.7 (16:20);5.2 (07:10);9.9;17 (23:30);13 (23:30);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;14.5 (12:20);9.4 (06:50);11.9;18 (14:50);10 (14:50);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;14.2 (11:00);8.8 (23:50);11.5;12 (08:10);6 (08:10);0.0;0.0;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;9.4 (16:50);4.1 (23:30);6.7;;;0.0;0.0;0.0;0.0
Blanes;Girona;14.2 (12:40);10.1 (08:40);12.2;24 (16:50);12 (04:30);0.2;0.0;0.0;0.2
Castell, Platja d'Aro;Girona;16.5 (14:10);6.9 (08:30);11.7;27 (22:50);12 (23:10);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;10.8 (11:40);2.7 (03:20);6.8;18 (12:30);10 (12:20);0.0;0.0;0.0;0.0
Planoles;Girona;10.8 (14:40);0.6 (23:59);5.7;24 (14:40);13 (21:20);0.0;0.0;0.0;0.0
Ripoll;Girona;13.0 (14:40);3.2 (09:10);8.1;;;0.0;0.0;0.0;0.0
Tona;Barcelona;11.1 (15:50);2.7 (23:50);6.9;14 (15:30);8 (15:20);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;11.6 (16:30);2.8 (08:30);7.2;12 (16:10);5 (16:30);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;14.6 (14:30);3.3 (08:10);9.0;10 (15:00);4 (15:00);0.0;0.0;0.0;0.0
Sant Hilari;Girona;10.6 (16:10);3.3 (07:50);7.0;16 (15:30);10 (14:50);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;15.9 (14:30);5.4 (08:30);10.6;26 (14:30);20 (15:00);0.0;0.0;0.0;0.0
Girona;Girona;17.1 (15:00);6.6 (08:30);11.9;21 (15:20);10 (15:20);0.0;0.0;0.0;0.0
Porqueres;Girona;15.8 (13:40);5.3 (08:10);10.6;20 (16:10);11 (16:00);0.0;0.0;0.0;0.0
L'Estartit;Girona;17.5 (15:20);8.2 (04:20);12.8;29 (11:50);14 (12:40);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;14.7 (16:00);3.9 (08:00);9.3;15 (12:40);9 (17:00);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;17.9 (15:50);5.7 (03:20);11.8;37 (10:10);21 (11:30);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;15.7 (14:50);2.5 (23:59);9.1;19 (12:40);10 (15:10);0.0;0.0;0.0;0.0
Espolla;Girona;17.1 (15:00);8.3 (01:40);12.7;54 (20:50);33 (21:30);0.0;0.0;0.0;0.0
Figueres;Girona;17.6 (15:20);8.4 (03:00);13.0;37 (23:00);17 (22:10);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;14.6 (15:30);10.0 (23:59);12.3;;57 (19:30);0.0;0.0;0.0;0.0
Baztan, Irurita;Navarra;10.2 (15:50);0.1 (23:50);5.1;24 (13:40);13 (14:40);2.2;2.0;0.2;0.0
Bera;Navarra;10.9 (14:30);-0.1 (23:50);5.4;21 (13:20);9 (13:20);5.2;4.4;0.8;0.0
Irún;Gipuzkoa;11.8 (14:20);4.6 (23:50);8.2;22 (05:20);10 (04:00);4.8;4.2;0.6;0.0
San Sebastián Aeropuerto;Gipuzkoa;11.6 (14:40);4.1 (23:50);7.9;32 (05:20);22 (07:40);2.4;2.1;0.3;0.0
Renteria;Gipuzkoa;;;;;;;3.6;1.0;
Segura - Lastala;Gipuzkoa;11.0 (14:20);0.3 (23:50);5.7;21 (15:40);8 (15:40);1.6;1.2;0.4;0.0
Beasain;Gipuzkoa;10.0 (15:00);0.4 (23:59);5.2;28 (13:30);13 (13:30);4.2;1.8;2.4;0.0
Ordizia;Gipuzkoa;9.4 (15:50);1.0 (23:40);5.2;25 (11:00);14 (12:00);2.6;0.8;1.8;0.0
Areso;Navarra;8.1 (15:00);0.9 (21:20);4.5;21 (14:00);8 (13:40);3.8;2.2;1.6;0.0
Legazpia;Gipuzkoa;8.1 (15:00);0.0 (21:30);4.1;;;2.8;1.2;1.6;0.0
Zumarraga;Gipuzkoa;7.8 (12:50);0.2 (23:50);4.0;26 (09:00);10 (13:10);;;;
Azpeitia;Gipuzkoa;11.2 (14:20);1.8 (23:59);6.5;26 (07:00);9 (06:00);12.2;7.0;5.2;0.0
Zumaia;Gipuzkoa;12.7 (14:50);3.7 (23:50);8.2;48 (07:10);35 (06:20);2.4;1.1;1.3;0.0
Aramaio;Araba/Álava;7.5 (13:40);2.0 (19:10);4.8;;;15.0;3.0;12.0;0.0
Aretxabaleta;Gipuzkoa;9.6 (15:00);-0.1 (23:00);4.8;;;5.6;3.6;2.0;0.0
Elgeta;Gipuzkoa;8.1 (15:30);2.3 (23:10);5.2;24 (06:00);8 (06:10);9.4;7.4;2.0;0.0
Elgoibar;Gipuzkoa;9.3 (13:50);2.0 (23:59);5.7;21 (06:30);10 (06:30);6.3;4.9;1.4;0.0
Mutriku;Gipuzkoa;11.0 (15:40);6.4 (23:30);8.7;36 (05:50);13 (01:30);8.6;6.0;2.6;0.0
Forua;Bizkaia;11.6 (16:10);2.1 (23:40);6.9;30 (05:40);17 (05:50);7.8;6.6;1.2;0.0
Machichaco;Bizkaia;11.2 (16:40);5.9 (23:50);8.5;40 (00:10);27 (00:10);7.0;5.2;1.8;0.0
Punta Galea;Bizkaia;;;;36 (06:00);22 (06:00);6.6;4.5;2.1;0.0
Amurrio;Araba/Álava;9.7 (16:00);0.1 (23:50);4.9;22 (07:20);12 (07:20);4.2;1.6;2.4;0.0
Orozko;Bizkaia;11.4 (16:50);1.0 (23:30);6.2;24 (09:40);9 (07:10);8.6;4.2;4.2;0.2
Abadiño;Bizkaia;6.6 (15:10);0.6 (20:40);3.6;;;13.6;3.2;10.4;0.0
Amorebieta--Etxano;Bizkaia;11.2 (15:40);1.0 (23:59);6.1;22 (06:40);12 (15:00);3.4;1.6;1.8;0.0
Balmaseda;Bizkaia;10.9 (14:50);0.3 (23:59);5.6;;;5.4;2.2;3.2;0.0
Güeñes;Bizkaia;10.9 (15:00);1.1 (23:59);6.0;27 (05:10);12 (05:30);4.3;2.6;1.7;0.0
Bilbao Aeropuerto;Bizkaia;11.9 (13:30);2.4 (23:20);7.1;32 (06:30);19 (05:10);4.2;3.1;1.1;0.0
Sopuerta;Bizkaia;12.3 (15:30);2.4 (23:40);7.4;26 (06:10);13 (06:10);13.4;7.8;5.6;0.0
Castro Urdiales;Cantabria;12.4 (13:00);5.4 (23:40);8.9;40 (04:30);27 (04:40);3.1;2.7;0.4;0.0
Ramales de la Victoria;Cantabria;10.8 (12:20);2.3 (23:50);6.6;21 (05:20);9 (05:20);5.8;2.2;2.6;1.0
Barcena de Cicero, Treto;Cantabria;12.0 (15:10);3.7 (23:40);7.9;29 (02:10);10 (23:10);6.4;4.6;1.8;0.0
Soba, Alto Miera;Cantabria;6.9 (12:30);0.8 (23:00);3.9;26 (05:10);16 (13:50);4.6;4.0;0.2;0.4
Santander Aeropuerto;Cantabria;13.3 (12:10);2.8 (23:50);8.1;30 (03:40);20 (12:50);3.3;3.3;0.0;0.0
Santander;Cantabria;12.5 (15:30);7.3 (23:50);9.9;42 (03:30);32 (03:30);3.8;3.8;0.0;0.0
Villacarriedo;Cantabria;10.6 (12:40);1.4 (23:40);6.0;33 (04:10);19 (03:50);3.4;3.2;0.2;0.0
Los Tojos, Bárcena Mayor;Cantabria;9.1 (12:50);-0.3 (23:59);4.4;31 (07:10);17 (07:10);5.6;4.0;1.6;0.0
San Felices de Buelna;Cantabria;12.5 (13:30);1.4 (23:50);6.9;25 (03:40);13 (03:40);7.4;7.2;0.2;0.0
Torrelavega, Sierrapando;Cantabria;12.5 (11:50);4.3 (23:40);8.4;29 (03:20);19 (02:30);2.0;1.8;0.2;0.0
San Vicente de la Barquera;Cantabria;12.7 (12:40);4.3 (23:50);8.5;40 (02:00);31 (02:00);3.5;3.0;0.5;0.0
Camaleño, Fuente De;Cantabria;4.8 (13:30);-1.1 (23:59);1.9;12 (16:50);5 (11:00);2.4;1.4;1.0;0.0
Cillórigo de Liébana, Tama;Cantabria;11.9 (15:50);-0.2 (23:59);5.8;30 (16:10);15 (16:00);0.6;0.2;0.4;0.0
Tresviso;Cantabria;6.9 (15:40);0.8 (22:50);3.9;31 (01:30);23 (01:40);8.4;4.2;4.2;0.0
Posada de Valdeón, Soto;León;6.3 (14:40);-1.2 (23:59);2.6;;;1.0;0.6;0.4;0.0
Cabrales;Asturias;11.2 (14:00);2.8 (23:40);7.0;24 (01:30);18 (01:40);6.2;4.6;1.6;0.0
Llanes;Asturias;14.1 (13:30);5.9 (23:59);10.0;40 (00:50);21 (00:40);9.6;7.0;2.6;0.0
Amieva, Panizales;Asturias;12.7 (14:00);2.3 (23:59);7.5;23 (07:50);10 (08:00);7.4;5.4;2.0;0.0
Piloña, Bargaéu;Asturias;11.7 (17:00);2.6 (23:59);7.1;15 (17:20);8 (17:20);4.6;4.2;0.4;0.0
Colunga;Asturias;13.1 (14:40);4.4 (23:59);8.8;26 (00:20);13 (00:20);6.2;6.0;0.2;0.0
Gijón, Campus;Asturias;13.2 (15:50);2.2 (23:59);7.7;19 (16:30);13 (16:30);2.0;2.0;0.0;0.0
Cabo Peñas;Asturias;11.9 (15:50);7.7 (23:59);9.8;17 (03:30);11 (23:00);1.2;1.2;0.0;0.0
Asturias Aeropuerto;Asturias;11.9 (14:30);4.6 (21:30);8.2;24 (12:50);13 (16:10);2.0;2.0;0.0;0.0
Pajares-Valgrande;Asturias;1.3 (00:10);-4.1 (23:50);-1.4;34 (02:50);16 (02:50);8.8;4.3;4.1;0.4
Lena, Ronzón;Asturias;9.6 (16:20);1.4 (23:59);5.5;24 (03:00);10 (02:50);10.6;6.6;4.0;0.0
Aller, Felechosa;Asturias;7.0 (16:30);0.3 (23:59);3.7;20 (05:30);10 (03:40);2.2;1.8;0.4;0.0
Mieres, Baiña;Asturias;11.8 (13:20);2.9 (23:59);7.4;12 (15:00);5 (01:50);7.8;6.6;1.2;0.0
Oviedo;Asturias;10.8 (13:50);4.5 (23:59);7.7;24 (19:00);13 (19:00);4.2;4.2;0.0;0.0
Tineo, Soutu;Asturias;11.3 (15:10);2.5 (23:59);6.9;22 (16:10);12 (16:20);2.6;2.4;0.2;0.0
Pola de Somiedo;Asturias;8.7 (14:50);1.3 (23:59);5.0;18 (15:40);9 (15:40);1.6;1.0;0.6;0.0
Salas, Camuño;Asturias;12.3 (13:40);2.8 (23:50);7.6;21 (17:10);14 (17:10);3.6;3.6;0.0;0.0
Cabo Busto;Asturias;12.9 (13:10);5.5 (23:59);9.2;30 (18:30);16 (21:50);1.2;1.2;0.0;0.0
Cervantes;Lugo;;;;;;;;;
Degaña;Asturias;7.1 (15:10);-2.8 (23:00);2.1;19 (15:20);10 (15:20);1.4;0.8;0.6;0.0
Ibias, San Antolin;Asturias;9.9 (15:20);2.2 (22:40);6.0;31 (11:10);22 (11:00);0.2;0.2;0.0;0.0
Villayón, Oneta;Asturias;9.7 (14:00);4.5 (20:40);7.1;30 (19:10);21 (19:20);0.0;0.0;0.0;0.0
Castropol;Asturias;14.1 (12:20);3.8 (23:40);9.0;24 (15:30);12 (15:30);3.5;3.5;0.0;0.0
Taramundi, Ouria;Asturias;9.8 (12:50);3.4 (23:59);6.6;32 (15:50);24 (14:00);4.0;3.8;0.2;0.0
Ribadeo;Lugo;12.2 (13:30);4.3 (23:30);8.3;23 (14:30);14 (15:00);0.8;0.6;0.2;0.0
Mondoñedo;Lugo;11.3 (14:40);3.1 (23:59);7.2;;;2.8;2.8;0.0;0.0
Burela;Lugo;12.3 (12:00);7.3 (23:59);9.8;;;1.0;0.4;0.4;0.2
Estaca de Bares;A Coruña;11.6 (14:10);9.2 (00:00);10.4;35 (22:10);26 (07:10);0.0;0.0;0.0;0.0
Ferrol;A Coruña;13.5 (16:40);5.4 (23:59);9.5;31 (15:10);24 (15:00);0.0;0.0;0.0;0.0
As Pontes;A Coruña;11.7 (14:10);1.2 (23:59);6.4;;;0.2;0.2;0.0;0.0
A Coruña;A Coruña;12.9 (13:30);8.7 (23:30);10.8;36 (19:00);23 (18:10);0.0;0.0;0.0;0.0
A Coruña Bens;A Coruña;11.8 (16:40);7.3 (23:30);9.6;30 (15:30);23 (18:10);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;12.5 (15:00);5.8 (23:30);9.2;33 (15:30);19 (15:30);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;12.4 (14:20);2.8 (23:59);7.6;;;0.4;0.2;0.0;0.2
Cabo Vilán;A Coruña;11.7 (13:50);8.3 (09:40);10.0;56 (19:20);48 (20:00);1.3;1.3;0.0;0.0
Vimianzo;A Coruña;11.0 (12:50);5.6 (07:40);8.3;;;1.6;1.6;0.0;0.0
