Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;17.0 (13:30);2.6 (07:40);9.8;28 (23:50);16 (23:59);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;17.5 (15:40);6.9 (07:10);12.2;30 (14:00);21 (13:40);0.0;0.0;0.0;0.0
Valls;Tarragona;17.6 (13:30);5.0 (07:40);11.3;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;16.6 (12:10);9.1 (07:40);12.9;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;14.7 (14:50);4.7 (23:59);9.7;38 (11:50);24 (11:50);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;17.0 (13:50);5.2 (08:10);11.1;25 (14:10);13 (12:30);0.0;0.0;0.0;0.0
Sitges;Barcelona;16.8 (14:10);9.0 (07:40);12.9;22 (11:20);9 (10:10);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;16.7 (13:00);9.3 (08:00);13.0;30 (14:40);19 (14:40);0.0;0.0;0.0;0.0
Berga;Barcelona;;;;;;;0.0;0.0;
Balsareny;Barcelona;17.8 (16:20);2.2 (08:20);10.0;25 (18:30);15 (18:20);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;16.0 (16:00);3.0 (08:20);9.5;19 (14:00);6 (14:30);0.0;0.0;0.0;0.0
Moià;Barcelona;14.9 (15:00);5.3 (07:30);10.1;30 (11:40);17 (11:50);0.0;0.0;0.0;0.0
Manresa;Barcelona;18.5 (14:20);4.0 (08:00);11.3;25 (18:00);12 (18:30);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;13.5 (14:00);7.5 (01:30);10.5;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;18.3 (15:50);4.0 (08:00);11.1;21 (16:40);10 (16:40);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;15.5 (13:40);7.1 (07:30);11.3;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;15.4 (11:20);10.8 (07:30);13.1;35 (13:40);27 (14:30);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;17.0 (13:20);11.0 (07:50);14.0;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;20.2 (11:40);5.3 (07:40);12.8;28 (12:20);17 (11:30);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;16.9 (13:20);10.4 (05:50);13.6;23 (16:20);12 (15:50);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;16.9 (13:30);9.5 (00:00);13.2;26 (12:30);13 (12:20);0.0;0.0;0.0;0.0
Fogars de Montclús;Barcelona;15.0 (12:20);5.7 (05:50);10.3;;;0.0;0.0;0.0;0.0
Blanes;Girona;18.2 (11:50);10.9 (00:00);14.6;26 (10:30);17 (10:40);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;16.5 (12:30);6.6 (02:30);11.5;36 (12:50);18 (12:50);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;14.7 (13:00);1.8 (02:00);8.2;33 (03:40);14 (09:00);0.0;0.0;0.0;0.0
Planoles;Girona;14.6 (13:50);1.5 (06:10);8.1;30 (13:00);18 (12:40);0.0;0.0;0.0;0.0
Ripoll;Girona;;;;;;;;0.0;0.0
Tona;Barcelona;16.4 (14:30);4.9 (08:10);10.6;30 (11:40);14 (12:20);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;16.3 (15:00);3.2 (07:30);9.7;22 (17:30);13 (17:30);0.0;0.0;0.0;0.0
