Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;15.5 (14:00);2.4 (06:10);9.0;19 (14:40);10 (11:20);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;16.0 (15:00);4.0 (05:40);10.0;22 (12:00);14 (12:10);0.0;0.0;0.0;0.0
Valls;Tarragona;16.3 (14:40);3.1 (07:00);9.7;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;15.8 (13:20);6.9 (07:10);11.4;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;16.2 (15:00);0.3 (07:00);8.3;20 (10:20);14 (10:20);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;16.2 (14:40);1.9 (06:30);9.1;21 (15:30);12 (15:10);0.0;0.0;0.0;0.0
Sitges;Barcelona;15.2 (14:10);6.9 (23:59);11.0;21 (13:00);8 (15:10);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;15.0 (11:40);7.0 (07:30);11.0;35 (13:40);27 (14:10);0.0;0.0;0.0;0.0
Berga;Barcelona;15.1 (16:10);0.3 (08:40);7.7;19 (13:10);11 (14:10);0.0;0.0;0.0;0.0
Balsareny;Barcelona;17.6 (16:10);1.3 (23:50);9.5;24 (16:30);17 (16:30);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;16.1 (15:50);0.6 (23:40);8.4;18 (15:30);10 (17:10);0.0;0.0;0.0;0.0
Moià;Barcelona;16.0 (16:00);1.5 (07:50);8.8;22 (15:30);13 (15:10);0.0;0.0;0.0;0.0
Manresa;Barcelona;17.9 (16:20);5.0 (23:59);11.4;23 (19:30);13 (19:20);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;12.3 (14:10);3.1 (08:00);7.7;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;16.7 (16:00);3.5 (23:59);10.1;18 (17:20);10 (17:10);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;15.0 (14:30);5.1 (08:00);10.0;;;0.2;0.0;0.2;0.0
Barcelona;Barcelona;14.5 (12:30);7.9 (07:50);11.2;31 (13:50);26 (14:10);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;15.6 (14:00);9.2 (06:50);12.4;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;17.5 (15:30);2.7 (05:50);10.1;24 (13:30);17 (14:50);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;15.5 (12:30);7.5 (05:00);11.5;27 (15:50);18 (16:10);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;15.7 (12:20);6.2 (23:59);10.9;30 (15:00);13 (12:40);0.0;0.0;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;16.8 (13:20);4.8 (03:20);10.8;;;0.0;0.0;0.0;0.0
Blanes;Girona;16.3 (13:30);9.3 (07:50);12.8;47 (16:30);30 (15:50);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;15.3 (14:20);4.6 (07:20);10.0;32 (15:00);17 (11:00);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;15.6 (15:20);-1.8 (00:10);6.9;34 (13:40);16 (09:40);0.0;0.0;0.0;0.0
Planoles;Girona;16.9 (14:50);0.6 (06:10);8.7;30 (15:30);18 (15:30);0.0;0.0;0.0;0.0
Ripoll;Girona;16.6 (15:10);-0.6 (01:00);8.0;;;0.0;0.0;0.0;0.0
Tona;Barcelona;16.8 (14:30);1.9 (23:50);9.3;22 (14:50);13 (13:10);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;17.6 (15:00);1.2 (23:59);9.4;23 (15:20);10 (15:20);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;19.3 (14:30);-1.5 (07:50);8.9;23 (14:50);7 (14:50);0.0;0.0;0.0;0.0
Sant Hilari;Girona;17.0 (15:50);1.4 (05:50);9.2;24 (10:20);13 (16:20);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;16.8 (13:40);0.8 (08:00);8.8;33 (14:50);27 (15:50);0.0;0.0;0.0;0.0
Girona;Girona;17.5 (14:50);3.5 (07:50);10.5;28 (15:00);13 (15:10);0.0;0.0;0.0;0.0
Porqueres;Girona;18.1 (14:20);1.8 (08:10);10.0;30 (14:50);17 (14:00);0.0;0.0;0.0;0.0
L'Estartit;Girona;15.4 (14:50);6.9 (08:20);11.1;35 (13:30);24 (13:30);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;16.9 (16:00);-1.1 (03:00);7.9;26 (14:30);15 (14:50);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;17.6 (15:20);1.7 (07:40);9.7;25 (15:30);14 (15:40);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;16.7 (15:30);3.1 (00:10);9.9;14 (15:50);9 (15:50);0.0;0.0;0.0;0.0
Espolla;Girona;17.3 (15:30);5.7 (08:20);11.5;24 (18:30);17 (18:50);0.0;0.0;0.0;0.0
Figueres;Girona;17.2 (15:30);5.6 (08:00);11.4;18 (17:00);8 (17:00);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;14.5 (16:10);10.1 (08:00);12.3;;24 (14:10);0.0;0.0;0.0;0.0
Baztan, Irurita;Navarra;20.6 (15:00);0.5 (08:20);10.6;26 (13:10);16 (13:10);0.0;0.0;0.0;0.0
Bera;Navarra;21.5 (16:00);4.4 (23:50);13.0;30 (11:50);14 (11:50);0.0;0.0;0.0;0.0
Irún;Gipuzkoa;21.7 (14:00);11.8 (19:40);16.8;20 (13:10);8 (15:50);0.0;0.0;0.0;0.0
San Sebastián Aeropuerto;Gipuzkoa;21.6 (12:40);4.6 (05:30);13.1;21 (13:20);15 (13:20);0.0;0.0;0.0;0.0
Renteria;Gipuzkoa;21.7 (14:50);6.3 (23:59);14.0;38 (00:20);23 (01:40);0.0;0.0;0.0;0.0
Segura - Lastala;Gipuzkoa;18.2 (14:00);5.9 (23:59);12.1;36 (14:30);22 (14:30);0.0;0.0;0.0;0.0
Beasain;Gipuzkoa;19.5 (15:20);5.9 (23:59);12.7;30 (11:40);14 (14:10);0.0;0.0;0.0;0.0
Ordizia;Gipuzkoa;18.5 (14:40);7.9 (23:59);13.2;35 (03:30);20 (04:10);0.0;0.0;0.0;0.0
Areso;Navarra;16.5 (15:00);9.7 (08:40);13.1;52 (04:20);32 (02:50);0.0;0.0;0.0;0.0
Legazpia;Gipuzkoa;17.9 (15:10);4.2 (08:40);11.0;;;0.0;0.0;0.0;0.0
Zumarraga;Gipuzkoa;;;;;;;;;
Azpeitia;Gipuzkoa;20.1 (15:10);7.1 (23:59);13.6;24 (03:00);10 (01:30);0.0;0.0;0.0;0.0
Zumaia;Gipuzkoa;22.5 (14:20);8.1 (23:50);15.3;41 (00:50);21 (12:30);0.0;0.0;0.0;0.0
Aramaio;Araba/Álava;14.9 (16:20);8.0 (07:00);11.4;;;0.0;0.0;0.0;0.0
Aretxabaleta;Gipuzkoa;17.8 (14:50);4.1 (10:00);10.9;;;0.0;0.0;0.0;0.0
Elgeta;Gipuzkoa;17.5 (15:00);6.4 (08:30);12.0;21 (04:10);9 (10:00);0.0;0.0;0.0;0.0
Elgoibar;Gipuzkoa;19.7 (15:00);4.8 (08:20);12.3;28 (01:10);15 (01:10);0.0;0.0;0.0;0.0
Mutriku;Gipuzkoa;20.3 (14:40);12.3 (08:40);16.3;31 (07:40);21 (07:40);0.0;0.0;0.0;0.0
Forua;Bizkaia;21.6 (15:20);5.2 (08:50);13.4;34 (12:00);20 (12:00);0.0;0.0;0.0;0.0
Machichaco;Bizkaia;19.7 (14:10);11.3 (02:10);15.5;43 (07:40);31 (08:10);0.0;0.0;0.0;0.0
Punta Galea;Bizkaia;;;;33 (02:10);15 (11:10);0.0;0.0;0.0;0.0
Amurrio;Araba/Álava;17.8 (16:10);9.1 (23:59);13.4;32 (04:10);19 (04:10);0.0;0.0;0.0;0.0
Orozko;Bizkaia;20.6 (16:00);3.5 (08:20);12.1;33 (14:30);14 (14:30);0.0;0.0;0.0;0.0
Abadiño;Bizkaia;14.7 (15:00);4.9 (06:10);9.8;;;0.0;0.0;0.0;0.0
Amorebieta--Etxano;Bizkaia;20.7 (16:00);4.0 (08:20);12.4;19 (12:20);11 (15:30);0.0;0.0;0.0;0.0
Balmaseda;Bizkaia;21.0 (15:30);3.0 (09:00);12.0;;;0.0;0.0;0.0;0.0
Güeñes;Bizkaia;19.1 (14:20);6.3 (07:50);12.7;19 (02:20);11 (02:10);0.0;0.0;0.0;0.0
Bilbao Aeropuerto;Bizkaia;21.6 (16:20);5.1 (07:20);13.4;32 (00:10);16 (00:10);0.0;0.0;0.0;0.0
Sopuerta;Bizkaia;22.6 (16:00);7.4 (08:40);15.0;29 (10:40);15 (10:50);0.0;0.0;0.0;0.0
Castro Urdiales;Cantabria;15.3 (12:10);8.1 (07:00);11.7;21 (16:40);12 (01:30);0.0;0.0;0.0;0.0
Ramales de la Victoria;Cantabria;18.9 (16:10);0.7 (08:50);9.8;12 (16:10);6 (16:10);0.0;0.0;0.0;0.0
Barcena de Cicero, Treto;Cantabria;16.4 (13:30);3.2 (08:40);9.8;16 (01:00);9 (00:30);0.0;0.0;0.0;0.0
Soba, Alto Miera;Cantabria;18.6 (16:20);8.2 (23:40);13.4;25 (08:10);12 (07:10);0.0;0.0;0.0;0.0
Santander Aeropuerto;Cantabria;;;;;;;0.0;;
Santander;Cantabria;14.5 (14:30);8.9 (07:50);11.7;20 (05:30);15 (04:30);0.0;0.0;0.0;0.0
Villacarriedo;Cantabria;20.1 (15:10);5.9 (00:00);13.0;26 (16:30);16 (16:30);0.0;0.0;0.0;0.0
Los Tojos, Bárcena Mayor;Cantabria;19.4 (14:40);-1.2 (08:00);9.1;18 (16:20);10 (16:00);0.0;0.0;0.0;0.0
