Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;14.9 (15:10);5.0 (21:50);9.9;37 (04:00);21 (07:20);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;18.2 (15:40);6.5 (04:30);12.4;32 (17:10);23 (17:10);0.0;0.0;0.0;0.0
Valls;Tarragona;17.8 (14:40);6.0 (03:10);11.9;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;17.2 (14:30);8.5 (03:40);12.9;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;13.4 (15:20);2.4 (22:20);7.9;36 (12:40);24 (12:30);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;16.7 (15:00);5.6 (05:30);11.2;22 (13:40);10 (13:40);0.0;0.0;0.0;0.0
Sitges;Barcelona;15.1 (12:10);7.6 (03:40);11.4;16 (18:20);11 (14:30);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;15.9 (12:50);9.3 (03:50);12.6;26 (15:40);17 (04:30);0.0;0.0;0.0;0.0
Berga;Barcelona;11.9 (15:40);3.9 (23:59);7.9;22 (14:30);12 (15:00);0.0;0.0;0.0;0.0
Balsareny;Barcelona;14.1 (16:30);2.2 (08:00);8.2;20 (14:50);9 (14:50);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;11.2 (17:20);1.2 (23:20);6.2;24 (15:10);14 (15:20);0.0;0.0;0.0;0.0
Moià;Barcelona;11.1 (16:50);4.3 (08:10);7.7;20 (12:40);12 (12:40);0.0;0.0;0.0;0.0
Manresa;Barcelona;15.2 (16:20);4.4 (06:50);9.8;17 (18:40);9 (17:10);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;10.7 (15:40);5.3 (09:30);8.0;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;14.8 (16:00);4.8 (05:40);9.8;17 (15:30);6 (16:30);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;12.9 (13:50);5.8 (08:00);9.3;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;14.2 (12:40);10.3 (06:00);12.3;22 (17:50);19 (17:50);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;14.9 (13:00);11.1 (03:40);13.0;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;15.2 (14:30);4.3 (06:10);9.8;29 (14:10);18 (14:10);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;16.2 (13:40);9.2 (04:00);12.7;25 (12:10);13 (13:30);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;16.2 (13:30);8.8 (04:20);12.5;23 (13:40);13 (14:00);0.0;0.0;0.0;0.0
Fogars de Montclús;Barcelona;11.0 (14:00);3.6 (22:30);7.3;;;0.0;0.0;0.0;0.0
Blanes;Girona;16.0 (13:50);8.9 (23:59);12.4;27 (23:00);18 (23:00);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;13.9 (13:50);8.3 (01:10);11.1;44 (08:10);18 (23:10);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;10.0 (13:10);1.6 (23:50);5.8;21 (13:00);12 (13:40);0.0;0.0;0.0;0.0
Planoles;Girona;10.6 (13:30);0.3 (23:59);5.5;30 (13:50);17 (13:00);0.0;0.0;0.0;0.0
Ripoll;Girona;11.3 (16:00);2.3 (23:59);6.8;;;0.0;0.0;0.0;0.0
Tona;Barcelona;12.4 (16:40);3.8 (08:10);8.1;27 (13:50);14 (13:50);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;12.1 (15:30);2.4 (23:50);7.3;17 (12:50);9 (12:40);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;12.5 (13:30);0.8 (23:59);6.7;15 (14:40);5 (14:30);0.0;0.0;0.0;0.0
Sant Hilari;Girona;9.4 (14:00);0.8 (23:00);5.1;18 (11:00);10 (10:20);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;14.4 (13:30);2.5 (23:59);8.4;35 (14:30);18 (14:30);0.0;0.0;0.0;0.0
Girona;Girona;14.3 (13:10);5.0 (23:59);9.7;21 (14:00);9 (14:10);0.0;0.0;0.0;0.0
Porqueres;Girona;13.8 (15:30);2.4 (23:59);8.1;19 (14:30);11 (14:00);0.0;0.0;0.0;0.0
L'Estartit;Girona;14.2 (13:20);9.7 (23:50);11.9;38 (13:40);18 (17:50);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;13.0 (13:50);2.1 (23:59);7.5;22 (14:10);13 (14:10);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;14.1 (15:40);8.8 (00:00);11.5;50 (10:20);28 (18:40);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;13.2 (16:50);7.0 (23:40);10.1;59 (23:00);18 (12:50);0.0;0.0;0.0;0.0
Espolla;Girona;13.6 (16:10);9.9 (23:59);11.8;67 (03:30);33 (10:40);0.0;0.0;0.0;0.0
Figueres;Girona;13.9 (00:00);10.0 (23:50);11.9;56 (20:10);26 (13:30);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;13.5 (00:00);10.7 (23:40);12.1;;76 (21:10);0.0;0.0;0.0;0.0
Baztan, Irurita;Navarra;12.2 (14:50);-0.1 (23:59);6.0;24 (11:00);12 (11:00);0.2;0.2;0.0;0.0
Bera;Navarra;12.6 (15:00);1.0 (23:59);6.8;23 (11:30);11 (18:10);0.8;0.8;0.0;0.0
Irún;Gipuzkoa;12.2 (14:00);6.7 (08:20);9.4;29 (11:50);15 (11:00);4.0;3.8;0.2;0.0
San Sebastián Aeropuerto;Gipuzkoa;12.8 (15:20);5.9 (23:00);9.4;28 (12:00);21 (20:00);2.4;2.4;0.0;0.0
Renteria;Gipuzkoa;11.1 (14:20);2.0 (23:59);6.6;32 (02:50);17 (02:50);1.6;1.4;0.0;0.2
Segura - Lastala;Gipuzkoa;11.7 (15:10);2.0 (23:59);6.8;22 (13:40);12 (13:40);0.6;0.6;0.0;0.0
Beasain;Gipuzkoa;11.1 (14:30);2.0 (23:50);6.6;28 (17:30);16 (15:20);0.8;0.8;0.0;0.0
Ordizia;Gipuzkoa;11.7 (15:50);3.1 (23:59);7.4;33 (13:50);19 (13:50);1.0;0.8;0.2;0.0
Areso;Navarra;10.2 (14:20);1.7 (23:30);5.9;21 (16:30);9 (15:20);1.8;1.6;0.2;0.0
Legazpia;Gipuzkoa;8.2 (14:50);0.7 (23:40);4.4;;;1.2;1.0;0.2;0.0
Zumarraga;Gipuzkoa;7.4 (13:00);3.3 (23:59);5.4;28 (10:10);11 (15:50);2.5;2.3;0.2;0.0
Azpeitia;Gipuzkoa;11.3 (15:30);4.2 (23:50);7.8;19 (14:40);8 (12:30);5.0;4.8;0.0;0.2
Zumaia;Gipuzkoa;12.5 (13:20);5.9 (23:59);9.2;41 (03:20);28 (01:20);2.7;2.6;0.0;0.1
Aramaio;Araba/Álava;7.5 (15:30);2.5 (23:20);5.0;;;2.4;1.4;0.8;0.2
Aretxabaleta;Gipuzkoa;10.0 (14:40);1.2 (23:50);5.6;;;2.6;2.6;0.0;0.0
Elgeta;Gipuzkoa;9.1 (15:10);3.3 (23:30);6.2;28 (18:00);9 (18:00);4.0;3.4;0.6;0.0
Elgoibar;Gipuzkoa;9.2 (13:10);2.8 (23:59);6.0;31 (14:40);15 (14:40);7.2;7.0;0.2;0.0
Mutriku;Gipuzkoa;11.2 (14:10);7.1 (08:10);9.1;34 (21:20);17 (01:20);9.0;8.4;0.6;0.0
Forua;Bizkaia;11.9 (14:30);2.7 (23:59);7.3;27 (14:10);15 (14:50);3.4;3.0;0.4;0.0
Machichaco;Bizkaia;9.8 (00:00);8.0 (11:30);8.9;62 (23:59);51 (23:59);1.2;0.6;0.4;0.2
Punta Galea;Bizkaia;12.0 (15:00);5.0 (23:50);8.5;27 (15:40);16 (16:20);0.0;0.0;0.0;0.0
Amurrio;Araba/Álava;10.4 (13:20);2.0 (23:59);6.2;30 (16:40);16 (16:40);2.2;1.4;0.8;0.0
Orozko;Bizkaia;12.0 (16:20);1.7 (23:59);6.9;22 (13:10);10 (16:40);3.0;2.2;0.8;0.0
Abadiño;Bizkaia;7.3 (14:50);2.4 (20:10);4.9;;;4.8;3.2;1.6;0.0
Amorebieta--Etxano;Bizkaia;11.7 (14:50);3.1 (23:50);7.4;27 (16:30);17 (15:10);4.0;3.2;0.8;0.0
Balmaseda;Bizkaia;10.7 (15:30);2.7 (22:10);6.7;;;5.4;5.0;0.4;0.0
Güeñes;Bizkaia;10.6 (14:50);2.9 (23:30);6.8;25 (17:10);11 (16:50);1.3;1.0;0.3;0.0
Bilbao Aeropuerto;Bizkaia;11.4 (16:10);2.5 (23:59);6.9;33 (15:40);20 (13:10);1.1;1.0;0.1;0.0
Sopuerta;Bizkaia;11.1 (16:30);2.0 (23:30);6.6;29 (04:30);12 (09:40);8.6;7.4;1.2;0.0
Castro Urdiales;Cantabria;11.0 (13:10);7.1 (21:40);9.0;39 (10:30);24 (10:30);0.3;0.1;0.0;0.2
Ramales de la Victoria;Cantabria;11.6 (15:30);2.1 (22:10);6.9;15 (17:00);8 (16:20);5.4;4.6;0.8;0.0
Barcena de Cicero, Treto;Cantabria;12.0 (11:40);4.5 (23:00);8.3;33 (17:30);21 (16:10);1.0;0.6;0.4;0.0
Soba, Alto Miera;Cantabria;6.7 (16:50);3.0 (22:50);4.8;51 (23:20);23 (23:10);;1.6;;0.0
Santander Aeropuerto;Cantabria;12.8 (16:00);4.9 (23:50);8.9;35 (10:50);26 (12:20);1.0;1.0;0.0;0.0
Santander;Cantabria;12.1 (13:10);7.3 (22:50);9.7;40 (18:30);32 (17:10);1.4;1.4;0.0;0.0
Villacarriedo;Cantabria;10.9 (16:00);0.9 (23:59);5.9;29 (15:30);18 (15:20);0.2;0.2;0.0;0.0
Los Tojos, Bárcena Mayor;Cantabria;10.2 (15:00);-0.9 (23:59);4.6;20 (17:40);10 (17:40);3.2;2.0;1.2;0.0
San Felices de Buelna;Cantabria;12.5 (14:30);1.6 (23:59);7.1;28 (17:00);13 (16:40);1.8;1.6;0.2;0.0
Torrelavega, Sierrapando;Cantabria;12.0 (11:00);4.3 (23:59);8.2;43 (18:50);27 (18:50);1.4;1.4;0.0;0.0
San Vicente de la Barquera;Cantabria;12.3 (12:00);6.3 (23:59);9.3;43 (16:10);29 (16:10);2.7;2.1;0.6;0.0
Camaleño, Fuente De;Cantabria;9.3 (16:20);-1.2 (23:40);4.1;13 (04:50);5 (11:50);0.8;0.2;0.6;0.0
Cillórigo de Liébana, Tama;Cantabria;12.5 (15:50);0.7 (23:59);6.6;28 (16:40);13 (16:40);1.6;1.4;0.2;0.0
Tresviso;Cantabria;5.7 (16:50);1.1 (22:20);3.4;28 (03:10);15 (13:00);10.2;8.0;2.2;0.0
Posada de Valdeón, Soto;León;8.1 (16:10);-0.8 (23:59);3.7;;;0.2;0.2;0.0;0.0
Cabrales;Asturias;9.6 (15:40);2.8 (23:20);6.2;42 (14:20);27 (14:20);2.6;2.2;0.4;0.0
Llanes;Asturias;12.6 (15:00);8.2 (23:59);10.4;53 (19:30);38 (19:00);9.8;9.4;0.4;0.0
Amieva, Panizales;Asturias;10.8 (15:30);5.7 (23:59);8.3;27 (06:30);10 (06:30);2.4;2.2;0.2;0.0
Piloña, Bargaéu;Asturias;11.2 (15:50);4.5 (23:50);7.8;25 (14:20);14 (14:20);4.0;3.8;0.2;0.0
Colunga;Asturias;12.8 (13:20);7.9 (23:40);10.4;52 (19:50);31 (19:50);0.2;0.0;0.2;0.0
Gijón, Campus;Asturias;12.9 (15:10);7.7 (23:59);10.3;44 (16:50);22 (17:20);0.8;0.8;0.0;0.0
Cabo Peñas;Asturias;12.1 (13:40);8.7 (23:59);10.4;62 (23:50);44 (21:10);0.0;0.0;0.0;0.0
Asturias Aeropuerto;Asturias;11.7 (15:10);7.0 (23:50);9.3;46 (20:50);27 (17:40);0.5;0.5;0.0;0.0
Pajares-Valgrande;Asturias;4.3 (23:00);-0.6 (08:20);1.9;23 (10:50);19 (23:20);2.1;1.2;0.9;0.0
Lena, Ronzón;Asturias;10.9 (16:20);6.4 (00:00);8.6;19 (12:30);12 (12:30);1.0;1.0;0.0;0.0
Aller, Felechosa;Asturias;10.2 (14:50);4.0 (08:20);7.1;21 (15:10);14 (15:30);0.6;0.4;0.0;0.2
Mieres, Baiña;Asturias;12.9 (16:00);6.9 (08:20);9.9;24 (06:40);11 (13:30);0.2;0.2;0.0;0.0
Oviedo;Asturias;11.5 (14:50);6.0 (23:59);8.8;32 (17:50);17 (15:00);2.4;2.4;0.0;0.0
Tineo, Soutu;Asturias;12.1 (16:10);6.7 (05:00);9.4;30 (17:30);15 (15:00);0.6;0.6;0.0;0.0
Pola de Somiedo;Asturias;11.3 (15:10);2.3 (02:10);6.8;24 (15:30);13 (15:40);0.0;0.0;0.0;0.0
Salas, Camuño;Asturias;11.5 (14:50);5.6 (23:59);8.5;39 (13:30);19 (01:00);0.8;0.8;0.0;0.0
Cabo Busto;Asturias;11.9 (13:30);8.9 (23:50);10.4;67 (16:30);37 (16:40);0.6;0.6;0.0;0.0
Cervantes;Lugo;14.7 (17:20);-0.2 (05:00);7.2;30 (23:50);16 (23:40);0.0;0.0;0.0;0.0
Degaña;Asturias;10.8 (13:30);-1.5 (01:30);4.7;28 (13:00);19 (23:30);0.0;0.0;0.0;0.0
Ibias, San Antolin;Asturias;12.5 (14:50);3.6 (01:30);8.0;39 (06:40);26 (11:40);0.0;0.0;0.0;0.0
Villayón, Oneta;Asturias;10.2 (14:30);5.4 (05:00);7.8;51 (13:00);28 (13:00);0.2;0.2;0.0;0.0
Castropol;Asturias;12.8 (11:20);5.5 (23:59);9.2;48 (14:20);24 (14:20);1.3;1.3;0.0;0.0
Taramundi, Ouria;Asturias;10.9 (13:20);3.1 (23:59);7.0;45 (14:10);32 (14:10);0.4;0.4;0.0;0.0
Ribadeo;Lugo;12.0 (15:20);7.1 (23:50);9.5;54 (17:20);34 (15:50);0.6;0.6;0.0;0.0
Mondoñedo;Lugo;12.0 (13:00);4.0 (23:59);8.0;;;1.2;1.2;0.0;0.0
Burela;Lugo;11.8 (14:10);9.9 (23:59);10.8;;;0.0;0.0;0.0;0.0
Estaca de Bares;A Coruña;11.3 (15:00);9.7 (08:20);10.5;85 (19:10);62 (22:30);0.0;0.0;0.0;0.0
Ferrol;A Coruña;15.0 (14:30);9.5 (23:59);12.3;42 (12:20);27 (09:00);0.0;0.0;0.0;0.0
As Pontes;A Coruña;12.7 (13:40);5.4 (23:59);9.0;;;0.8;0.6;0.2;0.0
A Coruña;A Coruña;14.4 (16:10);9.4 (23:40);11.9;49 (06:30);34 (06:30);0.0;0.0;0.0;0.0
A Coruña Bens;A Coruña;13.4 (16:40);8.3 (23:40);10.8;40 (09:40);34 (06:40);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;15.1 (15:40);6.8 (23:40);11.0;39 (11:00);26 (11:10);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;15.4 (15:50);3.4 (23:59);9.4;;;0.0;0.0;0.0;0.0
Cabo Vilán;A Coruña;12.6 (13:40);7.2 (23:40);9.9;81 (06:40);60 (01:30);0.0;0.0;0.0;0.0
Vimianzo;A Coruña;14.1 (14:50);6.9 (08:00);10.5;;;0.0;0.0;0.0;0.0
Fisterra;A Coruña;16.2 (15:30);7.5 (06:30);11.9;66 (00:30);39 (00:20);0.0;0.0;0.0;0.0
Mazaricos;A Coruña;15.1 (16:20);6.1 (05:30);10.6;;;0.0;0.0;0.0;0.0
Sobrado;A Coruña;15.8 (15:40);1.3 (23:50);8.6;;;0.0;0.0;0.0;0.0
Santiago de Compostela Aeropuerto;A Coruña;15.7 (15:40);4.7 (23:59);10.2;32 (05:30);12 (02:00);0.0;0.0;0.0;0.0
Noia;A Coruña;16.8 (15:40);8.2 (23:59);12.5;39 (11:40);15 (11:40);0.0;0.0;0.0;0.0
Monte Iroite;A Coruña;;;;;;0.0;0.0;0.0;0.0
Boiro;A Coruña;18.1 (17:10);7.9 (23:59);13.0;;;0.0;0.0;0.0;0.0
Monterroso;Lugo;13.6 (15:00);3.7 (08:50);8.7;;;0.0;0.0;0.0;0.0
Silleda;Pontevedra;18.3 (16:30);4.4 (08:10);11.3;28 (10:50);13 (10:50);0.0;0.0;0.0;0.0
A Estrada;Pontevedra;16.4 (15:50);5.1 (23:59);10.7;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;18.5 (16:20);7.1 (23:59);12.8;52 (11:20);33 (11:30);0.0;0.0;0.0;0.0
Santiago de Compostela;A Coruña;16.7 (15:50);7.1 (23:59);11.9;38 (10:10);14 (01:10);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;16.5 (16:50);7.2 (08:40);11.8;;;0.0;0.0;0.0;0.0
Vilagarcía de Arousa;Pontevedra;18.9 (16:00);9.0 (08:20);13.9;44 (01:00);21 (11:10);0.0;0.0;0.0;0.0
Pontevedra;Pontevedra;20.4 (17:00);8.5 (09:00);14.4;35 (06:20);16 (00:50);0.0;0.0;0.0;0.0
A Lama;Pontevedra;16.4 (16:30);5.9 (23:59);11.1;51 (06:30);30 (06:30);0.0;0.0;0.0;0.0
Vigo Aeropuerto;Pontevedra;18.8 (16:40);5.5 (08:40);12.1;35 (16:20);23 (16:20);0.0;0.0;0.0;0.0
