Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;12.5 (13:50);9.4 (07:00);10.9;23 (06:40);10 (16:00);0.2;0.0;0.2;0.0
Reus Aeropuerto;Tarragona;15.5 (15:20);11.1 (02:30);13.3;32 (12:30);23 (12:10);0.0;0.0;0.0;0.0
Valls;Tarragona;15.4 (13:40);10.1 (00:00);12.8;;;0.2;0.2;0.0;0.0
Tarragona;Tarragona;15.9 (13:30);12.7 (01:50);14.3;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;10.9 (14:10);7.5 (00:00);9.2;32 (20:00);19 (14:40);0.2;0.0;0.2;0.0
Vilafranca del Penedès;Barcelona;13.7 (12:10);8.3 (03:00);11.0;28 (15:40);15 (13:10);0.0;0.0;0.0;0.0
Sitges;Barcelona;16.8 (13:10);10.3 (00:20);13.5;26 (14:10);9 (14:50);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;16.1 (14:20);9.8 (06:10);13.0;45 (14:20);33 (14:20);0.0;0.0;0.0;0.0
Berga;Barcelona;8.5 (14:00);6.1 (09:00);7.3;24 (17:40);14 (17:40);3.2;0.6;0.4;2.0
Balsareny;Barcelona;12.4 (16:00);7.2 (04:50);9.8;35 (18:20);23 (16:40);0.8;0.8;0.0;0.0
Prats de Lluçanès;Barcelona;9.2 (16:50);6.5 (00:00);7.8;27 (17:20);13 (22:30);0.8;0.0;0.4;0.0
Moià;Barcelona;8.5 (16:00);6.1 (00:00);7.3;33 (22:00);17 (17:10);0.6;0.2;0.4;0.0
Manresa;Barcelona;12.7 (16:00);7.9 (05:40);10.3;25 (18:30);12 (17:10);0.2;0.2;0.0;0.0
Monistrol de Montserrat;Barcelona;7.6 (13:00);6.2 (00:10);6.9;;;1.4;0.4;1.0;0.0
Igualada;Barcelona;12.9 (14:40);7.8 (01:50);10.3;22 (15:00);10 (15:40);0.1;0.1;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;10.9 (15:10);7.2 (00:10);9.0;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;15.5 (13:50);10.4 (00:40);12.9;45 (14:50);26 (17:30);0.5;0.4;0.0;0.1
Barcelona, Museo Marítimo;Barcelona;16.1 (14:40);11.0 (01:50);13.6;;;0.6;0.4;0.2;0.0
Caldes de Montbui;Barcelona;15.2 (15:10);7.3 (02:20);11.3;31 (15:10);22 (16:00);0.4;0.4;0.0;0.0
Vilassar de Dalt;Barcelona;15.8 (13:50);9.4 (01:50);12.6;35 (15:40);20 (14:30);0.2;0.2;0.0;0.0
Arenys de Mar;Barcelona;15.6 (14:00);8.1 (02:30);11.9;34 (21:00);14 (15:00);0.0;0.0;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;6.5 (16:10);5.2 (02:30);5.8;;;1.4;0.0;0.2;0.0
Blanes;Girona;15.1 (12:50);9.9 (02:10);12.5;67 (16:30);39 (16:10);0.0;0.0;0.0;0.0
