Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;12.2 (15:40);3.4 (08:00);7.8;45 (13:00);28 (13:00);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;15.7 (14:40);1.8 (07:30);8.7;37 (15:50);30 (16:00);0.0;0.0;0.0;0.0
Valls;Tarragona;14.6 (14:30);3.2 (23:59);8.9;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;17.7 (15:20);5.6 (08:10);11.7;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;12.4 (14:30);1.4 (08:10);6.9;33 (12:50);23 (06:30);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;17.2 (16:00);3.0 (23:59);10.1;24 (15:40);13 (15:40);0.0;0.0;0.0;0.0
Sitges;Barcelona;15.6 (12:50);8.7 (08:30);12.2;24 (20:20);13 (02:30);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;16.0 (13:40);7.8 (09:10);11.9;42 (09:20);31 (09:20);0.0;0.0;0.0;0.0
Berga;Barcelona;9.6 (16:00);0.3 (07:00);5.0;12 (14:50);8 (01:00);0.0;0.0;0.0;0.0
Balsareny;Barcelona;12.8 (14:50);-2.6 (08:20);5.1;22 (14:50);12 (16:30);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;10.3 (15:30);-1.4 (03:30);4.5;14 (14:20);8 (13:20);0.0;0.0;0.0;0.0
Moià;Barcelona;9.5 (15:30);0.5 (08:00);5.0;27 (15:20);14 (15:00);0.0;0.0;0.0;0.0
Manresa;Barcelona;13.1 (16:10);-0.3 (09:10);6.4;26 (18:30);15 (17:20);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;8.8 (15:30);1.3 (09:20);5.1;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;12.9 (15:00);2.4 (07:50);7.6;25 (12:30);9 (12:40);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;11.7 (14:30);2.3 (08:00);7.0;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;15.0 (14:10);9.1 (09:00);12.1;31 (12:20);23 (15:00);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;15.7 (14:10);9.2 (08:40);12.4;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;15.9 (14:50);2.0 (08:20);8.9;30 (18:50);20 (18:50);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;15.9 (14:00);8.7 (08:00);12.3;32 (13:10);17 (14:50);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;15.7 (11:00);7.2 (22:20);11.4;33 (15:20);15 (15:20);0.0;0.0;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;12.4 (15:20);3.2 (23:00);7.8;;;0.0;0.0;0.0;0.0
Blanes;Girona;16.2 (14:30);7.9 (06:10);12.1;35 (16:50);23 (16:40);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;14.1 (13:10);4.2 (08:30);9.2;22 (14:20);12 (14:00);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;11.0 (14:00);-2.8 (09:10);4.1;15 (16:10);9 (16:10);0.0;0.0;0.0;0.0
Planoles;Girona;12.2 (13:40);-2.4 (08:20);4.9;23 (14:00);12 (16:00);0.0;0.0;0.0;0.0
Ripoll;Girona;9.6 (16:10);-0.4 (23:50);4.6;;;0.0;0.0;0.0;0.0
Tona;Barcelona;11.1 (15:10);-0.5 (08:20);5.3;16 (13:30);8 (13:30);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;9.7 (13:50);-1.5 (08:30);4.1;15 (14:20);10 (14:20);0.1;0.0;0.1;0.0
Les Planes d'Hostoles;Girona;14.7 (14:50);-1.7 (08:00);6.5;18 (14:20);9 (13:40);0.0;0.0;0.0;0.0
Sant Hilari;Girona;12.0 (15:20);-0.7 (23:50);5.7;26 (08:40);14 (10:50);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;15.5 (15:10);0.7 (08:20);8.1;24 (14:00);15 (22:00);0.0;0.0;0.0;0.0
Girona;Girona;16.2 (14:40);2.9 (08:20);9.6;17 (14:10);7 (14:10);0.0;0.0;0.0;0.0
Porqueres;Girona;14.9 (15:40);0.6 (07:00);7.7;19 (20:00);10 (13:40);0.0;0.0;0.0;0.0
L'Estartit;Girona;13.8 (15:10);4.7 (07:20);9.3;23 (09:30);13 (00:40);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;14.3 (13:40);-0.8 (08:40);6.8;25 (16:20);15 (16:20);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;15.5 (14:40);0.5 (08:30);8.0;22 (12:00);12 (17:10);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;13.8 (14:50);0.0 (07:00);6.9;26 (13:30);12 (13:30);0.0;0.0;0.0;0.0
Espolla;Girona;15.6 (15:30);2.4 (08:20);9.0;46 (01:10);29 (01:10);0.0;0.0;0.0;0.0
Figueres;Girona;16.2 (15:10);6.4 (07:50);11.3;34 (09:40);16 (00:20);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;12.8 (13:50);9.2 (07:30);11.0;;55 (05:00);0.0;0.0;0.0;0.0
Baztan, Irurita;Navarra;9.8 (16:40);-1.7 (03:10);4.1;8 (15:20);5 (15:30);0.0;0.0;0.0;0.0
Bera;Navarra;11.2 (16:20);-0.9 (01:40);5.1;10 (17:10);4 (16:30);0.0;0.0;0.0;0.0
Irún;Gipuzkoa;11.5 (14:50);4.3 (07:10);7.9;28 (23:59);10 (23:59);0.0;0.0;0.0;0.0
San Sebastián Aeropuerto;Gipuzkoa;13.2 (16:30);3.8 (02:10);8.5;22 (14:40);14 (16:30);0.0;0.0;0.0;0.0
Renteria;Gipuzkoa;11.8 (14:50);-0.4 (04:10);5.7;16 (17:00);10 (16:50);0.0;0.0;0.0;0.0
Segura - Lastala;Gipuzkoa;11.5 (16:20);-1.0 (03:20);5.3;13 (16:30);7 (16:30);0.0;0.0;0.0;0.0
Beasain;Gipuzkoa;12.0 (16:20);-0.9 (03:50);5.6;18 (17:00);10 (16:20);0.0;0.0;0.0;0.0
Ordizia;Gipuzkoa;11.5 (16:40);0.1 (03:50);5.8;14 (15:00);9 (15:00);0.0;0.0;0.0;0.0
Areso;Navarra;8.4 (15:10);-0.9 (04:20);3.7;18 (17:00);8 (15:00);0.0;0.0;0.0;0.0
Legazpia;Gipuzkoa;;;;;;;0.0;0.0;0.0
Zumarraga;Gipuzkoa;8.3 (15:00);-0.5 (01:40);3.9;18 (11:50);11 (11:50);;;;
Azpeitia;Gipuzkoa;12.5 (16:10);0.9 (01:50);6.7;14 (16:30);5 (16:00);0.0;0.0;0.0;0.0
Zumaia;Gipuzkoa;14.2 (14:40);3.0 (02:20);8.6;22 (18:20);16 (16:40);0.0;0.0;0.0;0.0
Aramaio;Araba/Álava;8.2 (16:10);1.0 (03:00);4.6;;;0.0;0.0;0.0;0.0
Aretxabaleta;Gipuzkoa;10.6 (15:00);-1.2 (02:30);4.7;;;0.0;0.0;0.0;0.0
Elgeta;Gipuzkoa;9.3 (16:00);1.4 (03:50);5.4;17 (22:00);6 (09:20);0.0;0.0;0.0;0.0
Elgoibar;Gipuzkoa;10.8 (14:50);0.3 (04:30);5.6;16 (23:50);9 (13:10);0.0;0.0;0.0;0.0
Mutriku;Gipuzkoa;11.6 (15:50);6.4 (06:50);9.0;24 (23:10);16 (23:30);0.0;0.0;0.0;0.0
Forua;Bizkaia;13.3 (16:30);1.5 (01:50);7.4;18 (12:40);13 (09:00);0.0;0.0;0.0;0.0
Machichaco;Bizkaia;11.1 (13:20);6.2 (00:00);8.7;35 (23:59);23 (14:00);0.0;0.0;0.0;0.0
Punta Galea;Bizkaia;;;;19 (08:50);11 (08:50);0.0;0.0;0.0;0.0
Amurrio;Araba/Álava;10.7 (15:00);-0.8 (01:50);4.9;15 (16:50);9 (18:30);0.0;0.0;0.0;0.0
Orozko;Bizkaia;12.3 (16:10);0.0 (03:20);6.2;13 (16:30);9 (16:20);0.0;0.0;0.0;0.0
Abadiño;Bizkaia;6.9 (14:40);-0.2 (03:20);3.4;;;0.0;0.0;0.0;0.0
Amorebieta--Etxano;Bizkaia;12.5 (16:00);-0.2 (03:30);6.1;18 (17:10);10 (16:30);0.0;0.0;0.0;0.0
Balmaseda;Bizkaia;11.4 (15:50);-1.5 (07:10);4.9;;;0.0;0.0;0.0;0.0
Güeñes;Bizkaia;12.5 (16:00);0.1 (02:00);6.3;12 (17:40);6 (14:40);0.0;0.0;0.0;0.0
Bilbao Aeropuerto;Bizkaia;13.0 (16:10);1.2 (03:00);7.1;21 (16:50);15 (17:20);0.0;0.0;0.0;0.0
Sopuerta;Bizkaia;13.9 (16:00);0.1 (04:50);7.0;14 (16:20);6 (16:20);0.0;0.0;0.0;0.0
Castro Urdiales;Cantabria;12.0 (14:40);4.5 (06:10);8.3;28 (23:30);15 (22:30);0.0;0.0;0.0;0.0
Ramales de la Victoria;Cantabria;11.4 (15:50);-0.6 (08:40);5.4;6 (14:40);3 (04:00);0.0;0.0;0.0;0.0
Barcena de Cicero, Treto;Cantabria;13.1 (17:00);1.1 (07:20);7.1;22 (03:40);14 (03:40);0.0;0.0;0.0;0.0
Soba, Alto Miera;Cantabria;9.6 (15:50);0.0 (07:10);4.8;18 (04:00);12 (04:00);0.0;0.0;0.0;0.0
Santander Aeropuerto;Cantabria;13.5 (15:50);-0.2 (06:50);6.6;18 (16:40);14 (23:00);0.0;0.0;0.0;0.0
Santander;Cantabria;12.1 (14:30);5.6 (08:40);8.9;25 (23:00);18 (02:40);0.0;0.0;0.0;0.0
Villacarriedo;Cantabria;12.0 (16:10);-2.3 (06:10);4.9;15 (17:00);8 (17:20);0.0;0.0;0.0;0.0
Los Tojos, Bárcena Mayor;Cantabria;10.9 (14:50);-2.9 (07:40);4.0;21 (17:30);8 (17:40);0.0;0.0;0.0;0.0
San Felices de Buelna;Cantabria;13.2 (16:30);-1.4 (07:50);5.9;14 (17:00);6 (16:20);0.0;0.0;0.0;0.0
Torrelavega, Sierrapando;Cantabria;12.7 (15:10);1.6 (07:50);7.1;21 (08:40);14 (08:30);0.0;0.0;0.0;0.0
San Vicente de la Barquera;Cantabria;12.0 (16:20);2.8 (04:40);7.4;20 (09:20);14 (01:00);0.0;0.0;0.0;0.0
Camaleño, Fuente De;Cantabria;10.4 (16:00);-2.7 (04:30);3.8;11 (16:20);5 (16:30);0.0;0.0;0.0;0.0
Cillórigo de Liébana, Tama;Cantabria;12.5 (16:50);-3.5 (08:40);4.5;33 (17:20);15 (17:20);0.0;0.0;0.0;0.0
Tresviso;Cantabria;8.2 (16:30);0.1 (02:20);4.1;32 (23:30);14 (23:30);0.0;0.0;0.0;0.0
Posada de Valdeón, Soto;León;9.0 (14:40);-4.1 (07:30);2.5;;;0.0;0.0;0.0;0.0
Cabrales;Asturias;10.2 (15:10);1.0 (08:10);5.6;23 (17:00);18 (17:00);0.0;0.0;0.0;0.0
Llanes;Asturias;12.4 (14:10);4.3 (08:30);8.3;18 (16:00);14 (15:50);0.0;0.0;0.0;0.0
Amieva, Panizales;Asturias;13.0 (15:50);-0.2 (07:50);6.4;19 (15:40);9 (15:40);0.2;0.0;0.2;0.0
Piloña, Bargaéu;Asturias;13.6 (15:50);-2.1 (08:20);5.8;16 (15:30);9 (15:30);0.0;0.0;0.0;0.0
Colunga;Asturias;13.6 (16:00);3.6 (06:10);8.6;17 (08:50);12 (02:40);0.0;0.0;0.0;0.0
Gijón, Campus;Asturias;14.5 (15:50);-0.4 (07:00);7.0;21 (16:00);13 (16:00);0.0;0.0;0.0;0.0
Cabo Peñas;Asturias;12.1 (14:40);5.1 (06:40);8.6;21 (17:40);16 (22:50);0.0;0.0;0.0;0.0
Asturias Aeropuerto;Asturias;12.6 (14:50);3.1 (07:40);7.9;26 (06:50);18 (08:50);0.0;0.0;0.0;0.0
Pajares-Valgrande;Asturias;7.2 (14:30);-4.3 (00:40);1.4;14 (02:10);10 (02:10);0.0;0.0;0.0;0.0
Lena, Ronzón;Asturias;11.6 (15:00);-1.7 (06:40);5.0;26 (15:40);12 (16:20);0.2;0.0;0.0;0.2
Aller, Felechosa;Asturias;10.0 (14:30);-2.0 (06:20);4.0;19 (17:30);8 (09:20);0.0;0.0;0.0;0.0
Mieres, Baiña;Asturias;14.1 (16:30);-0.1 (06:50);7.0;13 (15:00);6 (15:40);0.0;0.0;0.0;0.0
Oviedo;Asturias;11.5 (16:50);1.3 (09:00);6.4;17 (17:50);11 (08:50);0.0;0.0;0.0;0.0
Tineo, Soutu;Asturias;11.7 (15:00);0.2 (09:30);5.9;18 (17:30);10 (17:10);0.0;0.0;0.0;0.0
Pola de Somiedo;Asturias;12.0 (14:50);-3.1 (08:00);4.5;20 (16:30);10 (16:00);0.0;0.0;0.0;0.0
Salas, Camuño;Asturias;14.2 (15:20);0.7 (08:00);7.4;19 (16:10);10 (16:10);0.0;0.0;0.0;0.0
Cabo Busto;Asturias;14.1 (16:00);3.1 (07:10);8.6;27 (08:40);22 (08:40);0.0;0.0;0.0;0.0
Cervantes;Lugo;;;;;;;;;
Degaña;Asturias;10.6 (16:00);-3.2 (08:50);3.7;15 (14:40);7 (14:20);0.0;0.0;0.0;0.0
Ibias, San Antolin;Asturias;11.0 (16:10);-2.0 (08:40);4.5;21 (00:30);15 (00:30);0.0;0.0;0.0;0.0
Villayón, Oneta;Asturias;10.4 (15:30);1.8 (07:50);6.1;22 (16:50);18 (17:00);0.0;0.0;0.0;0.0
Castropol;Asturias;16.4 (16:30);1.3 (08:30);8.8;24 (10:00);12 (09:20);0.0;0.0;0.0;0.0
Taramundi, Ouria;Asturias;11.6 (15:00);1.5 (08:30);6.6;19 (16:10);14 (16:10);0.0;0.0;0.0;0.0
Ribadeo;Lugo;14.2 (15:50);3.4 (04:30);8.8;19 (06:30);15 (06:30);0.0;0.0;0.0;0.0
Mondoñedo;Lugo;13.2 (15:10);-0.6 (07:00);6.3;;;0.0;0.0;0.0;0.0
Burela;Lugo;13.9 (13:40);5.5 (06:40);9.7;;;0.0;0.0;0.0;0.0
Estaca de Bares;A Coruña;12.5 (15:00);7.9 (07:10);10.2;32 (17:20);27 (17:10);0.0;0.0;0.0;0.0
Ferrol;A Coruña;14.1 (14:00);2.9 (06:00);8.5;19 (15:40);12 (16:00);0.0;0.0;0.0;0.0
As Pontes;A Coruña;14.1 (15:20);-1.6 (08:30);6.3;;;0.0;0.0;0.0;0.0
A Coruña;A Coruña;14.5 (14:50);5.7 (08:20);10.1;17 (09:50);11 (09:50);0.0;0.0;0.0;0.0
A Coruña Bens;A Coruña;13.0 (14:20);5.2 (06:50);9.1;17 (09:50);14 (09:50);0.0;0.0;0.0;0.0
A Coruña Aeropuerto;A Coruña;13.5 (14:20);-0.3 (08:20);6.6;21 (17:50);13 (08:10);0.0;0.0;0.0;0.0
Carballo, Depuradora;A Coruña;14.1 (14:40);-1.7 (08:50);6.2;;;0.0;0.0;0.0;0.0
Cabo Vilán;A Coruña;14.0 (14:20);7.6 (02:30);10.8;37 (22:20);31 (22:20);0.0;0.0;0.0;0.0
Vimianzo;A Coruña;12.9 (14:00);4.2 (05:50);8.5;;;0.0;0.0;0.0;0.0
Fisterra;A Coruña;11.7 (13:40);6.3 (05:00);9.0;50 (03:50);40 (03:50);0.0;0.0;0.0;0.0
Mazaricos;A Coruña;12.2 (15:30);4.5 (05:40);8.3;;;0.0;0.0;0.0;0.0
Sobrado;A Coruña;15.7 (15:50);-3.8 (09:00);5.9;;;0.0;0.0;0.0;0.0
Santiago de Compostela Aeropuerto;A Coruña;13.0 (15:40);1.0 (08:40);7.0;26 (18:10);15 (18:50);0.0;0.0;0.0;0.0
Noia;A Coruña;14.2 (15:30);5.2 (05:50);9.7;18 (18:20);7 (14:10);0.0;0.0;0.0;0.0
Monte Iroite;A Coruña;;;;;;0.0;0.0;0.0;0.0
Boiro;A Coruña;15.3 (16:00);7.4 (04:10);11.4;;;0.0;0.0;0.0;0.0
Monterroso;Lugo;11.5 (16:20);1.4 (07:10);6.4;;;0.0;0.0;0.0;0.0
Silleda;Pontevedra;15.6 (16:30);0.3 (05:00);8.0;21 (14:30);11 (07:40);0.0;0.0;0.0;0.0
A Estrada;Pontevedra;13.7 (16:10);0.0 (09:20);6.8;;;0.0;0.0;0.0;0.0
Padrón;A Coruña;15.4 (16:00);0.7 (08:00);8.0;30 (15:20);19 (15:20);0.0;0.0;0.0;0.0
Santiago de Compostela;A Coruña;14.3 (15:10);3.0 (08:50);8.7;25 (18:40);10 (14:20);0.0;0.0;0.0;0.0
Rois, Casas do Porto;A Coruña;13.6 (16:20);3.0 (08:40);8.3;;;0.0;0.0;0.0;0.0
Vilagarcía de Arousa;Pontevedra;15.9 (16:30);5.3 (04:40);10.6;32 (09:50);18 (09:50);0.0;0.0;0.0;0.0
Pontevedra;Pontevedra;16.3 (15:00);3.1 (07:50);9.7;30 (16:20);17 (16:10);0.0;0.0;0.0;0.0
A Lama;Pontevedra;15.7 (16:10);1.3 (06:40);8.5;32 (02:20);20 (02:20);0.0;0.0;0.0;0.0
Vigo Aeropuerto;Pontevedra;14.5 (15:30);2.5 (09:10);8.5;32 (20:10);22 (19:40);0.0;0.0;0.0;0.0
