Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;13.8 (13:20);3.5 (03:30);8.7;20 (13:30);12 (13:30);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;15.9 (14:00);6.3 (04:00);11.1;26 (14:00);15 (14:00);0.0;0.0;0.0;0.0
Valls;Tarragona;15.0 (12:50);3.7 (07:30);9.4;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;15.0 (14:10);7.1 (07:00);11.0;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;11.4 (17:10);-0.6 (07:40);5.4;23 (15:20);15 (16:20);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;14.0 (15:30);2.7 (07:30);8.4;24 (15:40);12 (15:40);0.0;0.0;0.0;0.0
Sitges;Barcelona;14.4 (15:00);4.6 (06:30);9.5;19 (14:40);10 (13:30);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;15.0 (14:30);5.7 (06:10);10.3;28 (15:50);21 (15:00);0.0;0.0;0.0;0.0
Berga;Barcelona;14.3 (15:10);2.7 (08:10);8.5;24 (14:50);12 (15:40);0.0;0.0;0.0;0.0
Balsareny;Barcelona;16.3 (16:00);4.6 (23:59);10.4;28 (18:00);21 (18:00);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;14.5 (16:10);2.0 (08:10);8.3;21 (12:50);10 (12:20);0.0;0.0;0.0;0.0
Moià;Barcelona;13.5 (16:10);1.9 (05:30);7.7;26 (12:50);15 (13:10);0.0;0.0;0.0;0.0
Manresa;Barcelona;16.5 (14:40);4.3 (08:00);10.4;27 (19:00);15 (17:50);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;10.8 (13:30);4.4 (07:40);7.6;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;15.2 (15:20);2.2 (08:00);8.7;19 (14:00);8 (16:30);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;13.2 (15:10);4.2 (00:00);8.7;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;13.8 (11:30);7.0 (07:50);10.4;29 (14:10);22 (15:30);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;14.7 (15:00);7.9 (07:40);11.3;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;15.3 (14:20);1.7 (06:30);8.5;32 (16:00);21 (16:10);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;15.2 (15:40);6.3 (05:50);10.8;27 (14:20);15 (14:20);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;15.3 (12:00);4.8 (04:40);10.1;30 (13:10);14 (13:20);0.0;0.0;0.0;0.0
Fogars de Montclús;Barcelona;12.9 (14:00);1.2 (07:30);7.0;;;0.0;0.0;0.0;0.0
Blanes;Girona;16.5 (14:30);7.3 (05:40);11.9;43 (11:50);29 (12:50);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;15.1 (15:50);2.0 (07:00);8.6;36 (12:10);20 (12:10);0.0;0.0;0.0;0.0
