Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;13.3 (14:50);7.6 (23:59);10.5;61 (14:30);33 (14:30);1.4;1.4;0.0;0.0
Reus Aeropuerto;Tarragona;16.5 (15:00);8.0 (08:10);12.3;76 (17:20);47 (16:50);0.0;0.0;0.0;0.0
Valls;Tarragona;15.4 (13:20);7.1 (08:10);11.2;;;0.2;0.0;0.2;0.0
Tarragona;Tarragona;18.2 (15:20);10.0 (07:30);14.1;;;0.2;0.2;0.0;0.0
Pontons;Barcelona;11.4 (14:30);5.3 (23:59);8.3;72 (15:20);42 (14:10);0.4;0.4;0.0;0.0
Vilafranca del Penedès;Barcelona;16.5 (14:50);8.3 (08:30);12.4;42 (18:40);22 (11:50);0.0;0.0;0.0;0.0
Sitges;Barcelona;17.2 (15:00);8.5 (23:20);12.9;36 (19:40);18 (19:50);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;18.1 (15:40);8.8 (23:59);13.5;46 (16:40);36 (16:40);0.1;0.1;0.0;0.0
Berga;Barcelona;12.9 (16:30);2.8 (23:59);7.8;39 (13:00);28 (13:00);2.8;2.8;0.0;0.0
Balsareny;Barcelona;14.4 (15:00);2.8 (23:59);8.6;39 (15:50);20 (11:20);0.6;0.6;0.0;0.0
Prats de Lluçanès;Barcelona;12.6 (16:30);0.6 (23:59);6.6;36 (12:40);21 (13:10);1.0;1.0;0.0;0.0
Moià;Barcelona;11.0 (15:50);2.8 (23:30);6.9;40 (17:00);23 (16:00);0.6;0.6;0.0;0.0
Manresa;Barcelona;14.6 (16:10);7.2 (23:59);10.9;45 (17:20);23 (18:30);0.2;0.2;0.0;0.0
Monistrol de Montserrat;Barcelona;10.4 (11:50);4.7 (23:30);7.5;;;1.0;0.8;0.0;0.0
Igualada;Barcelona;13.2 (14:50);7.4 (23:59);10.3;41 (18:30);17 (15:10);0.2;0.2;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;11.3 (11:50);4.7 (23:59);8.0;;;0.2;0.0;0.2;0.0
Barcelona;Barcelona;17.0 (15:50);11.3 (20:50);14.2;49 (19:00);36 (19:00);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;17.9 (16:00);11.3 (23:59);14.6;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;16.2 (15:20);5.2 (22:40);10.7;35 (12:20);23 (12:20);0.2;0.2;0.0;0.0
Vilassar de Dalt;Barcelona;18.0 (16:30);8.7 (23:30);13.3;38 (12:50);22 (13:30);0.2;0.2;0.0;0.0
Arenys de Mar;Barcelona;17.7 (13:10);7.0 (22:40);12.4;31 (14:00);12 (00:20);0.2;0.2;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;10.7 (15:30);3.1 (23:59);6.9;;;3.0;1.0;0.0;0.0
Blanes;Girona;17.7 (13:30);8.0 (22:40);12.9;58 (02:30);37 (01:40);1.8;0.4;0.0;0.0
Castell, Platja d'Aro;Girona;15.0 (11:00);5.1 (23:59);10.0;39 (00:50);16 (01:50);9.4;1.4;3.6;4.4
Sant Pau de Segúries;Girona;9.0 (14:50);2.2 (23:40);5.6;33 (03:50);15 (07:00);1.8;0.6;0.0;1.2
Planoles;Girona;7.3 (11:20);-0.3 (23:40);3.5;22 (00:40);14 (00:30);1.4;0.4;0.2;0.8
Ripoll;Girona;11.0 (15:20);2.9 (23:40);7.0;;;5.1;1.6;0.0;3.5
Tona;Barcelona;12.8 (16:50);3.3 (23:40);8.1;32 (13:30);16 (13:30);0.6;0.6;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;12.2 (15:40);0.8 (23:59);6.5;25 (17:30);12 (17:50);1.1;0.3;0.0;0.4
Les Planes d'Hostoles;Girona;15.2 (12:50);0.7 (23:59);7.9;40 (07:40);19 (07:50);0.2;0.0;0.0;0.2
Sant Hilari;Girona;10.9 (15:20);0.1 (22:40);5.5;39 (04:50);22 (07:50);4.0;0.0;0.0;2.2
Girona Aeropuerto;Girona;17.0 (12:50);3.4 (23:40);10.2;41 (02:20);28 (03:40);2.3;0.0;0.0;2.3
Girona;Girona;16.4 (12:50);5.5 (23:59);10.9;28 (02:20);12 (15:00);3.2;0.0;0.0;3.2
Porqueres;Girona;14.6 (12:40);3.3 (22:10);9.0;32 (00:50);16 (00:30);0.3;0.0;0.0;0.2
L'Estartit;Girona;14.8 (12:50);6.9 (23:40);10.9;38 (04:30);23 (03:00);10.0;0.0;0.0;10.0
La Vall de Bianya;Girona;13.5 (12:10);4.1 (23:40);8.8;31 (02:40);18 (03:00);0.6;0.0;0.0;0.6
Castelló d'Empúries;Girona;15.2 (13:10);4.1 (23:10);9.6;36 (14:30);21 (14:30);1.0;0.0;0.0;1.0
Maçanet de Cabrenys;Girona;11.3 (10:40);3.6 (21:20);7.5;31 (04:10);12 (04:10);4.6;0.2;0.0;4.2
Espolla;Girona;13.8 (11:00);4.2 (23:59);9.0;49 (13:40);26 (13:40);2.0;0.0;0.2;1.8
Figueres;Girona;13.7 (11:10);6.2 (23:50);9.9;34 (03:20);19 (03:20);0.4;0.0;0.0;0.4
Cabo de Creus;Girona;13.3 (00:20);9.2 (15:10);11.3;;63 (14:40);0.0;0.0;0.0;0.0
Baztan, Irurita;Navarra;14.1 (00:00);3.7 (08:40);8.9;35 (00:50);14 (00:50);14.6;4.4;0.2;2.0
Bera;Navarra;15.7 (00:10);4.8 (08:20);10.3;54 (01:00);22 (00:30);15.8;5.4;2.0;1.4
Irún;Gipuzkoa;15.1 (00:00);7.4 (20:20);11.3;71 (00:20);22 (00:30);18.2;6.4;1.6;0.8
San Sebastián Aeropuerto;Gipuzkoa;16.7 (00:00);8.4 (08:10);12.6;59 (17:00);39 (17:00);18.6;6.1;3.1;1.3
Renteria;Gipuzkoa;14.7 (00:00);5.2 (08:30);9.9;46 (00:20);23 (00:20);12.8;5.8;0.6;0.6
Segura - Lastala;Gipuzkoa;13.0 (00:00);3.6 (07:50);8.3;35 (15:10);12 (15:10);10.2;2.0;0.4;2.0
Beasain;Gipuzkoa;13.1 (00:00);3.2 (08:20);8.2;44 (01:20);20 (01:10);12.0;3.2;0.4;1.8
Ordizia;Gipuzkoa;13.0 (00:00);4.2 (07:50);8.6;53 (00:20);28 (00:20);8.8;1.6;0.4;1.8
Areso;Navarra;11.6 (00:00);2.5 (08:40);7.1;33 (00:40);12 (00:40);20.0;6.6;0.2;2.6
Legazpia;Gipuzkoa;10.6 (00:00);2.8 (07:50);6.7;;;20.8;4.6;1.2;3.2
Zumarraga;Gipuzkoa;10.3 (00:10);2.2 (08:20);6.3;50 (17:30);26 (01:40);21.6;7.4;0.8;2.3
Azpeitia;Gipuzkoa;13.3 (00:00);4.7 (08:20);9.0;39 (00:30);22 (00:30);14.0;4.2;0.2;2.8
Zumaia;Gipuzkoa;13.9 (12:50);9.1 (23:30);11.5;80 (00:10);56 (00:10);10.3;4.7;0.3;1.1
Aramaio;Araba/Álava;8.3 (00:00);1.4 (08:00);4.9;;;17.8;3.2;0.4;2.0
Aretxabaleta;Gipuzkoa;11.7 (00:00);3.0 (08:00);7.3;;;13.4;6.6;0.4;1.4
Elgeta;Gipuzkoa;10.6 (00:00);2.7 (07:40);6.7;35 (01:10);13 (01:10);25.4;8.4;0.8;5.0
Elgoibar;Gipuzkoa;10.8 (00:00);4.0 (08:30);7.4;50 (00:10);20 (00:10);15.8;6.4;0.7;3.7
Mutriku;Gipuzkoa;10.7 (12:30);7.5 (22:40);9.1;64 (16:10);37 (16:10);4.2;2.6;0.0;0.6
Forua;Bizkaia;12.1 (14:40);4.9 (08:10);8.5;50 (17:20);21 (23:50);15.2;7.0;0.4;2.4
Machichaco;Bizkaia;11.0 (11:40);7.9 (22:50);9.5;111 (13:00);73 (12:50);11.8;5.4;0.4;1.4
Punta Galea;Bizkaia;;;;75 (09:50);37 (17:00);10.9;0.5;0.7;5.3
Amurrio;Araba/Álava;12.3 (00:00);2.8 (07:20);7.6;39 (16:10);17 (00:20);12.0;1.6;0.0;1.0
Orozko;Bizkaia;11.6 (00:00);1.9 (07:40);6.8;32 (00:10);13 (00:10);18.4;4.2;0.6;2.2
Abadiño;Bizkaia;8.0 (12:50);1.1 (08:00);4.6;;;28.0;8.8;0.8;3.6
Amorebieta--Etxano;Bizkaia;12.0 (12:40);3.6 (07:40);7.8;49 (17:30);29 (17:30);17.2;5.4;1.0;5.0
Balmaseda;Bizkaia;10.4 (15:40);2.5 (07:50);6.4;;;19.8;6.2;0.6;3.4
Güeñes;Bizkaia;10.3 (15:40);3.2 (08:00);6.8;64 (16:00);40 (16:00);15.3;2.8;0.6;2.4
Bilbao Aeropuerto;Bizkaia;12.4 (16:30);4.6 (07:40);8.5;68 (16:40);42 (16:40);11.6;2.0;0.5;4.8
Sopuerta;Bizkaia;12.1 (12:10);5.0 (07:40);8.6;57 (13:00);24 (09:50);23.8;1.8;1.8;6.4
Castro Urdiales;Cantabria;12.1 (11:40);7.4 (09:50);9.8;71 (20:30);35 (09:40);20.0;0.5;2.6;6.4
Ramales de la Victoria;Cantabria;13.1 (14:50);3.4 (07:00);8.3;48 (15:10);17 (15:10);;2.4;0.4;
Barcena de Cicero, Treto;Cantabria;12.0 (11:20);7.6 (05:50);9.8;50 (15:10);22 (09:30);18.8;0.8;1.8;4.0
Soba, Alto Miera;Cantabria;6.1 (17:30);2.5 (05:50);4.3;55 (12:00);24 (13:40);20.2;5.2;0.4;0.8
Santander Aeropuerto;Cantabria;12.2 (14:10);8.0 (09:10);10.1;68 (11:40);40 (11:50);7.3;0.0;1.9;2.0
Santander;Cantabria;11.2 (11:20);8.2 (09:10);9.7;80 (09:10);57 (09:10);12.0;0.0;2.6;4.0
Villacarriedo;Cantabria;11.3 (17:20);2.7 (07:00);7.0;60 (15:20);30 (15:20);6.4;0.2;0.2;0.2
Los Tojos, Bárcena Mayor;Cantabria;10.6 (14:20);0.6 (06:30);5.6;43 (13:20);19 (13:20);5.2;0.8;0.0;0.0
San Felices de Buelna;Cantabria;12.3 (16:00);2.7 (06:20);7.5;63 (13:10);31 (13:10);8.6;0.2;0.8;0.4
Torrelavega, Sierrapando;Cantabria;12.3 (17:20);6.0 (06:40);9.2;78 (18:50);47 (11:30);5.8;0.0;0.2;0.2
San Vicente de la Barquera;Cantabria;12.4 (10:50);7.3 (06:00);9.8;71 (18:30);38 (12:40);7.3;0.0;0.3;0.9
Camaleño, Fuente De;Cantabria;3.3 (03:00);0.3 (20:30);1.8;41 (23:59);16 (23:40);12.2;0.2;2.4;6.2
Cillórigo de Liébana, Tama;Cantabria;10.3 (17:20);2.1 (06:00);6.2;21 (18:50);13 (17:00);4.2;0.0;0.0;2.6
Tresviso;Cantabria;4.9 (11:00);1.1 (14:10);3.0;68 (10:00);42 (10:10);8.6;0.0;1.0;3.4
Posada de Valdeón, Soto;León;3.6 (00:00);0.7 (19:50);2.1;;;21.6;0.0;4.0;11.0
Cabrales;Asturias;7.9 (10:50);4.0 (14:00);6.0;72 (10:00);44 (11:30);11.6;0.0;1.8;5.8
Llanes;Asturias;12.8 (10:40);8.8 (14:00);10.8;66 (10:50);34 (10:50);6.8;0.0;1.4;1.6
Amieva, Panizales;Asturias;8.3 (17:00);4.9 (05:10);6.6;26 (16:40);11 (16:40);16.8;0.0;4.8;7.8
Piloña, Bargaéu;Asturias;9.2 (16:20);5.2 (23:59);7.2;45 (06:40);19 (06:40);21.4;0.0;8.8;9.0
Colunga;Asturias;11.6 (16:10);7.7 (13:30);9.7;49 (10:50);23 (09:30);9.4;0.0;3.4;2.8
Gijón, Campus;Asturias;12.1 (16:40);7.4 (13:10);9.8;46 (17:50);21 (17:50);9.4;0.0;2.8;5.8
Cabo Peñas;Asturias;11.5 (15:50);6.5 (12:40);9.0;76 (06:00);46 (05:50);10.6;0.7;1.7;7.8
Asturias Aeropuerto;Asturias;11.0 (15:40);6.6 (11:30);8.8;65 (12:50);43 (17:50);19.4;0.0;11.9;4.6
Pajares-Valgrande;Asturias;1.7 (13:40);-1.8 (23:10);0.0;41 (23:50);19 (23:59);2.2;0.0;0.0;1.5
Lena, Ronzón;Asturias;11.1 (13:00);2.9 (04:20);7.0;35 (13:10);15 (13:10);1.6;0.0;0.2;1.2
Aller, Felechosa;Asturias;6.8 (13:40);0.8 (05:20);3.8;37 (13:50);17 (13:50);7.2;0.0;0.6;3.4
Mieres, Baiña;Asturias;11.3 (16:40);5.9 (23:59);8.6;40 (11:50);15 (06:30);5.4;0.0;0.6;3.0
Oviedo;Asturias;8.7 (16:30);5.4 (07:30);7.0;60 (06:10);33 (06:10);15.0;0.2;3.0;6.4
Tineo, Soutu;Asturias;9.4 (13:00);4.0 (23:59);6.7;35 (15:40);18 (15:40);6.4;1.2;2.2;2.0
Pola de Somiedo;Asturias;7.5 (15:20);1.7 (22:30);4.6;44 (13:40);16 (13:40);4.8;0.8;1.8;1.6
Salas, Camuño;Asturias;10.7 (16:00);5.8 (07:50);8.3;45 (00:10);26 (00:10);14.2;2.0;4.2;6.4
Cabo Busto;Asturias;11.8 (16:30);8.1 (06:20);10.0;108 (05:20);67 (05:30);4.6;0.2;1.6;2.0
Cervantes;Lugo;3.5 (15:40);0.1 (08:10);1.8;37 (05:30);13 (05:30);23.6;5.2;9.8;6.2
Degaña;Asturias;1.3 (13:10);-1.0 (04:50);0.1;;;;;;
Ibias, San Antolin;Asturias;6.4 (16:40);2.2 (11:10);4.3;50 (02:30);29 (07:50);11.6;2.2;6.4;2.6
Villayón, Oneta;Asturias;8.8 (17:00);4.4 (06:00);6.6;43 (15:00);26 (15:00);4.8;2.0;0.2;2.0
Castropol;Asturias;13.4 (16:00);7.0 (06:00);10.2;41 (12:30);19 (12:30);6.0;3.5;0.4;0.9
Taramundi, Ouria;Asturias;10.3 (16:30);5.1 (22:50);7.7;48 (00:40);26 (00:40);3.6;1.2;0.8;1.4
Ribadeo;Lugo;13.2 (15:40);7.1 (07:50);10.1;42 (12:20);30 (09:00);5.6;3.4;0.2;0.6
Mondoñedo;Lugo;12.5 (16:00);5.8 (08:00);9.2;;;7.2;3.2;2.0;2.0
Burela;Lugo;13.3 (15:20);7.0 (04:40);10.2;;;6.6;4.4;0.8;1.4
Estaca de Bares;A Coruña;12.1 (16:10);6.3 (04:20);9.2;102 (04:10);73 (06:40);3.6;2.6;0.8;0.2
Ferrol;A Coruña;14.1 (13:10);7.1 (23:10);10.6;32 (16:40);14 (16:40);4.8;1.4;1.9;1.2
As Pontes;A Coruña;11.1 (15:50);5.1 (23:59);8.1;;;12.4;6.4;3.0;1.8
A Coruña;A Coruña;13.8 (14:50);9.2 (03:30);11.5;66 (11:30);35 (11:30);5.0;1.4;2.6;0.8
A Coruña Bens;A Coruña;12.6 (15:50);8.1 (03:10);10.4;49 (06:50);36 (01:00);4.8;2.4;1.6;0.8
A Coruña Aeropuerto;A Coruña;12.8 (12:30);6.3 (23:40);9.6;54 (12:10);31 (12:10);2.5;1.4;1.1;0.0
Carballo, Depuradora;A Coruña;12.9 (16:50);3.7 (23:40);8.3;;;5.4;1.4;1.8;2.2
Cabo Vilán;A Coruña;13.6 (13:50);8.5 (05:20);11.1;61 (05:10);43 (05:10);1.3;0.8;0.1;0.4
Vimianzo;A Coruña;11.9 (13:30);3.3 (23:59);7.6;;;1.8;1.8;0.0;0.0
Fisterra;A Coruña;11.6 (14:10);8.1 (08:50);9.9;55 (01:30);31 (03:40);0.2;0.0;0.2;0.0
Mazaricos;A Coruña;11.1 (14:30);5.9 (03:00);8.5;;;4.0;2.2;1.6;0.2
Sobrado;A Coruña;11.4 (15:50);-0.5 (23:59);5.4;;;4.8;0.6;3.6;0.0
Santiago de Compostela Aeropuerto;A Coruña;10.9 (13:10);3.8 (23:59);7.3;61 (14:10);35 (14:10);3.5;0.4;1.8;1.2
Noia;A Coruña;12.8 (14:50);5.8 (23:59);9.3;20 (14:30);7 (15:30);1.6;0.8;0.6;0.2
Monte Iroite;A Coruña;;;;;;14.4;4.6;8.5;1.3
Boiro;A Coruña;13.7 (12:50);5.1 (23:30);9.4;;;7.4;2.0;5.2;0.2
Monterroso;Lugo;9.6 (16:00);3.1 (03:40);6.4;;;4.0;0.2;3.2;0.6
Silleda;Pontevedra;11.2 (16:40);4.1 (05:10);7.6;33 (14:00);15 (14:40);6.6;0.4;1.0;5.2
A Estrada;Pontevedra;12.6 (13:40);4.2 (02:30);8.4;;;2.2;0.4;0.2;1.6
Padrón;A Coruña;14.2 (14:10);4.1 (23:50);9.1;19 (13:50);10 (23:59);0.4;0.2;0.1;0.0
Santiago de Compostela;A Coruña;12.2 (13:00);4.7 (04:50);8.4;23 (17:10);8 (13:20);3.9;0.7;1.4;1.8
Rois, Casas do Porto;A Coruña;13.0 (17:00);5.7 (08:30);9.3;;;4.0;1.2;0.6;2.2
Vilagarcía de Arousa;Pontevedra;14.2 (15:30);6.5 (23:59);10.3;39 (16:00);23 (02:40);9.6;3.2;6.0;0.4
Pontevedra;Pontevedra;13.4 (15:30);5.6 (05:40);9.5;41 (16:40);21 (16:40);7.2;2.4;4.2;0.6
A Lama;Pontevedra;11.4 (16:10);1.2 (23:59);6.3;36 (14:20);19 (15:00);9.6;2.4;4.2;3.0
Vigo Aeropuerto;Pontevedra;11.9 (17:20);4.8 (05:40);8.3;45 (16:20);30 (16:20);4.8;1.3;2.4;1.1
Vigo;Pontevedra;13.2 (14:20);7.2 (06:30);10.2;35 (13:30);13 (13:30);5.0;0.8;3.2;1.0
Lugo Aeropuerto;Lugo;10.6 (17:10);1.7 (23:59);6.2;36 (14:50);16 (12:00);7.2;1.6;3.6;2.0
Lugo;Lugo;11.3 (17:20);2.6 (23:50);7.0;32 (15:10);13 (15:10);7.4;0.2;5.0;2.2
O Páramo;Lugo;12.2 (15:20);2.3 (23:59);7.2;;;1.6;0.2;1.0;0.4
Becerreá;Lugo;2.8 (15:20);0.0 (09:10);1.4;41 (11:10);23 (13:30);20.2;1.6;6.0;10.8
O Saviñao;Lugo;;;;;;;;;
Villablino;León;5.0 (13:50);0.5 (07:10);2.8;41 (03:40);20 (03:10);11.4;1.4;7.0;2.8
Puerto de Leitariegos;Asturias;0.9 (14:50);-2.6 (04:50);-0.8;50 (14:10);31 (17:40);;;;
Ponferrada;León;7.9 (17:50);3.3 (23:59);5.6;36 (01:30);16 (14:50);6.0;2.0;1.0;3.0
Vega de Espinareda;León;7.4 (17:20);0.5 (02:20);4.0;;;11.4;3.8;4.4;3.2
O Barco de Valdeorras;Ourense;10.7 (15:20);3.8 (23:59);7.2;;;2.0;0.0;1.2;0.8
A Pobra de Trives;Ourense;8.1 (15:00);1.8 (06:50);5.0;40 (17:50);20 (17:50);6.6;1.4;2.2;3.0
Chandrexa de Queixa;Ourense;5.4 (15:30);1.1 (01:10);3.3;39 (15:50);18 (15:50);6.2;1.8;0.8;3.6
Folgoso do Courel;Lugo;;;;;;;1.2;3.8;3.2
Monforte de Lemos;Lugo;12.8 (14:20);0.9 (23:59);6.9;37 (14:50);12 (14:40);3.2;0.0;1.6;1.6
Ourense;Ourense;13.9 (14:20);3.6 (23:59);8.7;40 (15:10);12 (14:20);5.4;1.8;0.2;3.4
Beariz;Ourense;10.8 (15:30);-0.5 (23:59);5.2;;;4.8;1.6;1.0;2.2
O Carballiño;Ourense;12.4 (15:30);1.4 (09:10);6.9;27 (15:40);11 (15:40);1.5;0.6;0.4;0.4
Ribadavia;Ourense;12.4 (14:20);4.2 (07:10);8.3;26 (13:30);15 (01:20);4.0;2.0;0.8;1.2
Allariz;Ourense;10.9 (14:50);1.6 (23:59);6.2;;;6.2;4.2;0.4;1.6
A Cañiza;Pontevedra;10.8 (17:00);3.1 (23:59);7.0;;;8.6;2.6;3.8;2.2
Ponteareas, Canedo;Pontevedra;14.5 (16:30);3.6 (23:50);9.0;;;3.8;0.6;2.4;0.8
O Rosal;Pontevedra;14.4 (13:00);6.7 (23:40);10.5;;;1.8;0.0;0.6;0.6
Xinzo de Limia;Ourense;8.0 (15:20);-0.7 (04:40);3.7;41 (14:00);20 (15:20);5.8;4.0;1.0;0.7
Muiños;Ourense;7.9 (17:20);1.7 (23:59);4.8;;;5.6;3.2;1.6;0.8
Santillana del Mar, Altamira;Cantabria;11.8 (16:20);6.0 (06:40);8.9;48 (11:20);20 (11:20);7.0;0.0;0.2;0.6
Vinuesa, Quintanarejo;Soria;4.7 (15:00);-2.1 (22:30);1.3;;;3.2;2.6;0.0;0.6
La Póveda de Soria, Barriomartín;Soria;6.3 (15:20);-1.3 (08:10);2.5;42 (14:30);25 (23:59);1.2;1.2;0.0;0.0
Soria;Soria;8.2 (15:00);0.5 (23:40);4.3;44 (10:40);23 (01:00);1.6;0.6;0.0;1.0
Lubia;Soria;7.4 (17:10);0.2 (23:40);3.8;55 (13:10);33 (17:50);1.8;1.6;0.0;0.2
Morón de Almazán;Soria;8.2 (15:30);-2.2 (22:00);3.0;58 (16:40);35 (18:20);1.6;1.4;0.2;0.0
La Riba de Escalote;Soria;7.4 (15:40);1.3 (23:59);4.4;67 (12:20);51 (12:20);0.6;0.4;0.0;0.0
