Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;16.4 (17:10);9.0 (04:40);12.7;68 (11:10);41 (11:10);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;18.7 (17:20);8.9 (03:20);13.8;61 (20:50);43 (21:10);0.0;0.0;0.0;0.0
Valls;Tarragona;16.2 (19:10);9.6 (04:20);12.9;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;17.5 (15:50);10.0 (07:10);13.8;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;13.4 (16:50);5.4 (02:20);9.4;60 (11:40);40 (19:10);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;17.5 (16:40);6.1 (02:20);11.8;28 (13:00);13 (13:10);0.0;0.0;0.0;0.0
Sitges;Barcelona;15.3 (15:50);7.1 (02:30);11.2;22 (11:10);9 (17:40);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;15.9 (15:40);8.2 (02:30);12.0;35 (16:50);26 (17:20);0.0;0.0;0.0;0.0
Berga;Barcelona;10.8 (16:50);1.7 (07:40);6.3;19 (20:20);10 (20:20);0.0;0.0;0.0;0.0
Balsareny;Barcelona;13.9 (16:50);1.9 (05:30);7.9;19 (15:00);12 (19:10);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;11.1 (16:30);1.2 (00:00);6.2;19 (16:10);13 (15:20);0.0;0.0;0.0;0.0
Moià;Barcelona;11.1 (16:30);3.3 (05:20);7.2;26 (16:00);16 (15:50);0.0;0.0;0.0;0.0
Manresa;Barcelona;15.0 (17:00);3.8 (07:50);9.4;30 (16:40);15 (16:40);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;10.4 (17:40);3.1 (09:40);6.7;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;15.3 (16:50);7.2 (06:10);11.3;33 (14:10);12 (14:10);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;12.5 (16:50);4.9 (05:20);8.7;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;16.3 (15:40);8.9 (05:20);12.6;36 (14:50);21 (16:00);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;16.6 (15:40);10.3 (02:00);13.5;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;15.9 (16:40);3.8 (02:40);9.8;38 (14:00);25 (14:00);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;17.5 (16:00);7.8 (03:10);12.7;28 (13:20);15 (13:20);0.0;0.0;0.0;0.0
