Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;15.5 (13:40);2.2 (23:59);8.9;29 (10:20);17 (10:20);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;16.2 (12:50);2.8 (07:40);9.5;26 (14:30);16 (14:50);0.0;0.0;0.0;0.0
Valls;Tarragona;16.2 (14:20);0.9 (08:20);8.6;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;15.6 (12:40);6.1 (04:20);10.9;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;14.3 (14:20);1.1 (01:40);7.7;22 (16:40);16 (16:40);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;15.5 (14:40);0.7 (07:30);8.1;20 (16:00);12 (16:00);0.0;0.0;0.0;0.0
Sitges;Barcelona;14.5 (13:50);6.1 (06:40);10.3;18 (15:10);8 (12:00);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;15.1 (12:30);4.9 (08:00);10.0;28 (15:30);22 (16:10);0.0;0.0;0.0;0.0
Berga;Barcelona;15.2 (16:00);0.2 (07:40);7.7;18 (14:20);12 (14:20);0.0;0.0;0.0;0.0
Balsareny;Barcelona;17.2 (16:20);-3.7 (08:00);6.8;21 (18:30);14 (18:00);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;15.9 (16:10);-2.7 (07:10);6.6;15 (15:20);6 (01:00);0.0;0.0;0.0;0.0
Moià;Barcelona;15.1 (14:30);2.6 (07:20);8.9;19 (15:20);12 (13:20);0.0;0.0;0.0;0.0
Manresa;Barcelona;17.1 (16:20);-1.9 (08:50);7.6;23 (18:00);12 (18:20);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;11.1 (15:00);4.3 (05:10);7.7;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;17.1 (15:20);-1.0 (07:50);8.1;16 (16:50);9 (17:00);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;13.4 (15:00);4.2 (06:30);8.8;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;13.9 (13:00);6.0 (08:00);9.9;26 (15:00);22 (15:10);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;15.4 (14:20);7.8 (08:10);11.6;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;16.4 (15:20);-0.1 (07:50);8.1;21 (16:20);14 (16:20);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;15.2 (13:50);6.2 (02:50);10.7;22 (15:40);13 (13:10);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;15.4 (11:40);5.1 (05:00);10.2;23 (13:00);12 (12:40);0.0;0.0;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;13.7 (13:10);4.1 (07:50);8.9;;;0.0;0.0;0.0;0.0
Blanes;Girona;16.9 (13:10);7.4 (07:50);12.1;31 (18:10);19 (17:10);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;15.3 (13:00);0.9 (07:50);8.1;29 (15:30);18 (15:10);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;14.9 (13:50);-4.7 (07:10);5.1;15 (14:10);8 (15:40);0.0;0.0;0.0;0.0
Planoles;Girona;15.8 (14:40);0.5 (08:10);8.2;24 (15:20);14 (14:50);0.0;0.0;0.0;0.0
Ripoll;Girona;16.5 (14:30);-3.2 (07:50);6.6;;;0.0;0.0;0.0;0.0
Tona;Barcelona;14.9 (14:10);-2.2 (07:30);6.3;23 (17:00);13 (16:10);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;;;;;;;0.0;0.0;0.0
