Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;21.1 (13:10);6.0 (07:00);13.6;;;;;0.0;0.0
Reus Aeropuerto;Tarragona;18.7 (14:40);5.0 (07:40);11.9;22 (15:10);15 (01:50);0.0;0.0;0.0;0.0
Valls;Tarragona;21.3 (14:00);5.1 (08:00);13.2;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;18.2 (14:40);8.5 (08:10);13.4;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;21.9 (14:40);5.4 (03:20);13.6;35 (12:50);22 (12:50);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;21.0 (13:20);3.7 (07:50);12.4;29 (15:10);17 (15:20);0.0;0.0;0.0;0.0
Sitges;Barcelona;17.1 (16:10);8.5 (05:50);12.8;31 (23:10);16 (23:10);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;17.1 (16:40);8.6 (06:20);12.9;45 (13:20);34 (13:40);0.0;0.0;0.0;0.0
Berga;Barcelona;21.0 (15:50);3.8 (07:20);12.4;28 (14:30);20 (15:40);0.0;0.0;0.0;0.0
Balsareny;Barcelona;23.5 (15:30);0.4 (07:50);12.0;33 (14:30);21 (14:30);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;21.4 (16:20);0.8 (07:50);11.1;30 (14:30);17 (14:30);0.0;0.0;0.0;0.0
Moià;Barcelona;20.8 (15:40);7.9 (04:20);14.3;31 (13:40);19 (13:40);0.0;0.0;0.0;0.0
Manresa;Barcelona;24.4 (16:40);2.1 (08:50);13.2;24 (15:40);13 (15:40);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;18.8 (14:30);10.9 (23:50);14.8;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;23.0 (16:00);3.5 (07:50);13.3;21 (14:30);8 (14:40);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;19.3 (14:40);8.7 (23:30);14.0;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;17.7 (16:00);9.7 (07:40);13.7;39 (16:50);23 (16:50);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;18.6 (16:20);9.5 (07:50);14.1;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;24.2 (15:00);3.3 (07:30);13.8;31 (13:20);19 (15:30);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;17.9 (12:10);9.3 (05:00);13.6;37 (14:30);24 (14:30);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;18.3 (13:20);7.6 (05:30);12.9;34 (14:00);15 (14:10);0.0;0.0;0.0;0.0
Fogars de Montclús;Barcelona;21.5 (15:00);8.7 (07:20);15.1;;;0.0;0.0;0.0;0.0
Blanes;Girona;16.4 (13:00);9.7 (06:30);13.0;54 (13:10);24 (13:50);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;21.6 (13:40);4.3 (07:30);13.0;38 (12:30);19 (12:30);0.0;0.0;0.0;0.0
