Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;18.4 (16:00);8.3 (05:40);13.3;63 (06:00);37 (09:40);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;20.8 (16:20);6.2 (01:30);13.5;68 (14:50);52 (14:50);0.0;0.0;0.0;0.0
Valls;Tarragona;19.4 (15:00);5.2 (00:00);12.3;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;22.3 (15:00);6.8 (01:20);14.5;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;16.4 (17:00);5.5 (07:30);10.9;61 (15:00);41 (14:30);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;21.0 (15:00);3.1 (08:10);12.0;40 (15:30);18 (15:50);0.0;0.0;0.0;0.0
Sitges;Barcelona;21.9 (15:40);6.9 (02:50);14.4;28 (16:20);16 (16:20);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;20.8 (18:00);7.2 (06:10);14.0;45 (19:50);35 (19:40);0.0;0.0;0.0;0.0
Berga;Barcelona;16.2 (16:10);0.9 (08:00);8.6;23 (15:20);11 (14:40);0.0;0.0;0.0;0.0
Balsareny;Barcelona;19.4 (16:50);-1.3 (08:00);9.0;38 (17:40);21 (18:00);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;17.0 (17:20);-0.5 (07:10);8.3;27 (14:00);14 (15:20);0.0;0.0;0.0;0.0
Moià;Barcelona;15.4 (16:50);2.6 (07:50);9.0;33 (15:50);19 (15:50);0.0;0.0;0.0;0.0
Manresa;Barcelona;19.5 (17:40);1.3 (08:50);10.4;46 (17:50);26 (18:00);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;15.0 (16:30);2.7 (07:00);8.9;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;18.2 (17:10);3.1 (02:00);10.7;35 (14:30);13 (12:00);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;16.1 (14:30);4.7 (05:00);10.4;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;17.9 (17:10);8.5 (07:50);13.2;42 (19:20);34 (19:30);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;19.3 (16:30);9.3 (08:10);14.3;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;20.7 (15:50);3.0 (06:50);11.9;29 (12:40);18 (12:50);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;20.7 (14:10);7.4 (02:00);14.1;34 (15:10);17 (15:00);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;18.5 (13:50);5.8 (06:40);12.2;22 (14:20);12 (14:20);0.0;0.0;0.0;0.0
Fogars de Montclús;Barcelona;;;;;;;0.0;0.0;
Blanes;Girona;18.0 (14:00);7.6 (04:20);12.8;25 (08:30);17 (03:20);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;18.0 (14:50);3.4 (07:20);10.7;21 (16:40);13 (10:00);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;14.6 (14:30);-1.6 (08:20);6.5;32 (21:00);13 (17:50);0.0;0.0;0.0;0.0
Planoles;Girona;15.2 (14:20);0.6 (05:30);7.9;100 (16:00);40 (16:50);0.0;0.0;0.0;0.0
Ripoll;Girona;18.2 (17:10);-0.3 (08:40);9.0;;;0.0;0.0;0.0;0.0
Tona;Barcelona;17.1 (17:10);-0.5 (07:50);8.3;26 (14:20);13 (14:30);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;16.2 (16:50);-1.2 (08:10);7.5;25 (20:50);12 (19:40);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;19.0 (16:00);-0.8 (07:40);9.1;24 (12:50);12 (14:00);0.0;0.0;0.0;0.0
Sant Hilari;Girona;15.9 (16:30);-0.6 (07:10);7.6;29 (14:20);15 (14:20);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;19.6 (15:10);0.2 (07:50);9.9;28 (14:00);18 (17:20);0.0;0.0;0.0;0.0
Girona;Girona;20.8 (16:10);3.5 (07:00);12.1;20 (17:00);9 (17:40);0.0;0.0;0.0;0.0
Porqueres;Girona;19.4 (15:50);2.3 (07:30);10.8;24 (13:20);14 (13:20);0.0;0.0;0.0;0.0
L'Estartit;Girona;16.3 (11:40);4.9 (06:30);10.6;46 (23:30);22 (22:40);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;18.3 (16:00);-0.1 (08:00);9.1;45 (18:00);19 (18:40);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;19.4 (14:50);1.7 (08:00);10.5;67 (22:20);41 (23:30);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;18.5 (15:30);3.2 (05:30);10.9;46 (22:10);22 (21:10);0.0;0.0;0.0;0.0
Espolla;Girona;20.0 (15:20);4.2 (06:40);12.1;106 (23:20);57 (23:20);0.0;0.0;0.0;0.0
Figueres;Girona;20.0 (15:10);5.3 (07:50);12.7;54 (22:10);26 (21:10);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;18.3 (12:40);11.6 (02:10);14.9;;98 (23:00);0.0;0.0;0.0;0.0
Baztan, Irurita;Navarra;13.6 (15:10);5.5 (04:10);9.6;28 (17:30);12 (13:50);3.0;0.0;2.8;0.0
Bera;Navarra;13.7 (13:00);4.3 (02:20);9.0;29 (11:50);13 (17:20);4.0;0.0;3.8;0.0
Irún;Gipuzkoa;12.8 (14:50);9.7 (06:50);11.3;44 (08:00);19 (13:10);5.0;0.0;5.0;0.0
San Sebastián Aeropuerto;Gipuzkoa;14.7 (12:30);10.2 (01:10);12.4;42 (07:30);23 (08:00);6.1;0.0;6.1;0.0
Renteria;Gipuzkoa;12.6 (12:20);5.7 (03:10);9.2;34 (13:10);17 (13:50);3.4;0.0;3.0;0.4
Segura - Lastala;Gipuzkoa;14.8 (14:00);6.0 (05:00);10.4;34 (15:30);12 (15:40);0.8;0.0;0.8;0.0
Beasain;Gipuzkoa;14.5 (14:50);6.2 (04:10);10.3;37 (15:00);19 (14:30);0.8;0.0;0.8;0.0
Ordizia;Gipuzkoa;13.3 (14:40);6.4 (04:20);9.9;33 (18:10);14 (17:00);0.8;0.0;0.8;0.0
Areso;Navarra;10.9 (13:00);4.6 (02:30);7.7;29 (13:10);9 (13:10);0.6;0.0;0.2;0.4
Legazpia;Gipuzkoa;11.7 (14:10);4.3 (02:40);8.0;;;1.0;0.0;1.0;0.0
Zumarraga;Gipuzkoa;10.9 (14:30);4.2 (03:40);7.5;45 (15:40);27 (16:40);1.6;0.0;1.6;0.0
Azpeitia;Gipuzkoa;13.7 (13:10);6.0 (02:50);9.8;35 (13:00);18 (13:10);1.4;0.0;1.4;0.0
Zumaia;Gipuzkoa;15.7 (12:40);9.3 (00:00);12.5;49 (13:10);35 (13:10);1.2;0.0;1.2;0.0
Aramaio;Araba/Álava;10.4 (14:50);4.8 (02:30);7.6;;;1.2;0.0;1.2;0.0
Aretxabaleta;Gipuzkoa;13.8 (14:10);5.3 (03:40);9.6;;;1.2;0.0;1.2;0.0
Elgeta;Gipuzkoa;11.6 (15:20);5.8 (02:20);8.7;29 (16:40);12 (09:50);2.4;0.0;2.2;0.2
Elgoibar;Gipuzkoa;;;;;;;0.0;0.5;
Mutriku;Gipuzkoa;13.5 (12:50);9.3 (22:50);11.4;45 (12:40);26 (01:20);0.2;0.0;0.0;0.2
Forua;Bizkaia;14.6 (13:50);7.1 (02:10);10.9;38 (13:30);25 (13:30);2.2;0.0;2.2;0.0
Machichaco;Bizkaia;12.6 (00:00);10.2 (07:30);11.4;77 (06:40);60 (06:20);1.8;0.0;1.8;0.0
Punta Galea;Bizkaia;13.8 (13:00);10.4 (07:30);12.1;42 (06:20);28 (09:30);0.3;0.0;0.3;0.0
