Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;14.4 (15:50);3.8 (06:10);9.1;50 (02:30);29 (02:40);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;17.5 (14:20);0.4 (07:30);9.0;42 (01:30);30 (01:30);0.0;0.0;0.0;0.0
Valls;Tarragona;15.9 (15:10);4.4 (01:20);10.1;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;18.9 (15:50);4.2 (05:20);11.5;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;14.2 (14:10);1.6 (00:50);7.9;36 (03:10);26 (06:10);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;18.2 (15:50);1.6 (06:40);9.9;18 (09:00);10 (10:00);0.0;0.0;0.0;0.0
Sitges;Barcelona;15.0 (15:50);5.4 (01:50);10.2;33 (07:20);17 (07:30);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;15.5 (16:30);6.8 (01:40);11.2;37 (16:40);26 (16:40);0.0;0.0;0.0;0.0
Berga;Barcelona;12.1 (14:50);0.1 (08:10);6.1;25 (15:00);15 (15:00);0.0;0.0;0.0;0.0
Balsareny;Barcelona;14.7 (15:50);1.3 (23:50);8.0;21 (16:40);12 (05:20);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;12.9 (15:20);1.0 (23:20);6.9;20 (16:30);10 (16:30);0.0;0.0;0.0;0.0
Moià;Barcelona;12.3 (15:20);2.2 (08:40);7.3;20 (17:20);13 (12:00);0.0;0.0;0.0;0.0
Manresa;Barcelona;14.4 (15:50);4.4 (09:10);9.4;30 (16:00);18 (16:00);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;9.9 (16:20);1.5 (07:00);5.7;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;13.9 (16:30);4.1 (08:30);9.0;25 (14:40);10 (14:20);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;11.6 (15:50);1.6 (06:50);6.6;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;14.7 (17:20);7.9 (07:40);11.3;30 (15:20);24 (15:40);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;16.2 (13:50);8.1 (07:30);12.2;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;18.0 (15:00);2.3 (07:30);10.1;24 (16:20);16 (15:20);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;15.9 (13:20);7.5 (00:40);11.7;26 (08:10);12 (08:20);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;15.4 (14:00);5.3 (07:40);10.3;18 (16:20);7 (08:00);0.0;0.0;0.0;0.0
Fogars de Montclús;Barcelona;14.3 (14:30);1.3 (06:30);7.8;;;0.0;0.0;0.0;0.0
Blanes;Girona;16.2 (14:10);7.4 (07:30);11.8;25 (08:10);16 (08:00);0.2;0.0;0.2;0.0
Castell, Platja d'Aro;Girona;14.8 (14:40);3.2 (07:50);9.0;18 (14:30);9 (15:40);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;12.8 (15:10);-0.5 (08:30);6.2;30 (13:30);12 (13:00);0.0;0.0;0.0;0.0
Planoles;Girona;12.4 (14:40);-2.2 (05:40);5.1;27 (15:20);17 (13:50);0.0;0.0;0.0;0.0
Ripoll;Girona;13.7 (15:10);0.0 (09:00);6.8;;;0.0;0.0;0.0;0.0
Tona;Barcelona;14.5 (15:30);2.8 (23:59);8.6;22 (15:10);12 (14:20);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;14.1 (16:30);1.7 (23:59);7.9;17 (16:40);10 (15:40);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;16.5 (15:30);0.5 (08:40);8.5;13 (14:40);6 (14:40);0.0;0.0;0.0;0.0
Sant Hilari;Girona;13.8 (15:40);2.0 (08:00);7.9;23 (04:50);14 (05:00);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;17.3 (16:10);2.9 (08:10);10.1;24 (17:00);18 (17:00);0.0;0.0;0.0;0.0
Girona;Girona;18.3 (16:00);4.4 (07:20);11.3;18 (17:40);9 (17:20);0.0;0.0;0.0;0.0
Porqueres;Girona;16.7 (15:30);0.8 (07:30);8.8;13 (13:20);9 (19:40);0.0;0.0;0.0;0.0
L'Estartit;Girona;14.2 (12:10);4.1 (07:20);9.1;22 (17:20);16 (17:20);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;15.3 (15:50);0.6 (08:30);8.0;20 (14:00);11 (13:40);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;16.3 (13:30);0.9 (08:00);8.6;41 (00:20);18 (00:10);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;16.8 (14:50);0.3 (03:50);8.5;17 (14:20);10 (17:30);0.0;0.0;0.0;0.0
Espolla;Girona;18.3 (15:00);1.7 (08:00);10.0;60 (00:20);26 (00:20);0.0;0.0;0.0;0.0
Figueres;Girona;18.1 (14:50);2.8 (08:10);10.5;22 (16:30);10 (16:30);0.0;0.0;0.0;0.0
Cabo de Creus;Girona;15.5 (14:40);9.9 (08:10);12.7;;57 (00:10);0.0;0.0;0.0;0.0
Baztan, Irurita;Navarra;11.3 (16:40);0.1 (01:40);5.7;5 (22:30);3 (09:40);2.6;0.0;1.2;1.2
Bera;Navarra;13.0 (15:40);1.7 (01:30);7.4;16 (18:30);7 (16:00);1.0;0.0;1.0;0.0
Irún;Gipuzkoa;12.1 (15:20);6.2 (02:10);9.2;28 (11:00);15 (08:00);0.4;0.0;0.0;0.4
San Sebastián Aeropuerto;Gipuzkoa;14.0 (17:20);6.9 (01:00);10.5;35 (17:50);19 (16:20);0.6;0.0;0.1;0.5
Renteria;Gipuzkoa;11.8 (15:20);2.9 (01:20);7.4;12 (16:10);8 (16:10);3.8;0.2;1.8;1.8
