Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;12.5 (00:00);5.8 (23:59);9.2;42 (20:40);24 (20:40);0.4;0.0;0.0;0.4
Reus Aeropuerto;Tarragona;11.9 (12:30);6.5 (23:10);9.2;48 (10:10);33 (11:10);0.0;0.0;0.0;0.0
Valls;Tarragona;10.4 (07:50);6.5 (23:59);8.4;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;13.1 (11:20);7.3 (23:59);10.2;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;10.2 (00:10);2.3 (23:59);6.2;40 (20:40);26 (15:30);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;12.0 (12:10);5.3 (23:59);8.7;17 (14:40);8 (14:40);0.0;0.0;0.0;0.0
Sitges;Barcelona;13.5 (00:10);6.2 (23:59);9.8;21 (00:40);10 (16:40);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;13.6 (11:00);8.1 (23:59);10.9;71 (20:10);21 (15:20);0.1;0.0;0.0;0.1
Berga;Barcelona;9.2 (00:10);3.9 (23:59);6.5;12 (16:00);8 (00:20);5.4;0.0;0.2;5.2
Balsareny;Barcelona;9.1 (08:30);4.7 (02:30);6.9;18 (09:10);9 (20:20);1.0;0.0;0.0;1.0
Prats de Lluçanès;Barcelona;8.4 (07:00);4.9 (01:20);6.6;14 (17:10);9 (17:10);4.6;0.0;0.0;4.6
Moià;Barcelona;9.2 (00:00);4.3 (23:00);6.8;17 (13:30);10 (10:50);1.8;0.0;0.0;1.8
Manresa;Barcelona;10.2 (00:00);7.4 (04:10);8.8;26 (08:40);17 (08:40);2.0;0.0;0.0;1.8
Monistrol de Montserrat;Barcelona;10.9 (00:00);3.9 (23:10);7.4;;;1.0;0.0;0.0;1.0
Igualada;Barcelona;10.3 (06:40);5.8 (23:59);8.1;28 (14:00);9 (14:00);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;8.9 (00:00);4.0 (23:59);6.4;;;0.2;0.0;0.0;0.2
Barcelona;Barcelona;13.7 (12:20);10.2 (23:20);11.9;24 (14:40);14 (06:10);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;13.7 (00:00);10.6 (23:40);12.2;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;11.2 (12:40);6.6 (21:20);8.9;21 (19:00);13 (19:00);0.6;0.0;0.0;0.6
Vilassar de Dalt;Barcelona;13.1 (11:30);8.2 (22:30);10.7;14 (15:30);8 (15:30);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;13.3 (11:10);7.3 (23:59);10.3;17 (14:00);10 (14:20);0.7;0.0;0.0;0.6
Fogars de Montclús;Barcelona;10.4 (00:00);2.9 (22:20);6.6;;;1.4;0.0;0.0;1.4
Blanes;Girona;12.5 (02:10);7.9 (23:10);10.2;30 (14:00);18 (01:50);0.4;0.0;0.0;0.4
Castell, Platja d'Aro;Girona;12.7 (03:00);6.0 (23:59);9.3;61 (06:30);27 (06:40);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;6.4 (08:00);1.6 (23:59);4.0;13 (13:20);7 (13:20);10.2;0.0;2.0;8.2
Planoles;Girona;8.4 (07:10);-0.5 (23:59);3.9;27 (20:10);15 (14:20);7.0;0.0;3.8;3.2
Ripoll;Girona;8.0 (11:50);4.0 (23:59);6.0;;;5.2;0.0;0.5;4.7
Tona;Barcelona;9.5 (12:00);5.4 (03:10);7.5;15 (14:20);8 (14:30);0.6;0.0;0.0;0.6
Sant Julià  de Vilatorta;Barcelona;8.7 (09:50);5.2 (03:10);6.9;17 (17:40);9 (15:10);4.2;0.0;0.0;4.1
Les Planes d'Hostoles;Girona;9.4 (12:10);3.1 (02:10);6.2;11 (12:10);4 (12:20);5.0;0.0;0.0;5.0
Sant Hilari;Girona;8.3 (06:20);2.5 (23:20);5.4;26 (17:40);13 (07:40);1.0;0.0;0.0;1.0
Girona Aeropuerto;Girona;10.7 (11:00);4.9 (22:30);7.8;35 (12:40);24 (12:40);1.3;0.0;0.0;1.3
Girona;Girona;11.2 (10:30);6.5 (23:00);8.8;24 (12:10);11 (12:10);0.8;0.0;0.0;0.8
Porqueres;Girona;10.2 (11:40);2.7 (23:40);6.4;17 (12:20);9 (12:20);2.6;0.0;0.0;2.6
L'Estartit;Girona;12.8 (05:00);8.9 (23:10);10.8;30 (06:30);14 (12:10);0.2;0.0;0.0;0.2
La Vall de Bianya;Girona;9.1 (10:10);4.5 (01:20);6.8;13 (12:50);8 (12:50);6.8;0.0;0.4;6.4
