Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;18.4 (16:30);6.4 (04:50);12.4;72 (00:40);44 (00:40);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;22.0 (16:00);3.1 (08:30);12.5;46 (03:00);36 (03:20);0.0;0.0;0.0;0.0
Valls;Tarragona;19.8 (14:20);8.9 (23:59);14.3;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;19.4 (13:30);7.2 (06:30);13.3;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;19.5 (16:50);6.0 (01:00);12.8;57 (06:40);30 (06:10);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;20.0 (15:10);3.3 (05:40);11.6;24 (01:20);12 (01:20);0.0;0.0;0.0;0.0
Sitges;Barcelona;17.2 (14:30);7.6 (22:40);12.4;32 (05:00);13 (04:40);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;18.7 (13:30);8.4 (22:00);13.6;41 (09:00);33 (09:10);0.0;0.0;0.0;0.0
Berga;Barcelona;16.4 (15:50);-0.2 (07:40);8.1;31 (22:20);15 (22:20);0.0;0.0;0.0;0.0
Balsareny;Barcelona;17.5 (15:20);-1.8 (08:10);7.9;22 (16:20);13 (16:00);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;16.9 (15:50);-1.8 (04:00);7.5;19 (16:30);10 (16:50);0.0;0.0;0.0;0.0
Moià;Barcelona;17.2 (15:20);1.6 (07:40);9.4;32 (03:20);18 (16:00);0.0;0.0;0.0;0.0
Manresa;Barcelona;17.1 (15:40);0.7 (09:00);8.9;33 (01:00);19 (02:10);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;17.7 (10:40);2.4 (07:40);10.1;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;16.0 (16:50);5.3 (23:59);10.7;32 (04:10);12 (03:10);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;15.2 (15:20);4.8 (03:00);10.0;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;15.9 (14:10);9.8 (08:40);12.8;35 (00:40);18 (00:30);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;16.1 (14:20);10.6 (08:30);13.4;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;21.1 (16:10);3.0 (07:50);12.1;21 (14:20);14 (14:50);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;16.4 (15:30);8.0 (23:59);12.2;36 (00:10);14 (11:10);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;16.5 (11:50);5.6 (05:20);11.0;18 (13:30);8 (13:20);0.0;0.0;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;21.5 (14:30);8.2 (01:50);14.8;;;0.0;0.0;0.0;0.0
Blanes;Girona;17.0 (14:30);8.8 (04:10);12.9;36 (12:30);19 (13:30);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;17.9 (13:10);3.2 (05:20);10.5;33 (14:10);20 (14:40);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;22.1 (13:10);-0.4 (08:20);10.9;46 (13:30);18 (13:40);0.0;0.0;0.0;0.0
Planoles;Girona;20.8 (14:30);4.3 (05:50);12.5;69 (00:20);36 (01:20);0.0;0.0;0.0;0.0
Ripoll;Girona;19.1 (15:30);-1.9 (06:50);8.6;;;0.0;0.0;0.0;0.0
Tona;Barcelona;17.2 (15:50);-1.1 (07:40);8.1;12 (12:30);6 (20:10);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;17.4 (16:50);-2.9 (08:30);7.2;10 (15:00);7 (15:00);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;19.7 (15:30);-2.0 (08:20);8.9;13 (04:10);5 (04:10);0.0;0.0;0.0;0.0
Sant Hilari;Girona;20.4 (13:40);4.9 (02:40);12.6;36 (00:20);21 (01:20);0.0;0.0;0.0;0.0
