Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;14.2 (15:30);2.3 (08:10);8.2;19 (16:00);10 (16:00);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;16.7 (13:50);6.0 (07:40);11.4;28 (13:30);16 (08:40);0.0;0.0;0.0;0.0
Valls;Tarragona;15.6 (15:30);5.1 (07:50);10.4;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;15.9 (13:00);8.5 (08:00);12.2;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;12.1 (16:30);0.7 (08:20);6.4;30 (22:00);21 (22:00);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;15.1 (15:40);4.2 (01:00);9.7;22 (13:00);12 (13:10);0.0;0.0;0.0;0.0
Sitges;Barcelona;14.8 (12:10);7.7 (00:00);11.3;23 (11:40);14 (15:30);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;15.3 (15:00);9.7 (04:20);12.5;30 (16:40);22 (16:40);0.0;0.0;0.0;0.0
Berga;Barcelona;11.6 (16:20);3.3 (23:59);7.5;25 (12:30);15 (14:20);0.0;0.0;0.0;0.0
Balsareny;Barcelona;14.0 (13:10);3.4 (07:20);8.7;26 (16:40);18 (16:00);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;11.2 (13:20);1.2 (23:59);6.2;22 (12:40);12 (15:20);0.0;0.0;0.0;0.0
Moià;Barcelona;10.3 (14:00);4.9 (06:00);7.6;21 (15:00);12 (15:30);0.0;0.0;0.0;0.0
Manresa;Barcelona;15.3 (14:20);4.4 (06:40);9.9;27 (14:40);13 (15:10);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;9.7 (12:50);5.4 (07:10);7.5;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;13.5 (15:30);3.8 (07:50);8.6;19 (15:30);10 (15:30);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;13.5 (15:20);4.9 (00:40);9.2;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;14.2 (11:40);10.5 (04:30);12.3;32 (18:20);25 (16:20);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;15.7 (12:50);11.5 (06:10);13.6;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;14.6 (15:30);5.4 (23:59);10.0;24 (15:30);15 (14:30);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;15.8 (13:10);9.6 (23:59);12.7;25 (18:10);14 (17:00);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;16.7 (12:40);8.1 (22:40);12.4;24 (14:40);12 (15:50);0.0;0.0;0.0;0.0
Fogars de Montclús;Barcelona;7.3 (15:00);3.4 (07:40);5.4;;;0.0;0.0;0.0;0.0
Blanes;Girona;18.1 (13:10);8.6 (07:10);13.4;36 (16:50);22 (16:50);0.0;0.0;0.0;0.0
Castell, Platja d'Aro;Girona;15.1 (12:20);4.0 (07:30);9.6;29 (16:40);17 (15:30);0.0;0.0;0.0;0.0
Sant Pau de Segúries;Girona;9.6 (15:30);1.1 (07:00);5.4;18 (12:40);8 (12:40);0.0;0.0;0.0;0.0
Planoles;Girona;11.1 (13:20);-0.3 (23:59);5.4;31 (13:30);17 (14:00);0.0;0.0;0.0;0.0
Ripoll;Girona;11.8 (17:10);4.5 (23:59);8.2;;;0.0;0.0;0.0;0.0
Tona;Barcelona;11.0 (13:20);3.5 (23:59);7.3;26 (13:10);13 (16:40);0.0;0.0;0.0;0.0
Sant Julià  de Vilatorta;Barcelona;12.4 (13:30);3.0 (23:59);7.7;22 (15:30);13 (14:00);0.0;0.0;0.0;0.0
Les Planes d'Hostoles;Girona;14.0 (14:10);0.9 (23:59);7.4;16 (13:00);6 (12:00);0.0;0.0;0.0;0.0
Sant Hilari;Girona;9.6 (14:20);2.1 (08:10);5.9;21 (15:40);10 (12:20);0.0;0.0;0.0;0.0
Girona Aeropuerto;Girona;15.4 (14:30);3.0 (07:30);9.2;33 (14:20);26 (16:10);0.0;0.0;0.0;0.0
Girona;Girona;16.3 (13:30);4.6 (07:30);10.4;24 (17:40);13 (15:30);0.0;0.0;0.0;0.0
Porqueres;Girona;15.2 (15:20);3.4 (05:30);9.3;27 (14:30);15 (16:50);0.0;0.0;0.0;0.0
L'Estartit;Girona;14.4 (11:30);6.6 (08:00);10.5;28 (14:30);21 (14:20);0.0;0.0;0.0;0.0
La Vall de Bianya;Girona;14.6 (14:40);1.9 (23:59);8.3;22 (12:20);11 (15:30);0.0;0.0;0.0;0.0
Castelló d'Empúries;Girona;16.7 (12:50);3.6 (07:40);10.2;27 (15:00);15 (14:00);0.0;0.0;0.0;0.0
Maçanet de Cabrenys;Girona;14.5 (13:40);2.9 (05:00);8.7;16 (13:50);8 (13:50);0.0;0.0;0.0;0.0
