Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;12.4 (15:40);3.3 (07:40);7.8;26 (10:30);14 (10:40);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;13.0 (14:30);7.5 (07:00);10.3;26 (10:30);18 (10:30);0.0;0.0;0.0;0.0
Valls;Tarragona;11.4 (13:30);6.7 (20:30);9.0;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;12.7 (14:30);9.5 (07:30);11.1;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;7.9 (16:20);3.5 (19:10);5.7;21 (15:10);13 (15:10);0.2;0.0;0.2;0.0
Vilafranca del Penedès;Barcelona;11.0 (17:00);7.5 (23:50);9.3;14 (14:20);8 (06:40);0.0;0.0;0.0;0.0
Sitges;Barcelona;12.6 (00:10);6.8 (23:59);9.7;27 (13:10);11 (12:30);2.8;0.0;2.8;0.0
Barcelona Aeropuerto;Barcelona;13.4 (00:10);9.2 (23:59);11.3;37 (13:30);28 (13:20);0.1;0.0;0.1;0.0
Berga;Barcelona;12.7 (14:50);2.0 (03:00);7.3;30 (16:00);21 (16:00);0.0;0.0;0.0;0.0
Balsareny;Barcelona;14.7 (14:20);3.0 (00:40);8.8;39 (15:10);29 (15:20);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;12.9 (14:20);1.1 (00:00);7.0;28 (16:20);14 (16:20);0.0;0.0;0.0;0.0
Moià;Barcelona;10.7 (13:00);5.0 (22:00);7.8;23 (15:00);11 (14:10);0.0;0.0;0.0;0.0
Manresa;Barcelona;13.4 (13:40);4.7 (05:00);9.0;35 (15:30);19 (15:30);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;7.8 (13:10);4.8 (06:30);6.3;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;10.8 (16:40);3.4 (02:50);7.1;18 (17:20);9 (12:30);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;8.7 (13:30);3.9 (08:50);6.3;;;1.4;0.0;1.4;0.0
Barcelona;Barcelona;12.3 (00:30);9.4 (06:30);10.8;42 (09:50);35 (09:50);1.1;0.2;0.9;0.0
Barcelona, Museo Marítimo;Barcelona;12.8 (00:00);9.5 (07:00);11.2;;;2.6;1.6;1.0;0.0
Caldes de Montbui;Barcelona;13.8 (14:00);6.1 (08:10);10.0;23 (14:50);16 (15:00);0.0;0.0;0.0;0.0
