Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alforja;Tarragona;15.2 (16:10);4.8 (05:20);10.0;61 (10:20);41 (08:50);0.0;0.0;0.0;0.0
Reus Aeropuerto;Tarragona;18.1 (15:50);0.4 (05:50);9.3;48 (13:10);36 (13:10);0.0;0.0;0.0;0.0
Valls;Tarragona;16.9 (14:30);2.0 (01:00);9.4;;;0.0;0.0;0.0;0.0
Tarragona;Tarragona;20.5 (15:20);5.1 (07:10);12.8;;;0.0;0.0;0.0;0.0
Pontons;Barcelona;15.2 (17:20);3.0 (04:10);9.1;49 (11:40);28 (11:50);0.0;0.0;0.0;0.0
Vilafranca del Penedès;Barcelona;18.5 (16:10);0.3 (05:30);9.4;17 (16:40);11 (16:40);0.0;0.0;0.0;0.0
Sitges;Barcelona;14.3 (15:40);6.7 (08:30);10.5;26 (06:30);14 (11:10);0.0;0.0;0.0;0.0
Barcelona Aeropuerto;Barcelona;16.1 (13:20);5.6 (05:50);10.9;33 (09:30);24 (07:20);0.0;0.0;0.0;0.0
Berga;Barcelona;13.9 (15:50);-0.6 (08:20);6.6;21 (14:50);11 (14:50);0.0;0.0;0.0;0.0
Balsareny;Barcelona;15.2 (16:00);-3.3 (06:20);5.9;20 (14:30);13 (15:30);0.0;0.0;0.0;0.0
Prats de Lluçanès;Barcelona;14.3 (15:10);-2.6 (08:10);5.9;15 (13:20);7 (13:20);0.0;0.0;0.0;0.0
Moià;Barcelona;13.5 (16:20);0.6 (07:20);7.1;21 (13:10);12 (12:50);0.0;0.0;0.0;0.0
Manresa;Barcelona;15.9 (17:20);-1.2 (07:20);7.3;23 (15:20);13 (16:00);0.0;0.0;0.0;0.0
Monistrol de Montserrat;Barcelona;10.3 (14:10);0.0 (07:30);5.2;;;0.0;0.0;0.0;0.0
Igualada;Barcelona;15.7 (17:00);1.0 (03:20);8.3;28 (10:40);10 (10:20);0.0;0.0;0.0;0.0
Corbera, Pic d'Agulles;Barcelona;10.6 (15:40);2.7 (05:20);6.7;;;0.0;0.0;0.0;0.0
Barcelona;Barcelona;17.8 (14:30);8.0 (06:00);12.9;24 (13:00);15 (15:00);0.0;0.0;0.0;0.0
Barcelona, Museo Marítimo;Barcelona;18.0 (14:30);8.8 (05:30);13.4;;;0.0;0.0;0.0;0.0
Caldes de Montbui;Barcelona;18.6 (15:20);-0.3 (06:10);9.2;21 (13:00);16 (21:20);0.0;0.0;0.0;0.0
Vilassar de Dalt;Barcelona;16.8 (13:30);7.0 (04:40);11.9;23 (05:30);13 (06:10);0.0;0.0;0.0;0.0
Arenys de Mar;Barcelona;17.4 (12:10);5.3 (05:00);11.3;15 (05:50);8 (00:30);0.0;0.0;0.0;0.0
Santa Susanna;Barcelona;;;;;;;;;
Fogars de Montclús;Barcelona;15.1 (14:20);3.0 (00:30);9.1;;;0.0;0.0;0.0;0.0
